Normal	Tumor
Regulatory T cells	0.0898082744702321	0.20829756795422
Tem/Trm cytotoxic T cells	0.117558022199798	0.173676680972818
Regulatory T cells.1	0.0908173562058527	0.136051502145923
Regulatory T cells.2	0.00807265388496468	0.146781115879828
Trm cytotoxic T cells	0.286579212916246	0.0452074391988555
gamma-delta T cells	0.0237134207870838	0.0971387696709585
Trm cytotoxic T cells.1	0.22452068617558	0.0341917024320458
Trm cytotoxic T cells.2	0.104944500504541	0.0522174535050072
Regulatory T cells.3	0.0418768920282543	0.05379113018598
Regulatory T cells.4	0.012108980827447	0.0526466380543634
