pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_INTERFERON_ALPHA_RESPONSE	5.47292445007573e-07	7.66209423010602e-06	0.659444398037935	0.75578455819745	1.82365348052016	95	CD74,PSME2,PSMB9,UBE2L6,ISG15,EPSTI1,CSF1,GBP2,BST2,PSME1,OAS1,PLSCR1,PSMB8,IRF7,GBP4,IRF9,SELL,IFITM1,PARP9,IFI35,MX1,ISG20,OASL,RTP4,TMEM140,CCRL2,CASP1,LY6E,TAP1,TRAFD1,CNP,IFI30,SP110,CMPK2,LGALS3BP,USP18,IRF2,LAP3,IFI44L,LAMP3,IL7,SAMD9L,ADAR,IFI44,STAT2,MOV10,TRIM21,DDX60,PARP12,IFIH1,EIF2AK2,PARP14,MVB12A,NMI,HELZ2,RSAD2,HERC6
HALLMARK_MYC_TARGETS_V2	0.0067011949284308	0.0469083644990156	0.407017918923954	0.66824254127991	1.52437353331254	58	HSPE1,HSPD1,MCM5,DUSP2,CBX3,PLK1,EXOSC5,PHB,NPM1,FARSA,CDK4,PES1,MRTO4,PA2G4,MCM4,SRM,BYSL,SLC19A1,DCTPP1,RCL1,WDR74,RABEPK,NIP7,SORD,NOP16,PRMT3,AIMP2,PUS1
HALLMARK_ANDROGEN_RESPONSE	0.0134927367768214	0.0629661049585	0.380730400722792	-0.486681385648983	-1.38269844101868	96	MYL12A,CCND3,IQGAP2,INSIG1,ELL2,SLC38A2,TPD52,IDI1,DNAJB9,UAP1,SGK1,DHCR24,ADAMTS1,NDRG1,HMGCS1,GPD1L,PDLIM5,CDC14B,VAPA,HMGCR,HERC3,GNAI3,CDK6,RAB4A,UBE2J1,FADS1,SPCS3,NGLY1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.03375	0.118125	0.276500599254472	0.580617952158053	1.39114557897238	87	CXCL13,STAT1,JUN,LTB,CSF1,CD38,HMOX1,EBI3,IL1R2,IRF9,IL6ST,IL10RB,STAT3,IL2RA,IL7,STAT2,FAS,IL1R1,CSF2RB,BAK1,SOCS3,PTPN11,GRB2,MYD88,IL2RG
HALLMARK_APICAL_SURFACE	0.0894526034712951	0.250467289719626	0.170932335370056	0.600037312865684	1.32384361286261	43	HSPB1,MAL,IL2RB,AFAP1L2,LYPD3,IL2RG,BRCA1,AKAP7
HALLMARK_PROTEIN_SECRETION	0.221945137157107	0.492647058823529	0.0982123351217438	0.475871967890013	1.14824464341316	95	ICA1,SOD1,CLTA,STAM,SGMS1,AP2S1,COPE,ABCA1,ERGIC3,PPT1,CLN5,RER1,CTSC,GNAS,SCAMP3,SSPN,NAPA,AP2M1,PAM,GOSR2,SEC22B,KRT18,GLA,SNAP23,COPB2,LAMP2,LMAN1
HALLMARK_HEDGEHOG_SIGNALING	0.246323529411765	0.492647058823529	0.170932335370056	-0.4801564021091	-1.13668160235584	35	PTCH1,L1CAM,TLE1,DPYSL2,MYH9,VLDLR,HEY2,CDK6,AMOT
HALLMARK_ANGIOGENESIS	0.29277566539924	0.512357414448669	0.158514105424824	-0.468035788438941	-1.10775663397767	36	S100A4,TIMP1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.4	0.548383160463697	0.151148761385484	-0.372175679129228	-1.01845380504445	73	CLU,PNRC1,ANTXR2,CYP51A1,LDLR,IDI1,EBP,ERRFI1,SC5D,MVD,LSS,HMGCS1,DHCR7,S100A11,CD9,SQLE,SREBF2,HMGCR,STARD4,PLAUR,ALCAM,MVK
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.426143790849673	0.548383160463697	0.0656813601934011	0.463118944683302	1.03036876009375	47	SOD1,PRDX2,PRDX1,ATOX1,SBNO2,NDUFB4,LAMTOR5,GPX4,NDUFA6,NDUFS2,GLRX,ERCC2,ABCC1,MSRA,PFKP,FES,TXNRD2,GLRX2
HALLMARK_PANCREAS_BETA_CELLS	0.430872483221477	0.548383160463697	0.066436413766281	0.469749575768925	1.02290619399816	40	VDR,SRP14,SEC11A,SPCS1,FOXO1
HALLMARK_NOTCH_SIGNALING	0.71927374301676	0.80557238037553	0.0443293451680314	0.398336124053942	0.835135518051453	32	RBX1,NOTCH1,DTX2,HES1,MAML2,SKP1,PSENEN,DTX1,KAT2A,CUL1,PPARD,PSEN2,HEYL,FBXW11,JAG1,APH1A
HALLMARK_TGF_BETA_SIGNALING	0.748031496062992	0.80557238037553	0.0396787203613389	0.372148425394664	0.842342191019289	54	FKBP1A,ID3,FURIN,PMEPA1,PPP1CA,PPP1R15A,SMAD1,TGIF1,ID1,WWTR1,SKIL,RAB31,ENG,IFNGR2,HDAC1
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.850605652759085	0.850605652759085	0.0348652196832942	0.349171359873515	0.765457240458364	42	RBPJ,NOTCH1,LEF1,TCF7,CCND2,WNT6,HDAC2,NKD1,NUMB,TP53,KAT2A,CUL1,PPARD,CTNNB1,PSEN2,NCSTN
