pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.33141998646843e-05	0.00018639879810558	0.593325476396405	0.690701380967821	1.79332459771273	96	PSMB9,PSMB8,PSME1,IFITM2,UBE2L6,LY6E,GBP2,ISG20,CD74,PSME2,USP18,OASL,B2M,GBP4,TAP1,LAP3,IRF7,SLC25A28,PSMA3,CASP8,UBA7,IFI35,MX1,IRF2,MOV10,RSAD2,PLSCR1,BST2,TMEM140,SP110,IL15,SELL,PARP9,IRF1,OAS1,IFITM1,IL7,TRIM25,IFI27,DHX58,HELZ2,IFITM3,ADAR,NMI,IFI30,NCOA7,TENT5A	HALLMARK_INTERFERON_ALPHA_RESPONSE
HALLMARK_APICAL_SURFACE	0.062783738170528	0.439486167193696	0.287805130535564	-0.604333930028732	-1.35263503340964	44	LYN,HSPB1,BRCA1,GSTM3,FLOT2,CRYBG1,CROCC,NCOA6,ADAM10,PLAUR,DCBLD2,LYPD3,TMEM8B,AFAP1L2,MDGA1,MAL,AKAP7,CD160	HALLMARK_APICAL_SURFACE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.134292565947242	0.504045307443366	0.188204146308491	0.513498823669371	1.20951473655629	49	FTL,SOD1,JUNB,SELENOS,NDUFA6,TXN,GLRX2,NDUFB4,PRDX6,PFKP,GLRX,PRDX2,G6PD,PRDX1,HMOX2,LAMTOR5	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
HALLMARK_PROTEIN_SECRETION	0.144012944983819	0.504045307443366	0.14641623786055	-0.472900658075682	-1.1789970347929	95	DNM1L,SCAMP1,ZW10,SGMS1,ANP32E,VAMP3,GNAS,AP3S1,SNX2,ARFGAP3,SH3GL2,ERGIC3,ADAM10,VPS45,CD63,ATP1A1,VAMP7,TPD52,ARFIP1,BNIP3,ARFGEF2,LMAN1,ARFGEF1,STAM,IGF2R,MON2,GALC,MAPK1,ATP6V1H,SCAMP3,SEC24D,ATP7A,COG2,CLN5,AP1G1,STX12,SEC22B,COPB2,LAMP2,VPS4B,YIPF6,COPB1,ARCN1,TMED10,RER1,RAB22A,USO1,KIF1B,CLTC,CLTA,STX16	HALLMARK_PROTEIN_SECRETION
HALLMARK_PANCREAS_BETA_CELLS	0.240875912408759	0.674452554744526	0.138022242496643	0.508799626475198	1.14275583650641	40	DPP4,SRP14,SPCS1,FOXO1,PAK3,GCK,VDR,SRPRB	HALLMARK_PANCREAS_BETA_CELLS
HALLMARK_MYC_TARGETS_V2	0.349282296650718	0.76816792878969	0.110564716336619	0.42783179636121	1.03611116630092	58	DUSP2,NOP16,SLC19A1,IPO4,WDR43,HK2,NOP56,PPRC1,WDR74,GNL3,PUS1,NPM1,SORD,HSPD1,PHB,HSPE1,PA2G4,DDX18,IMP4,SLC29A2,SRM	HALLMARK_MYC_TARGETS_V2
HALLMARK_TGF_BETA_SIGNALING	0.47766323024055	0.76816792878969	0.0736212741014394	-0.431584698042898	-0.98806326044832	54	ENG,ID3,ID1,CTNNB1,WWTR1,MAP3K7,IFNGR2,SLC20A1,PPP1R15A,HDAC1,SMURF2,RHOA,TRIM33,APC,BMPR2,TGFBR1,SKIL,SPTBN1,FNTA,PMEPA1,SMURF1,NCOR2,PPM1A,KLF10,HIPK2,PPP1CA,ARID4B	HALLMARK_TGF_BETA_SIGNALING
HALLMARK_ANDROGEN_RESPONSE	0.535483870967742	0.76816792878969	0.0647943366000727	-0.385500492460325	-0.962246519093442	99	GNAI3,RRP12,ANKH,APPBP2,TSC22D1,ITGAV,ACTN1,HMGCS1,CDK6,NCOA4,ABCC4,VAPA,ELK4,SMS,NGLY1,PLPP1,ACSL3,PTK2B,IDI1,KRT8,TPD52,NDRG1,LMAN1,MAF,TNFAIP8,HMGCR,XRCC6,AKT1,CAMKK2,CENPN,SLC38A2,SEC24D,XRCC5,ZBTB10,PMEPA1,PIAS1,SLC26A2,SGK1	HALLMARK_ANDROGEN_RESPONSE
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.585483870967742	0.76816792878969	0.0605092988656667	-0.379931034195475	-0.941891148113501	87	TNF,PIM1,IL17RA,FAS,JUN,IFNGR2,CRLF2,LTBR,ACVR1B,TLR2,IL4R,CD9,IL1R2,IFNAR1,IL1R1,CBL,EBI3,IL2RA,TNFRSF12A,GRB2,IL10RB,STAM2,IL9R,STAT2,MAP3K8,IL6ST,IRF9	HALLMARK_IL6_JAK_STAT3_SIGNALING
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.612244897959184	0.76816792878969	0.0813027345384498	0.370505579440508	0.921723099641717	73	FABP5,FASN,FBXO6,NFIL3,STARD4,GLDC,PLSCR1,ATF5,ERRFI1,ANXA5,STX5,CHKA,MVD,FADS2,JAG1,ACTG1,CPEB2	HALLMARK_CHOLESTEROL_HOMEOSTASIS
HALLMARK_ANGIOGENESIS	0.632582322357019	0.76816792878969	0.0602484086158019	-0.419869261002219	-0.903656298683282	36	TIMP1,ITGAV,VAV2,CCND2	HALLMARK_ANGIOGENESIS
HALLMARK_HEDGEHOG_SIGNALING	0.674176776429809	0.76816792878969	0.0572461135202884	-0.413285177569065	-0.889485819874653	36	DPYSL2,L1CAM,CDK6,ADGRG1	HALLMARK_HEDGEHOG_SIGNALING
HALLMARK_NOTCH_SIGNALING	0.713298791018998	0.76816792878969	0.0544555953940371	-0.4056571608088	-0.852598845530524	32	HES1,TCF7L2,PSENEN,DTX2,KAT2A,NOTCH2,LFNG	HALLMARK_NOTCH_SIGNALING
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.78956228956229	0.78956228956229	0.0486034247259069	-0.368193574269347	-0.823042206340198	42	HDAC5,CTNNB1,HDAC11,SKP2,TCF7,CCND2,KAT2A	HALLMARK_WNT_BETA_CATENIN_SIGNALING
