pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0163661823447858	0.229126552827001	0.352487857583619	0.582063580854306	1.38571649510581	95	PARP9,BST2,IFITM3,LPAR6,PLSCR1,IFITM1,LGALS3BP,UBE2L6,IRF9,IFI30,GBP2,LAP3,PSMB9,IFITM2,STAT2,IFI44L,EPSTI1,NCOA7,PNPT1,OASL,IFIT2,IRF7,CNP,CASP1,SP110,USP18,TRIM14,HELZ2,MX1,DHX58,LAMP3,CXCL10,B2M,IFI27,SAMD9,RSAD2,TMEM140,IFIH1,ELF1,PROCR,TAP1,CSF1,IRF2,PSMB8,HLA-C,OAS1,PSMA3,CD74
HALLMARK_ANGIOGENESIS	0.0343694544777533	0.240586181344273	0.321775918075361	-0.567735811547363	-1.31214035568044	36	S100A4,CCND2,TIMP1,JAG2,NRP1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.316831683168317	0.888528345104027	0.175204047558551	-0.383551092590777	-1.04979210222982	87	LTB,PIM1,CD44,TNFRSF1B,IL9R,IL2RA,IL1R1,TNF,IL2RG,TGFB1,IL6,IL4R,CD9,IL15RA,TLR2,SOCS1,TNFRSF1A,IL7,IL18R1,ITGA4,IFNGR1,IL1R2,IRF1,ACVR1B,IFNGR2,TNFRSF12A,CBL
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.368200836820084	0.888528345104027	0.147331213699377	-0.410603354449255	-1.01509686930491	47	CDKN2D,PRNP,TXN,JUNB,OXSR1,G6PD,STK25,LSP1,PFKP,GCLM,PRDX4,SRXN1,NDUFA6,MSRA,GCLC,MBP,ATOX1,SOD2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.38785046728972	0.888528345104027	0.152144922367565	-0.377784854392368	-1.0132238743754	73	LGALS3,LDLR,PLAUR,CYP51A1,MVK,FDPS,ANXA5,TRIB3,EBP,PMVK,CD9,S100A11,FADS2,STARD4,HMGCS1,HMGCR,FDFT1,SQLE,ERRFI1,FASN,PPARG,ACAT2,ANTXR2,TNFRSF12A,SCD,FBXO6
HALLMARK_MYC_TARGETS_V2	0.504385964912281	0.888528345104027	0.126875729929857	-0.382139633972857	-0.979902952156194	58	PES1,LAS1L,SRM,NIP7,UTP20,PLK4,DCTPP1,SUPV3L1,MPHOSPH10,WDR74,DDX18,EXOSC5,NOP16,TBRG4,MRTO4,RCL1,PLK1,WDR43,SLC29A2,PPRC1,SORD,CBX3,PUS1,NOP2,TMEM97,IMP4,GNL3,CDK4,MYC,MCM4
HALLMARK_PANCREAS_BETA_CELLS	0.516260162601626	0.888528345104027	0.0582216241124161	0.447829157460699	0.956795971958423	40	ELP4,SEC11A,FOXO1,SPCS1,PAK3,VDR
HALLMARK_PROTEIN_SECRETION	0.600741656365884	0.888528345104027	0.0469758727821845	0.394632469370094	0.939499979551814	95	ICA1,SOD1,SNAP23,PAM,TMED10,CLN5,SEC31A,CLTA,ERGIC3,NAPA,VPS45,USO1,RAB9A,SCAMP1,STX12,ARF1,ZW10,RER1,MON2,TSG101,ARFGEF1,IGF2R,TMX1,AP2M1,SEC24D,STX7,AP2S1,SGMS1,AP1G1,COPE,CAV2,STX16,ADAM10,ATP6V1H,SNX2
HALLMARK_HEDGEHOG_SIGNALING	0.619771863117871	0.888528345104027	0.103576326612592	-0.392537582237142	-0.903583620571311	35	L1CAM,PML,HEY1,NRP1,ETS2,MYH9,VLDLR,DPYSL2,CRMP1,LDB1
HALLMARK_APICAL_SURFACE	0.694481830417227	0.888528345104027	0.0442407423477375	0.405920879014834	0.87664009606668	43	HSPB1,MAL,AFAP1L2,LYN,ADIPOR2,CD160,GSTM3,TMEM8B,BRCA1,APP,PKHD1,ADAM10,EFNA5,ATP8B1,THY1,SLC2A4
HALLMARK_NOTCH_SIGNALING	0.711111111111111	0.888528345104027	0.0445961615888961	0.404559823724375	0.835787106100877	32	ARRB1,CUL1,FBXW11,SKP1,CCND1,PPARD
HALLMARK_TGF_BETA_SIGNALING	0.77154046997389	0.888528345104027	0.0380056241581377	0.379703470115389	0.846678491051114	54	TGIF1,PMEPA1,FKBP1A,HIPK2,XIAP,ENG,WWTR1,SMURF1,ID3,SMAD1,BMPR2,ACVR1,FURIN
HALLMARK_ANDROGEN_RESPONSE	0.825062034739454	0.888528345104027	0.0324330694656715	0.350509009837308	0.833812195247964	96	FKBP5,PMEPA1,GPD1L,STK39,SLC26A2,XRCC5,GNAI3,ABCC4,SPCS3,MAF,PGM3,FADS1,CCND1,B2M,CDC14B,CDK6,HOMER2,SAT1,XRCC6,UAP1,SEC24D
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.960757780784844	0.960757780784844	0.0292103127923884	0.331922183959106	0.713192888877109	42	CUL1,DVL2,AXIN2,TCF7,FRAT1,NKD1,LEF1,PPARD,NOTCH4,CTNNB1,WNT1,RBPJ
