pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000772503562075972	0.0108150498690636	0.477270815362862	0.560087747202661	1.51738377933153	95	B2M,HLA-C,ISG20,EPSTI1,TAP1,IRF1,PSMB9,SAMD9,IRF7,PSME1,GBP2,OASL,IFITM1,CD74,ISG15,SELL,PSME2,MX1,UBE2L6,PNPT1,ELF1,MOV10,CASP1,CASP8,RNF31,LAMP3,LAP3,HERC6,OAS1,HELZ2,TRIM21,PSMB8,CCRL2,TRIM25,IFITM2,SAMD9L,UBA7,IL4R,SP110,IFI35,RTP4
HALLMARK_NOTCH_SIGNALING	0.0455665024630542	0.281463610776035	0.234392647294686	-0.711380463694541	-1.35026047120397	32	PSENEN,CCND1,JAG1,NOTCH3,TCF7L2,ARRB1,DLL1,HES1,FZD5,WNT5A,NOTCH1,DTX4,FZD7,ST3GAL6,FZD1,CUL1,PPARD
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0614709110867179	0.281463610776035	0.188204146308491	-0.603205787284499	-1.26225353361357	73	CLU,CD9,ALCAM,CHKA,JAG1,CTNNB1,GNAI1,S100A11,SQLE,MAL2,FBXO6,TNFRSF12A,SREBF2,ABCA2,LGMN,GPX8,SEMA3B,GSTM2,ATF3,LGALS3,CXCL16,ANXA5,ANXA13,AVPR1A,LDLR,MVK,ATXN2,CPEB2,TP53INP1,ACSS2,TRIB3,TM7SF2,HMGCR,PCYT2
HALLMARK_PANCREAS_BETA_CELLS	0.094847775175644	0.281463610776035	0.154190966581424	-0.650615645957507	-1.28445902252763	40	MAFB,FOXA2,SRPRB,STXBP1,LMO2,DPP4,HNF1A,FOXO1,SRP9
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.112704998840998	0.281463610776035	0.287805130535564	0.410125038874623	1.10518603196087	87	IL2RG,CD44,HMOX1,STAT1,LTB,ITGA4,IRF1,IL10RB,CXCL13,SOCS1,MAP3K8,GRB2,PIK3R5,BAK1,IL12RB1,CD38,CBL,MYD88
HALLMARK_HEDGEHOG_SIGNALING	0.120627261761158	0.281463610776035	0.137250779610133	-0.647544997294868	-1.25060680445985	35	CELSR1,HEY2,ETS2,OPHN1,NRP2,PTCH1,VEGFA,HEY1,DPYSL2,RTN1,PLG,TLE1,AMOT,VLDLR,NF1
HALLMARK_TGF_BETA_SIGNALING	0.264840182648402	0.529680365296804	0.083129129135339	-0.548731306547776	-1.11655611980129	54	BCAR3,CDH1,ID1,CTNNB1,KLF10,WWTR1,TJP1,BMPR2,IFNGR2,SMAD7,CDKN1C,SERPINE1,SPTBN1,SKI,NCOR2,JUNB,SMAD3,CDK9,HIPK2,ID2,TGIF1,SMURF1,BMPR1A,FKBP1A,ACVR1,TRIM33,SMAD1
HALLMARK_ANGIOGENESIS	0.386091127098321	0.596573875802998	0.0662842187012672	-0.542150107569208	-1.05311843928582	36	APP,JAG1,TIMP1,FSTL1,VAV2,VEGFA,PTK2,VCAN,COL3A1,SLCO2A1,JAG2
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.393232205367561	0.596573875802998	0.0640703750499722	-0.527913494854176	-1.04675453910927	42	JAG1,CTNNB1,GNAI1,HEY2,DLL1,PTCH1,HDAC11,NOTCH1,HEY1,WNT5B,NOTCH4,FZD1,NCSTN,JAG2,MAML1,NUMB,CUL1,NCOR2,PPARD,FRAT1,HDAC5,DVL2,MYC
HALLMARK_PROTEIN_SECRETION	0.426124197002141	0.596573875802998	0.0561766586307176	-0.481170060837793	-1.02462345488543	95	KRT18,CD63,ERGIC3,TSPAN8,SSPN,CAV2,ATP1A1,TOM1L1,CLTA,NAPG,CLCN3,RER1,LAMP2,CLN5,DST,EGFR,STX12,ARFGEF1,MAPK1,LMAN1,SCAMP1,GALC,GNAS,ARFGEF2,ICA1,TMED2,AP1G1,BNIP3,YIPF6,ARCN1,RAB5A,RPS6KA3,RAB2A,NAPA,VPS45,COPB1,GBF1,TPD52,AP2S1,OCRL,STX16,BET1,USO1,COG2,KIF1B,SGMS1,TSG101,AP2B1,GOLGA4,STX7,RAB14,SNX2,ANP32E,ATP6V1H,SCRN1,CLTC
HALLMARK_APICAL_SURFACE	0.606308411214953	0.771665250637213	0.0439759278026345	-0.474200310565292	-0.941297820113333	43	APP,GSTM3,ATP8B1,CROCC,SRPX,DCBLD2,B4GALT1,RTN4RL1,CX3CL1,TMEM8B,SHROOM2,HSPB1,ADIPOR2,NCOA6
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.786046511627907	0.874140752864157	0.031636972118622	-0.413533264658832	-0.831528380786463	47	MGST1,CAT,PDLIM1,GCLC,GPX4,PRDX4,GPX3,NQO1,GSR,PRDX6,JUNB,MSRA,ATOX1,SOD2,TXN
HALLMARK_ANDROGEN_RESPONSE	0.811702127659575	0.874140752864157	0.0254820564855004	-0.394294281568843	-0.841998371744446	96	KRT19,KRT8,DHCR24,CCND1,TMPRSS2,TSC22D1,BMPR1B,LIFR,STEAP4,GPD1L,ACTN1,MAP7,VAPA,MAK,PDLIM5,B4GALT1,CAMKK2,SORD,GSR,ZBTB10,SRF,ABCC4,LMAN1,ACSL3,NCOA4,ABHD2,HMGCR,XRCC6,UBE2J1,RPS6KA3
HALLMARK_MYC_TARGETS_V2	0.973684210526316	0.973684210526316	0.129442887745046	0.311475753693867	0.787263500996396	58	DUSP2,NPM1,NOP2,RABEPK,DDX18,PRMT3,NOP16,NOC4L,CBX3,MYBBP1A,WDR74,TFB2M,HK2,IMP4,SRM,HSPE1,FARSA,GNL3,TBRG4,MRTO4,TMEM97
