pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.000191730806151312	0.00268423128611836	0.518848077743792	0.60707064488552	1.62790224404243	96	ISG20,PSMB9,B2M,IFI44L,SELL,TAP1,UBE2L6,RIPK2,GBP4,IFITM3,PSMB8,GBP2,PSME1,CD74,SAMD9L,PSME2,IRF1,ADAR,LY6E,IFIT3,TMEM140,IFI27,IRF7,IFI44,LPAR6,EPSTI1,ISG15,UBA7,SP110,RSAD2,ELF1,IFI35,IFITM2,IFIH1,TENT5A,IL7,PLSCR1,NCOA7,LAMP3,CNP,TRIM14,PARP14,PARP9,HELZ2,PARP12,IFIT2,TDRD7,TRIM21,OASL,NMI,OGFR	HALLMARK_INTERFERON_ALPHA_RESPONSE
HALLMARK_PROTEIN_SECRETION	0.0138435331488195	0.0969047320417362	0.380730400722792	-0.65445977435055	-1.37291173881371	95	CD63,ANP32E,CTSC,TMED2,ABCA1,ARFIP1,COPE,TMED10,M6PR,CLTA,ATP1A1,ARCN1,ARFGEF2,SNAP23,RER1,VPS4B,SEC31A,LAMP2,YIPF6,ARFGEF1,AP2S1,GLA,VAMP7,IGF2R,RAB14,ZW10,COG2,PAM,GNAS,ARFGAP3,SEC24D,TMX1,AP2B1,SCAMP3,VPS45,RAB2A,NAPG,CLN5,CLTC,CLCN3,COPB1,USO1,SCRN1,AP3B1,STX12,OCRL,LMAN1,ERGIC3,RAB5A,VAMP3,ARF1,COPB2	HALLMARK_PROTEIN_SECRETION
HALLMARK_ANGIOGENESIS	0.0788530465949821	0.367980884109916	0.172324344900946	-0.687424936733438	-1.29452867272578	36	S100A4,CCND2,APP,PTK2,JAG1	HALLMARK_ANGIOGENESIS
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.187934379251948	0.657770327381819	0.249246554383295	0.398569771763997	1.05426722837179	87	STAT1,IL6ST,IL18R1,SOCS3,SOCS1,IRF1,IL10RB,IL15RA,FAS,IL3RA,REG1A,IL1R1,IL1R2,CD38,STAT3,IFNGR2,IL2RA,CD44,IL7,MAP3K8,LTB,PIK3R5,HAX1,LTBR,CSF2,TNFRSF1B,IL12RB1,MYD88	HALLMARK_IL6_JAK_STAT3_SIGNALING
HALLMARK_APICAL_SURFACE	0.324418604651163	0.865724381625442	0.0734381410838857	-0.565084302753039	-1.09386219077185	44	IL2RG,HSPB1,THY1,GSTM3,APP,ATP8B1,GATA3,DCBLD2,MDGA1,SCUBE1,CD160,FLOT2,ADIPOR2,BRCA1,TMEM8B,PLAUR	HALLMARK_APICAL_SURFACE
HALLMARK_ANDROGEN_RESPONSE	0.443037974683544	0.865724381625442	0.241339976815091	0.364323065158437	0.989484947343887	99	FKBP5,ARID5B,B2M,CCND3,INSIG1,SAT1,IQGAP2,KRT19,LIFR,MAK,HMGCS1,ELL2,UBE2J1,RPS6KA3,B4GALT1,ABHD2,SGK1,ELK4,PMEPA1,SRP19,RAB4A,DNAJB9,ZBTB10,NKX3-1,FADS1,KRT8	HALLMARK_ANDROGEN_RESPONSE
HALLMARK_TGF_BETA_SIGNALING	0.490950226244344	0.865724381625442	0.0521630305460055	-0.505650666296531	-1.00425290404294	54	KLF10,PPP1CA,TGFBR1,FKBP1A,HDAC1,ENG,FNTA,SLC20A1,TGFB1,RHOA,ID3,BMPR1A,SMURF1,PPP1R15A,NCOR2,APC,CTNNB1,SMAD1,SMURF2	HALLMARK_TGF_BETA_SIGNALING
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.49469964664311	0.865724381625442	0.0536769600638126	-0.520124932434785	-1.00172571182084	42	CCND2,NCSTN,HDAC2,DLL1,PSEN2,WNT1,NCOR2,ADAM17,HDAC11,RBPJ,SKP2,CTNNB1,NKD1,CUL1,NUMB,KAT2A,JAG1,WNT5B,WNT6	HALLMARK_WNT_BETA_CATENIN_SIGNALING
HALLMARK_PANCREAS_BETA_CELLS	0.653206650831354	0.902291917973462	0.0413209506074822	-0.479535070271423	-0.91347846152309	40	SPCS1,SRP9,MAFB,GCK,SRP14,SRPRB,PAX6	HALLMARK_PANCREAS_BETA_CELLS
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.669318181818182	0.902291917973462	0.0381628909049257	-0.457629864501362	-0.902391240900957	49	LSP1,GPX4,CAT,SCAF4,MSRA,G6PD,HHEX,PRNP,GCLM,MBP,LAMTOR5,PRDX2,CDKN2D,PRDX4,PRDX6,FTL,EGLN2,SRXN1,PTPA,GCLC,GSR,TXNRD1	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
HALLMARK_MYC_TARGETS_V2	0.855693348365276	0.902291917973462	0.0257629629837414	-0.394858286602464	-0.788513414847577	58	PA2G4,TMEM97,PRMT3,PPAN,CBX3,PLK4,AIMP2,PES1,MPHOSPH10,MYBBP1A,SORD,SLC19A1,NIP7,SLC29A2,TFB2M,PLK1,RRP9,NDUFAF4,BYSL,RABEPK,RCL1	HALLMARK_MYC_TARGETS_V2
HALLMARK_HEDGEHOG_SIGNALING	0.882915173237754	0.902291917973462	0.0271669768425399	-0.396161011773118	-0.74603314682374	36	CDK6,THY1,CELSR1,LDB1,L1CAM,AMOT,TLE3	HALLMARK_HEDGEHOG_SIGNALING
