pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Cardiac muscle contraction	5.55615662518015e-05	0.0105566975878423	0.557332238758646	0.760929036303183	1.37312926528426	83	UQCRH,COX7C,COX5A,COX6C,COX8A,TPM4,COX4I1,UQCRB,COX7A2L,COX5B,COX6B1,UQCRFS1,COX7B,UQCR10,COX7A2,UQCR11,UQCRC1,COX6A1,CACNA2D4,UQCRC2,CYC1,ATP1B3,UQCRQ
Proteasome	0.000451516876444674	0.042894103262244	0.49849310876659	0.798233711367652	1.40685321369074	46	PSMB8,PSMB9,SEM1,PSMA1,PSMB1,PSMB3,PSMB4,PSME1,PSME2,PSMB10,PSMC5,POMP,PSMA4,PSMB6,PSMA6,PSMA2,PSMD7,PSMF1,PSMC3,PSMD6,PSMC2,PSME3,PSMB2,PSMA7,PSMD4,PSMD9,PSMD8,PSMA5,PSMD13,PSMD3,ADRM1,PSMC6,PSMC1,PSMA8
Fc gamma R-mediated phagocytosis	0.00142949149839424	0.0742288794898753	0.45505986738723	0.716668271800186	1.30084371590706	96	RAC2,ARPC3,ARPC2,WAS,LAT,ARPC1B,PRKCB,FCGR3A,ARPC5,CFL1,PIK3CD,PLPP1,PTPRC,WASF2,BIN1,INPP5D,ASAP1,PIP5K1A,ACTR2,RAC1,INPPL1,GSN,PIK3R1,MARCKSL1,VASP,AKT2,PIK3R3,GAB2,FCGR2B,PLA2G6,MAPK3,ARF6,RPS6KB1,VAV1,MAP2K1,ARPC1A,SPHK2,RPS6KB2,LIMK1,PIP5K1B,PLCG2,DNM2,ARPC4,ACTR3C,PIK3CA,PIP5K1C,PRKCD
Primary immunodeficiency	0.00156271325241843	0.0742288794898753	0.45505986738723	0.791848187833482	1.36867070694889	37	CD3D,TAP1,JAK3,CD3E,CD8A,LCK,ZAP70,IL2RG,ADA,RFX5,CD8B,PTPRC,ICOS,TNFRSF13C,TAP2,CD79A,ORAI1,IKBKG
Vibrio cholerae infection	0.00205543042932478	0.0781063563143415	0.431707695803346	0.751065254054021	1.33024690055075	50	SEC61B,ACTG1,ARF1,ATP6V1G1,ATP6V1F,GNAS,ATP6AP1,ATP6V0B,ATP6V0C,ERO1A,PRKACA,ACTB,ATP6V0D1,ATP6V0A2,ATP6V1C1,SEC61G,ADCY3,SEC61A2,KDELR2,ATP6V1A,ATP6V1B2,ATP6V1E1,TCIRG1,KDELR1,ATP6V0A1,ATP6V1D,ATP6V0E1,PRKACB,PLCG2,SLC12A2
Mitophagy	0.00716596502581635	0.217470574949027	0.407017918923954	0.714820121711522	1.28465037777598	68	GABARAP,GABARAPL2,EIF2AK3,FIS1,UBA52,UBB,CSNK2B,TBC1D15,CSNK2A1,CALCOCO2,GABARAPL1,ATF4,USP8,TOMM7,NRAS,TAX1BP1,NBR1,RRAS2,BECN1,KRAS,HIF1A,CITED2,RPS27A,BNIP3L,RAB7A,JUN,OPTN,ATG9B,TP53,FOXO3,TBC1D17,UBC,USP15,SQSTM1,TFE3
Morphine addiction	0.00801207381391154	0.217470574949027	0.380730400722792	0.684241575789989	1.24042652098049	91	PDE3B,PDE4D,PDE4B,PRKCB,GNG5,ARRB2,GNG10,PDE7B,GNAS,PDE7A,PRKACA,GNGT2,ADCY3,GNB1,GNB2,ARRB1,GRK4,GNAI2,GRK2,GRK3,GNG4,GNG2,GNB5,PDE4A,GNB4,PRKACB
Nicotine addiction	0.00969316767465518	0.23021273227306	0.380730400722792	-0.5536928350752	-1.47082883246523	40	GABRD
RNA degradation	0.0123921766283186	0.261612617708948	0.380730400722792	0.691518002986019	1.24893025839122	79	PABPC1,DCP2,LSM2,DCP1B,PABPC1L,CNOT6L,HSPD1,C1D,CNOT3,XRN2,CNOT2,LSM1,TOB1,DCPS,XRN1,CNOT8,LSM5,BTG1,NUDT16,LSM6,LSM8,LSM7,BTG3,DDX6,CNOT1,PFKM,ENO1,DHX36,LSM4,DIS3,WDR61,CNOT7,HSPA9,TENT4B,CNOT9,PNPT1,EXOSC4,EXOSC3,EDC3,EXOSC1,MTREX,DCP1A,EXOSC2,CNOT10,SKIV2L
mRNA surveillance pathway	0.025	0.434549342248259	0.287857117255149	0.668450132602405	1.21442114420901	98	PABPC1,NUDT21,PPP1CC,PABPC1L,PPP1CA,PPP2R5C,SMG1,RNPS1,GSPT1,SSU72,PYM1,PPP2CA,CSTF2T,PPP2R3C,SYMPK,MSI2,NXT1,GSPT2,ACIN1,PPP2R2D,UPF3A,GLE1,HBS1L,PPP2R2A,RBM8A,PPP2R5A,WDR33,PPP1CB,PPP2R5E,CASC3,SMG6,SAP18,EIF4A3,CPSF2,DDX19A,RNMT,PELO,UPF2,FIP1L1,PPP2R1B,PPP2R1A,PNN,CSTF1,PABPN1,MAGOHB,NCBP2,UPF3B,PAPOLA,CPSF1,CSTF2
