Sample	seurat_clusters	nCells	nCellsPerCluster	percCellsPerSample	nCellsPerSample	CellFraction
LN1	0	797	10395	0.129236257499595	6167	0.0766714766714767
LN1	1	333	7749	0.053997081238852	6167	0.0429732868757259
LN1	2	530	7361	0.0859413004702449	6167	0.0720010868088575
LN1	3	408	6321	0.0661585860223772	6167	0.064546748932131
LN1	4	472	5469	0.076536403437652	6167	0.0863046260742366
LN1	5	160	5085	0.0259445435381871	6167	0.0314650934119961
LN1	6	376	4521	0.0609696773147397	6167	0.0831674408316744
LN1	7	494	4318	0.0801037781741527	6167	0.114404817044928
LN1	8	88	4118	0.0142694989460029	6167	0.021369596891695
LN1	9	980	4101	0.158910329171396	6167	0.238966105827847
LN1	10	195	3897	0.0316199124371656	6167	0.0500384911470362
LN1	11	206	3771	0.0334035998054159	6167	0.054627419782551
LN1	12	14	2967	0.00227014755959137	6167	0.0047185709470846
LN1	13	812	2730	0.1316685584563	6167	0.297435897435897
LN1	14	14	2561	0.00227014755959137	6167	0.00546661460367044
LN1	15	183	2365	0.0296740716718015	6167	0.0773784355179704
LN1	16	62	1451	0.0100535106210475	6167	0.0427291523087526
LN1	17	19	1300	0.00308091454515972	6167	0.0146153846153846
LN1	18	13	1267	0.0021079941624777	6167	0.0102604577742699
LN1	19	11	169	0.00178368736825036	6167	0.0650887573964497
LN2	0	1134	10395	0.153284671532847	7398	0.109090909090909
LN2	1	729	7749	0.0985401459854015	7398	0.0940766550522648
LN2	2	514	7361	0.069478237361449	7398	0.0698274690938731
LN2	3	337	6321	0.0455528521221952	7398	0.0533143489954121
LN2	4	563	5469	0.0761016490943498	7398	0.102943865423295
LN2	5	668	5085	0.0902946742362801	7398	0.131366764995084
LN2	6	398	4521	0.0537983238713166	7398	0.0880336208803362
LN2	7	409	4318	0.0552852122195188	7398	0.0947197776748495
LN2	8	156	4118	0.0210867802108678	7398	0.0378824672170957
LN2	9	888	4101	0.120032441200324	7398	0.216532553035845
LN2	10	369	3897	0.0498783454987835	7398	0.0946882217090069
LN2	11	187	3771	0.0252771019194377	7398	0.0495889684433837
LN2	12	66	2967	0.0089213300892133	7398	0.0222446916076845
LN2	13	599	2730	0.0809678291430116	7398	0.219413919413919
LN2	14	27	2561	0.00364963503649635	7398	0.0105427567356501
LN2	15	171	2365	0.0231143552311436	7398	0.0723044397463002
LN2	16	74	1451	0.0100027034333604	7398	0.0509993108201241
LN2	17	49	1300	0.00662341173290078	7398	0.0376923076923077
LN2	18	43	1267	0.00581238172479048	7398	0.0339384372533544
LN2	19	17	169	0.00229791835631252	7398	0.100591715976331
LN3	0	1347	10395	0.112287429143048	11996	0.12958152958153
LN3	1	1415	7749	0.117955985328443	11996	0.182604206994451
LN3	2	1260	7361	0.105035011670557	11996	0.17117239505502
LN3	3	802	6321	0.0668556185395132	11996	0.12687865844012
LN3	4	1015	5469	0.0846115371790597	11996	0.18559151581642
LN3	5	663	5085	0.0552684228076025	11996	0.130383480825959
LN3	6	1189	4521	0.0991163721240413	11996	0.262994912629949
LN3	7	421	4318	0.0350950316772257	11996	0.0974988420565076
LN3	8	269	4118	0.0224241413804602	11996	0.0653229723166586
LN3	9	800	4101	0.0666888962987663	11996	0.195074372104365
LN3	10	900	3897	0.075025008336112	11996	0.23094688221709
LN3	11	619	3771	0.0516005335111704	11996	0.164147440997083
LN3	12	94	2967	0.00783594531510503	11996	0.0316818335018537
LN3	13	360	2730	0.0300100033344448	11996	0.131868131868132
LN3	14	47	2561	0.00391797265755252	11996	0.0183522061694651
LN3	15	461	2365	0.0384294764921641	11996	0.19492600422833
LN3	16	213	1451	0.0177559186395465	11996	0.146795313576844
LN3	17	24	1300	0.00200066688896299	11996	0.0184615384615385
LN3	18	69	1267	0.00575191730576859	11996	0.0544593528018942
LN3	19	28	169	0.00233411137045682	11996	0.165680473372781
LN4	0	722	10395	0.114913257997772	6283	0.0694564694564695
LN4	1	1097	7749	0.174598121916282	6283	0.141566653761776
LN4	2	421	7361	0.0670062072258475	6283	0.0571933161255264
LN4	3	395	6321	0.0628680566608308	6283	0.0624901123239994
LN4	4	925	5469	0.147222664332325	6283	0.169135125251417
LN4	5	599	5085	0.0953366226325004	6283	0.11779744346116
LN4	6	499	4521	0.0794206589208977	6283	0.110373811103738
LN4	7	278	4318	0.0442463791182556	6283	0.0643816581750811
LN4	8	93	4118	0.0148018462517905	6283	0.0225837785332686
LN4	9	95	4101	0.0151201655260226	6283	0.0231650816873933
LN4	10	255	3897	0.040585707464587	6283	0.0654349499615089
LN4	11	214	3771	0.0340601623428299	6283	0.0567488729779899
LN4	12	44	2967	0.0070030240331052	6283	0.014829794405123
LN4	13	177	2730	0.0281712557695368	6283	0.0648351648351648
LN4	14	117	2561	0.0186216775425752	6283	0.0456852791878173
LN4	15	194	2365	0.0308769696005093	6283	0.0820295983086681
LN4	16	98	1451	0.0155976444373707	6283	0.067539627842867
LN4	17	20	1300	0.00318319274232055	6283	0.0153846153846154
LN4	18	26	1267	0.00413815056501671	6283	0.0205209155485399
LN4	19	14	169	0.00222823491962438	6283	0.0828402366863905
LN5	0	246	10395	0.0607857672349889	4047	0.0236652236652237
LN5	1	138	7749	0.0340993328391401	4047	0.0178087495160666
LN5	2	216	7361	0.0533728687916976	4047	0.0293438391522891
LN5	3	439	6321	0.10847541388683	4047	0.0694510362284449
LN5	4	38	5469	0.00938967136150235	4047	0.00694825379411227
LN5	5	162	5085	0.0400296515937732	4047	0.031858407079646
LN5	6	178	4521	0.0439831974301952	4047	0.0393718203937182
LN5	7	140	4318	0.0345935260686929	4047	0.032422417786012
LN5	8	149	4118	0.0368173956016803	4047	0.0361826129188927
LN5	9	698	4101	0.172473437113912	4047	0.170202389661058
LN5	10	666	3897	0.164566345441067	4047	0.170900692840647
LN5	11	174	3771	0.0429948109710897	4047	0.0461416070007955
LN5	12	126	2967	0.0311341734618236	4047	0.0424671385237614
LN5	13	242	2730	0.0597973807758834	4047	0.0886446886446886
