seurat_clusters	Sample	.n	.frac
Regulatory T cells	LN1	10	0.00611995104039168
Regulatory T cells	LN2	96	0.0587515299877601
Regulatory T cells	LN3	72	0.0440636474908201
Regulatory T cells	LT1	650	0.397796817625459
Regulatory T cells	LT2	445	0.27233782129743
Regulatory T cells	LT3	361	0.22093023255814
Tem/Trm cytotoxic T cells	LN1	7	0.00483759502418798
Tem/Trm cytotoxic T cells	LN2	161	0.111264685556323
Tem/Trm cytotoxic T cells	LN3	65	0.0449205252246026
Tem/Trm cytotoxic T cells	LT1	362	0.250172771250864
Tem/Trm cytotoxic T cells	LT2	275	0.190048375950242
Tem/Trm cytotoxic T cells	LT3	577	0.39875604699378
Regulatory T cells.1	LN1	15	0.013262599469496
Regulatory T cells.1	LN2	77	0.0680813439434129
Regulatory T cells.1	LN3	88	0.0778072502210433
Regulatory T cells.1	LT1	272	0.240495137046861
Regulatory T cells.1	LT2	411	0.363395225464191
Regulatory T cells.1	LT3	268	0.236958443854996
Regulatory T cells.2	LN1	1	0.000959692898272553
Regulatory T cells.2	LN2	14	0.0134357005758157
Regulatory T cells.2	LN3	1	0.000959692898272553
Regulatory T cells.2	LT1	405	0.388675623800384
Regulatory T cells.2	LT2	413	0.396353166986564
Regulatory T cells.2	LT3	208	0.199616122840691
Trm cytotoxic T cells	LN1	30	0.0339366515837104
Trm cytotoxic T cells	LN2	269	0.304298642533937
Trm cytotoxic T cells	LN3	269	0.304298642533937
Trm cytotoxic T cells	LT1	55	0.0622171945701357
Trm cytotoxic T cells	LT2	207	0.234162895927602
Trm cytotoxic T cells	LT3	54	0.0610859728506787
gamma-delta T cells	LN1	1	0.00137741046831956
gamma-delta T cells	LN2	33	0.0454545454545455
gamma-delta T cells	LN3	13	0.0179063360881543
gamma-delta T cells	LT1	100	0.137741046831956
gamma-delta T cells	LT2	270	0.371900826446281
gamma-delta T cells	LT3	309	0.425619834710744
Trm cytotoxic T cells.1	LN1	42	0.0614035087719298
Trm cytotoxic T cells.1	LN2	250	0.365497076023392
Trm cytotoxic T cells.1	LN3	153	0.223684210526316
Trm cytotoxic T cells.1	LT1	68	0.0994152046783626
Trm cytotoxic T cells.1	LT2	139	0.203216374269006
Trm cytotoxic T cells.1	LT3	32	0.0467836257309941
Trm cytotoxic T cells.2	LN1	26	0.0453752181500873
Trm cytotoxic T cells.2	LN2	119	0.207678883071553
Trm cytotoxic T cells.2	LN3	63	0.109947643979058
Trm cytotoxic T cells.2	LT1	79	0.137870855148342
Trm cytotoxic T cells.2	LT2	60	0.104712041884817
Trm cytotoxic T cells.2	LT3	226	0.394415357766143
Regulatory T cells.3	LN1	17	0.037037037037037
Regulatory T cells.3	LN2	46	0.100217864923747
Regulatory T cells.3	LN3	20	0.0435729847494553
Regulatory T cells.3	LT1	110	0.239651416122004
Regulatory T cells.3	LT2	155	0.337690631808279
Regulatory T cells.3	LT3	111	0.241830065359477
Regulatory T cells.4	LN1	5	0.0127551020408163
Regulatory T cells.4	LN2	9	0.0229591836734694
Regulatory T cells.4	LN3	10	0.0255102040816327
Regulatory T cells.4	LT1	181	0.461734693877551
Regulatory T cells.4	LT2	119	0.303571428571429
Regulatory T cells.4	LT3	68	0.173469387755102
