LN1	LN2	LN3	LN4	LN5	LN6	LT1	LT2	LT3	LT4	LT5	LT6
LN1	NA	37	39	17	14	36	320	44	24	36	32	36
LN2	37	NA	62	29	32	65	47	506	47	46	55	70
LN3	39	62	NA	37	35	86	76	103	411	70	69	104
LN4	17	29	37	NA	18	37	34	31	24	319	28	41
LN5	14	32	35	18	NA	38	27	42	29	29	237	45
LN6	36	65	86	37	38	NA	60	91	61	70	57	596
LT1	320	47	76	34	27	60	NA	76	52	56	53	72
LT2	44	506	103	31	42	91	76	NA	72	88	70	110
LT3	24	47	411	24	29	61	52	72	NA	53	40	73
LT4	36	46	70	319	29	70	56	88	53	NA	58	80
LT5	32	55	69	28	237	57	53	70	40	58	NA	70
LT6	36	70	104	41	45	596	72	110	73	80	70	NA
