Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	75/158	8.02677620202963e-103	1.58127491179984e-100	101.550774526678	23872.909634936	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	79/232	3.15159621759915e-94	3.10432227433516e-92	59.1737568321676	12739.8192839553	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;CSF2;RPS5;RPS2;RPS3;RPL13A;RPS3A;NFKBIA;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Antigen processing and presentation	14/78	7.94159354091902e-13	5.21497975853682e-11	18.2470868644068	508.391069366352	CD74;HSP90AA1;HSPA8;IFNG;HSPA1A;HSPA1B;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;PSME1;HSP90AB1	3	KEGG_2021_Human
Shigellosis	17/246	1.43054270950973e-08	6.74628981571856e-07	6.21955882077328	112.341570179486	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;ARPC1B;RPS27A;CSF2;ARPC3;ARPC2;ACTG1;UBC;UBB;NFKBIA;UBA52;CCL5	4	KEGG_2021_Human
Salmonella infection	17/249	1.71225629840573e-08	6.74628981571856e-07	6.13819002515909	109.768446707852	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;PTPRC;ARPC1B;FOS;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;NFKBIA;GAPDH;HSP90AB1	5	KEGG_2021_Human
Fluid shear stress and atherosclerosis	13/139	2.14753349693968e-08	7.05106831495196e-07	8.54303127720849	150.838842309086	CALM1;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;JUN;DUSP1;IFNG;FOS;HSP90AB1;SUMO2;RAC2	6	KEGG_2021_Human
T cell receptor signaling pathway	11/104	7.48677966193514e-08	2.10699370485889e-06	9.72812345345751	159.614594051922	CSF2;CD8A;RHOA;JUN;NFKBIA;PTPRC;IFNG;CD3E;CD3D;FOS;LCK	7	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	14/193	1.52907847153088e-07	3.41998230553455e-06	6.48598617555156	101.78737264215	CALM1;HLA-C;HLA-A;HLA-B;HLA-E;JUN;RPS27A;FOS;CSF2;ZFP36;UBC;UBB;NFKBIA;UBA52	8	KEGG_2021_Human
Yersinia infection	12/137	1.56242846445741e-07	3.41998230553455e-06	7.91596638655462	124.057872108084	ACTB;ARPC3;CD8A;ARPC2;ACTG1;RHOA;JUN;NFKBIA;ARPC1B;FOS;LCK;RAC2	9	KEGG_2021_Human
Human immunodeficiency virus 1 infection	14/212	4.82250118168985e-07	9.50032732792901e-06	5.85790104434172	85.2020163326959	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;CXCR4;RAC2;CFL1;NFKBIA	10	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	14/219	7.13493927631027e-07	1.27780276130284e-05	5.65584952459694	80.0477581549585	B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;CSF2;ZFP36;NFKBIA;LCK;SLC25A6	11	KEGG_2021_Human
IL-17 signaling pathway	9/94	2.72283806374535e-06	4.46999248798194e-05	8.6397363924823	110.708163625381	HSP90AA1;JUN;NFKBIA;IFNG;CSF2;TNFAIP3;FOS;FOSB;HSP90AB1	12	KEGG_2021_Human
Regulation of actin cytoskeleton	13/218	3.8625815956911e-06	5.85329672577805e-05	5.22970052485335	65.1839014456533	PFN1;MYL12B;ACTB;MYL12A;RHOA;ARPC1B;TMSB4X;CXCR4;RAC2;CFL1;ARPC3;ARPC2;ACTG1	13	KEGG_2021_Human
Human cytomegalovirus infection	13/225	5.45537871832691e-06	7.67649719650287e-05	5.05521057240666	61.2636344519737	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;CXCR4;RAC2;CCL4L2;NFKBIA;CCL5;CCL4	14	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	10/131	5.97102302317916e-06	7.84194357044196e-05	6.75929752066116	81.3048340061636	CSF2;HLA-C;HLA-A;HLA-B;HLA-E;IFNG;HCST;GZMB;LCK;RAC2	15	KEGG_2021_Human
Allograft rejection	6/38	7.09296158487612e-06	8.21949077776821e-05	15.1521516393443	179.650085727	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;IFNG	16	KEGG_2021_Human
Primary immunodeficiency	6/38	7.09296158487612e-06	8.21949077776821e-05	15.1521516393443	179.650085727	LCK;PTPRC;CD8A;IL7R;CD3E;CD3D	16	KEGG_2021_Human
Th17 cell differentiation	9/107	7.97236795698769e-06	8.72531381959208e-05	7.48869506308748	87.9137528690827	HSP90AA1;JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;LCK;HSP90AB1	18	KEGG_2021_Human
Viral myocarditis	7/60	9.62928424787255e-06	9.95574942241842e-05	10.7057224939825	123.658606584492	ACTB;HLA-C;HLA-A;HLA-B;HLA-E;ACTG1;RAC2	19	KEGG_2021_Human
Measles	10/139	1.01073598197141e-05	9.95574942241842e-05	6.3375322997416	72.8958600091444	HSPA1A;HSPA1B;JUN;HSPA8;NFKBIA;TNFAIP3;CD3E;CD3D;FOS;RACK1	20	KEGG_2021_Human
Graft-versus-host disease	6/42	1.29261253685773e-05	0.000119639316836215	13.4658469945355	151.575075863274	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;IFNG	21	KEGG_2021_Human
Leukocyte transendothelial migration	9/114	1.33607358903388e-05	0.000119639316836215	6.98695909899229	78.4159716545035	MYL12B;ACTB;CYBA;MYL12A;ACTG1;CD99;RHOA;CXCR4;RAC2	22	KEGG_2021_Human
Type I diabetes mellitus	6/43	1.48661639308545e-05	0.000127331925842536	13.1012405848471	145.638929604484	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;IFNG	23	KEGG_2021_Human
Lipid and atherosclerosis	12/215	1.77582880490548e-05	0.000145765947735992	4.85499027197086	53.1070792401089	HSPA1A;CALM1;HSPA1B;RHOA;JUN;FOS;CYBA;HSP90AA1;HSPA8;NFKBIA;HSP90AB1;CCL5	24	KEGG_2021_Human
Pathogenic Escherichia coli infection	11/197	3.96160257185541e-05	0.000312174282662206	4.8410491744275	49.0702145879	ACTB;RHOA;JUN;ARPC1B;FOS;RPS3;ARPC3;ARPC2;ACTG1;NFKBIA;GAPDH	25	KEGG_2021_Human
Epstein-Barr virus infection	11/202	4.97725899025662e-05	0.000377123085030982	4.7131152927775	46.697763732249	VIM;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;NFKBIA;TNFAIP3	26	KEGG_2021_Human
Tight junction	10/169	5.46549080463103e-05	0.000398778403152709	5.13390985324948	50.3866121367561	MYL6;MYL12B;ACTB;MYL12A;ARPC3;ARPC2;ACTG1;RHOA;JUN;ARPC1B	27	KEGG_2021_Human
Legionellosis	6/57	7.64673346961393e-05	0.000538002319112123	9.49807135969142	90.0288647042005	HSPA8;EEF1A1;NFKBIA;EEF1G;HSPA1A;HSPA1B	28	KEGG_2021_Human
Endocytosis	12/252	8.33480787166501e-05	0.000566192120937244	4.09873949579832	38.4973492324686	HSPA1A;HSPA1B;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;ARPC1B;CXCR4;ARPC3;ARPC2;HSPA8	29	KEGG_2021_Human
PD-L1 expression and PD-1 checkpoint pathway in cancer	7/89	0.000126359277605346	0.000829759256275105	6.90936464920205	62.021091625093	JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;LCK	30	KEGG_2021_Human
Th1 and Th2 cell differentiation	7/92	0.000155645540408225	0.000989102305174849	6.66448801742919	58.4337598434608	JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;LCK	31	KEGG_2021_Human
Necroptosis	9/159	0.000180211215608345	0.00110942529608887	4.87966804979253	42.0694772885376	PPIA;FTL;FTH1;HSP90AA1;IFNG;TNFAIP3;HMGB1;SLC25A6;HSP90AB1	32	KEGG_2021_Human
Osteoclast differentiation	8/127	0.000198727747255754	0.00118634443058738	5.45343426626849	46.4827547446764	CYBA;JUNB;JUN;NFKBIA;IFNG;FOS;LCK;FOSB	33	KEGG_2021_Human
Mitophagy	6/68	0.000205703853805633	0.00119187232940323	7.80856689582232	66.2874946101842	JUN;TOMM7;RPS27A;UBA52;UBC;UBB	34	KEGG_2021_Human
Chagas disease	7/102	0.00029523134834064	0.00166173073208875	5.95993069092484	48.4408342858449	JUN;NFKBIA;IFNG;CD3E;CD3D;FOS;CCL5	35	KEGG_2021_Human
Parkinson disease	11/249	0.000313828647954529	0.00171734010130673	3.77328504623607	30.4378204864938	CALM1;DUSP1;ATP5F1E;COX7C;RPS27A;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52	36	KEGG_2021_Human
Estrogen signaling pathway	8/137	0.000333050899780764	0.00177327100694082	5.02812479979499	40.2612774625382	HSPA1A;CALM1;HSPA1B;HSP90AA1;JUN;HSPA8;FOS;HSP90AB1	37	KEGG_2021_Human
Bacterial invasion of epithelial cells	6/77	0.000405843299942419	0.00205002897663222	6.81563149388132	53.2269701788613	RHOA;ARPC1B;ACTB;ARPC3;ARPC2;ACTG1	38	KEGG_2021_Human
Leishmaniasis	6/77	0.000405843299942419	0.00205002897663222	6.81563149388132	53.2269701788613	JUN;EEF1A1;NFKBIA;IFNG;FOS;CYBA	38	KEGG_2021_Human
Autoimmune thyroid disease	5/53	0.000515821145699081	0.00250455570430894	8.37670068027211	63.4095339067683	GZMB;HLA-C;HLA-A;HLA-B;HLA-E	40	KEGG_2021_Human
TNF signaling pathway	7/112	0.000521252710033841	0.00250455570430894	5.38957475994513	40.7412809004766	CSF2;JUNB;JUN;NFKBIA;TNFAIP3;FOS;CCL5	41	KEGG_2021_Human
