gene	avg_expr
EEF1A1	92.125
MALAT1	85.5625
B2M	74.125
TMSB4X	68.3125
RPLP1	63.4375
ACTB	59.25
RPL10	52.4375
RPS12	48.25
MT-CO1	47.9375
RPL13	43.3125
RPS15A	41.3125
RPS27	39.875
RPL28	39.3125
RPL32	34.875
RPL30	34.1875
MT-CO2	33.875
TPT1	31.75
RPS18	31.5625
RPL19	31.5
RPS3	31.4375
RPL11	31.0625
RPS19	30.875
RPS3A	29.1875
RPS8	28.625
HLA-B	28.4375
RPS27A	27.5
RPL18A	27.1875
RPS14	27
RPL39	26.75
RPS4X	26.5625
ACTG1	26.0625
CCL5	25.25
RPS2	24.9375
MT-CO3	24.5625
RPS23	24.3125
RPL34	24.25
RPL26	23.375
RPS15	23
RPL37	22.9375
RPL29	22.625
RPS28	22.5625
RPS6	22.0625
RPL7A	21.3125
RPS13	20.8125
FOS	20.5
MT-ND4L	20.0625
RPLP0	20
RPL12	19.75
JUNB	19.75
RPL18	19.6875
RPLP2	19.3125
RPS25	19.25
RPL6	19.125
RPL3	18.6875
RPS24	18.4375
RPL35A	18.125
HLA-A	18.0625
MT-CYB	18.0625
RPS7	17.875
GZMA	17.6875
RPL23A	17.625
RPL15	17.375
GAPDH	16.8125
MT-ATP6	16.75
RPL14	16.5625
FAU	16.25
TMSB10	16
RPSA	15.3125
RPL8	15.3125
RPS16	15.3125
PTMA	15.125
IL32	14.9375
RPL5	14.5
PFN1	14.375
EIF1	14.375
RACK1	14.1875
RPL17	14.1875
FTH1	13.9375
RPS26	13.8125
RPL21	13.8125
CD7	13.5625
HLA-C	13
RPL36	12.625
RPS9	12.375
RPL10A	12.25
BTG1	12.25
SH3BGRL3	11.6875
RPS21	11.4375
MT-ATP8	11.4375
RPL13A	11.125
RPS5	11
FTL	10.8125
RPL24	10.6875
ZFP36	10.5625
RPL9	10.5
H3F3B	10.5
EEF1B2	10.3125
NACA	10.3125
RPL22	10.1875
PTPRCAP	10.125
UBA52	10.125
PABPC1	9.8125
CD3E	9.8125
CD74	9.75
RPL4	9.6875
RPL41	9.5
CD52	9.375
HSPA8	9.3125
MT-ND3	9.25
RPL35	9.125
MT-ND1	8.75
ZFP36L2	8.5625
RPL37A	8.5625
MT-ND5	8.5
SRGN	8.4375
EEF2	8.375
RPS29	8.125
HLA-E	7.9375
CFL1	7.8125
RPL7	7.75
HSP90AA1	7.75
RAC2	7.75
IFITM1	7.625
DUSP1	7.5625
MYL6	7.5
TNFAIP3	7.375
CD3D	7.375
EEF1D	7.25
PPIA	7.125
SARAF	7.125
NKG7	7.0625
BTF3	7
EEF1G	6.9375
GNLY	6.75
SERF2	6.6875
H3F3A	6.625
PTPRC	6.5
UBC	6.5
RPL27	6.4375
ARHGDIB	6.375
COTL1	6.375
DDX5	6.1875
DUSP2	6
CD69	6
HNRNPA1	5.9375
ATP5F1E	5.9375
NPM1	5.875
PNRC1	5.875
RARRES3	5.875
TSC22D3	5.8125
RPL31	5.8125
GZMB	5.75
CORO1A	5.75
DNAJB1	5.625
LINC02446	5.5
NR4A2	5.25
VIM	5.25
RPL36AL	5.1875
OAZ1	5.1875
ARPC2	5.125
MYL12A	5.125
ATP5MC2	5.0625
RPL27A	5
LIMD2	5
RGS1	4.875
LAPTM5	4.75
BTG2	4.6875
CXCR4	4.6875
CALM1	4.6875
YWHAZ	4.625
EVL	4.625
RPS11	4.5625
MT-ND2	4.5625
MT-ND4	4.5625
LDHB	4.5
COX4I1	4.5
JUN	4.4375
ZFP36L1	4.4375
H2AFZ	4.1875
TOMM7	4.1875
CCL4	4.1875
TMA7	4.125
CLIC1	4.125
PPDPF	4.125
MCL1	4.0625
COX7C	4.0625
LCK	4
ARPC1B	4
LSP1	4
PFDN5	4
ZNF331	3.9375
SLC25A6	3.9375
DDIT4	3.9375
UBB	3.9375
HCST	3.9375
FYB1	3.875
LTB	3.875
ATP5MG	3.875
LAT	3.875
HINT1	3.8125
HSP90AB1	3.8125
YWHAB	3.8125
RPL38	3.75
YBX1	3.6875
CCNI	3.625
IL7R	3.625
KLF6	3.625
CYBA	3.625
FOSB	3.625
FKBP1A	3.5625
KLRB1	3.5
CD37	3.5
C12orf57	3.4375
FXYD5	3.4375
CD8A	3.375
UQCRB	3.375
ALOX5AP	3.375
ITM2B	3.375
PRF1	3.375
SUB1	3.3125
S100A6	3.25
SUMO2	3.25
SRP14	3.1875
MIF	3.1875
TRBC2	3.125
EIF3K	3.125
SNRPD2	3.125
HNRNPA2B1	3.0625
ARPC3	3.0625
CIRBP	3.0625
RPS20	3.0625
PCBP1	3
IFITM2	3
ALDOA	3
SRSF7	2.9375
TRBV7-9	2.9375
NFKBIA	2.9375
CST7	2.9375
TAGLN2	2.875
PPIB	2.875
CD99	2.8125
MYL12B	2.8125
ZFAS1	2.8125
GADD45B	2.8125
TRIR	2.8125
OST4	2.75
CYTIP	2.75
RHOA	2.75
IRF1	2.75
COMMD6	2.75
