gene	avg_expr
EEF1A1	139
RPLP1	103.333333333333
RPS12	101.333333333333
RPL10	81.6666666666667
RPL13	67
RPL32	65.3333333333333
RPS18	59
RPS27	57.6666666666667
B2M	57
RPS8	56.6666666666667
RPL28	56
RPS14	54.3333333333333
RPS3	53.3333333333333
RPS3A	51.6666666666667
RPL30	48
RPS15A	47.6666666666667
MT-CO1	47.3333333333333
RPL19	47.3333333333333
TMSB4X	46.3333333333333
RPS2	46
RPS6	45
RPS19	45
TPT1	43.6666666666667
MT-CO2	42.3333333333333
RPL11	41.6666666666667
RPS28	41
ACTB	40.3333333333333
RPS27A	39.6666666666667
RPL34	36.6666666666667
RPS23	36.3333333333333
RPL12	36.3333333333333
RPL26	35.6666666666667
RPL18A	35.6666666666667
RPS13	35.3333333333333
MALAT1	35.3333333333333
RPL39	34.6666666666667
RPS24	33.3333333333333
RPL35A	32
RPS15	32
RPL3	32
RPL7A	31.3333333333333
RPLP0	30.6666666666667
RPL37	29.6666666666667
MT-CO3	28
MT-ATP6	27.6666666666667
RPL14	27.3333333333333
RPL29	26.6666666666667
RPL10A	26.6666666666667
RPL17	26.6666666666667
RPS4X	26.3333333333333
RPL15	26.3333333333333
RPL6	25.6666666666667
RPL18	25.6666666666667
RPS7	25.3333333333333
JUNB	25.3333333333333
RPL5	24
MT-ND4L	24
RPL21	23.6666666666667
RPSA	23.3333333333333
RPL23A	23
RPLP2	23
RPS25	22
RPS5	22
RPS9	22
RPL8	21.6666666666667
EEF1B2	21.3333333333333
RPS26	21.3333333333333
TMSB10	20.6666666666667
RPL24	20.6666666666667
ACTG1	20.6666666666667
MT-CYB	20.6666666666667
RPS21	20.3333333333333
RACK1	20
FAU	19.6666666666667
RPS16	19.6666666666667
RPL13A	18.3333333333333
RPL22	17.6666666666667
RPL36	17.6666666666667
PFN1	16
NACA	15.6666666666667
RPL9	15.3333333333333
MT-ND3	15.3333333333333
GAPDH	15
TRBV4-2	14.3333333333333
RPL37A	14
RPL4	14
BTG1	14
ZFP36L2	13.6666666666667
PTMA	13.6666666666667
HLA-A	13.6666666666667
MT-ATP8	13.6666666666667
RPL7	13.6666666666667
PABPC1	13.6666666666667
MT-ND1	13
RPL35	13
ARHGDIB	12.6666666666667
HLA-B	12
EIF1	12
BTF3	11
HNRNPA1	11
EEF1G	10.6666666666667
EEF2	10.6666666666667
UBA52	10.6666666666667
FOS	10
RPL41	9.66666666666667
SRGN	9.33333333333333
MT-ND5	9.33333333333333
FTH1	9
RPS29	9
CD3E	8.66666666666667
DUSP1	8.33333333333333
HLA-C	8.33333333333333
SARAF	8.33333333333333
CD3D	8
RPL27	8
RPL31	8
