Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	73/158	7.75133284692526e-99	1.48825590660965e-96	95.4167497507478	21555.4127702163	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	74/232	1.67542055238948e-85	1.6084037302939e-83	52.1363636363636	10177.209454218	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS14;RPS13;RPS15A;RPS27A;STAT3;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Antigen processing and presentation	13/78	1.42785454695966e-11	9.13826910054182e-10	16.6118143459916	414.834597122003	CD74;HSP90AA1;HSPA5;HSPA8;CALR;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;HLA-DRB1;HSP90AB1	3	KEGG_2021_Human
Viral myocarditis	10/60	3.39007253528838e-09	1.62723481693842e-07	16.4166666666667	320.164638352643	CD28;ACTB;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DRB1;ACTG1;FYN;RAC2	4	KEGG_2021_Human
Parkinson disease	17/249	1.71225629840573e-08	6.57506418587799e-07	6.13819002515909	109.768446707852	CALM2;CALM1;ATP5F1E;COX7C;RPS27A;PARK7;UQCRB;ATP5MC3;ATP5MC2;UBC;UBB;HSPA5;NDUFB9;COX4I1;SLC25A6;UBA52;SLC25A5	5	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	15/219	1.16165062976851e-07	3.71728201525924e-06	6.11576971214018	97.6581623378175	RAN;B2M;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DRB1;CALR;CD3E;CD3D;ZFP36;CCNB2;LCK;SLC25A6;SLC25A5	6	KEGG_2021_Human
Yersinia infection	12/137	1.56242846445741e-07	4.28551807394032e-06	7.91596638655462	124.057872108084	ACTB;FYB1;ARPC3;CD8A;ARPC2;ACTG1;RHOA;ITGA4;LAT;LCK;WIPF1;RAC2	7	KEGG_2021_Human
Cell adhesion molecules	12/148	3.631817648928e-07	7.63359615593488e-06	7.27162629757785	107.826309965294	CD2;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;HLA-DRB1;CD99;ITGA4;PTPRC;CD28;TIGIT	8	KEGG_2021_Human
Prion disease	16/273	3.68236034533614e-07	7.63359615593488e-06	5.18620506169144	76.8312511833138	ATP5F1E;COX7C;RAC2;CYBA;UQCRB;ATP5MC3;ATP5MC2;HSPA5;HSPA8;NDUFB9;COX4I1;SOD1;SLC25A6;SLC25A5;CCL5;FYN	9	KEGG_2021_Human
Allograft rejection	7/38	3.97583133121608e-07	7.63359615593488e-06	18.3237753882915	270.05326904818	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;CD28;HLA-DRB1	10	KEGG_2021_Human
Graft-versus-host disease	7/42	8.14481222628953e-07	1.42163995222508e-05	16.2263374485597	227.504844147068	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;CD28;HLA-DRB1	11	KEGG_2021_Human
Type I diabetes mellitus	7/43	9.62554234534517e-07	1.45643596296933e-05	15.7748056698674	218.539037639695	GZMB;HLA-C;HLA-A;HLA-B;HLA-E;CD28;HLA-DRB1	12	KEGG_2021_Human
Human cytomegalovirus infection	14/225	9.86128516593815e-07	1.45643596296933e-05	5.49333279781509	75.9699313884529	CALM2;CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;CALR;STAT3;AKAP13;RAC2;CCL5;CCL4	13	KEGG_2021_Human
Fluid shear stress and atherosclerosis	11/139	1.42814306693607e-06	1.95859620608375e-05	7.05550470711297	94.9609939595415	CALM2;CALM1;HSP90B1;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;HSP90AB1;SUMO2;RAC2	14	KEGG_2021_Human
Shigellosis	14/246	2.82653410931735e-06	3.40916482881241e-05	4.99072180011689	63.7637539229635	PFN1;ACTB;MYL12A;RHOA;RPS27A;HCLS1;UBE2D3;ARPC3;ARPC2;ACTG1;UBC;UBB;UBA52;CCL5	15	KEGG_2021_Human
Human immunodeficiency virus 1 infection	13/212	2.84097069067701e-06	3.40916482881241e-05	5.38903377647732	68.8253161263878	CALM2;CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CALR;CD3E;CD3D;RAC2;CFL1;CCNB2	16	KEGG_2021_Human
Regulation of actin cytoskeleton	13/218	3.8625815956911e-06	4.36244509630995e-05	5.22970052485335	65.1839014456533	PFN1;ACTB;MYL12A;RHOA;TMSB4X;RAC2;CFL1;ARPC3;ARPC2;ACTG1;ITGA4;ITGAE;MYH9	17	KEGG_2021_Human
Autoimmune thyroid disease	7/53	4.13986336351387e-06	4.4158542544148e-05	12.3392377885132	152.942974043877	CD28;GZMB;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DRB1	18	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	12/193	5.97036937508519e-06	5.73218210225199e-05	5.45122800501416	65.5711959013469	CALM2;CALM1;HLA-C;HLA-A;HLA-B;HLA-E;RPS27A;STAT3;ZFP36;UBC;UBB;UBA52	19	KEGG_2021_Human
