Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	76/158	7.7974683722112e-105	1.46592405397571e-102	104.763666947014	25113.69854267	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	78/232	1.84282607209918e-92	1.73225650777323e-90	57.7049229839928	12188.8105450376	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Antigen processing and presentation	14/78	7.94159354091902e-13	4.97673195230925e-11	18.2470868644068	508.391069366352	CD74;HSP90AA1;HSPA8;HSPA1A;HSPA1B;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;PSME2;PSME1;HSP90AB1	3	KEGG_2021_Human
Salmonella infection	19/249	3.73058207431464e-10	1.75337357492788e-08	6.98061358930924	151.544141447628	PFN1;MYL12B;ACTB;S100A10;MYL12A;RHOA;JUN;TUBB;PTPRC;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;GAPDH;HSP90AB1	4	KEGG_2021_Human
Yersinia infection	12/137	1.56242846445741e-07	5.74062244239622e-06	7.91596638655462	124.057872108084	ACTB;FYB1;ARPC3;CD8A;ARPC2;ACTG1;RHOA;JUN;ARPC1B;FOS;LCK;RAC2	5	KEGG_2021_Human
Fluid shear stress and atherosclerosis	12/139	1.8321135454456e-07	5.74062244239622e-06	7.79051148018262	120.851286326241	CALM1;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;JUN;DUSP1;FOS;HSP90AB1;SUMO2;RAC2	6	KEGG_2021_Human
Shigellosis	15/246	5.20498083508043e-07	1.39790913856446e-05	5.39347886156397	78.0354390483316	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;ARPC1B;RPS27A;ARPC3;ARPC2;ACTG1;UBC;UBB;UBA52;CCL5	7	KEGG_2021_Human
Parkinson disease	15/249	6.07126854032877e-07	1.42674810697726e-05	5.32351336606656	76.2035815760926	CALM1;DUSP1;TUBB;ATP5F1E;COX7C;RPS27A;TUBA1B;COX6A1;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52;SLC25A5	8	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	14/219	7.13493927631027e-07	1.49040953771815e-05	5.65584952459694	80.0477581549585	RAN;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;ZFP36;LCK;SLC25A6;SLC25A5	9	KEGG_2021_Human
Prion disease	15/273	1.92331848840118e-06	3.61583875819422e-05	4.82236516575952	63.4693589261357	HSPA1A;HSPA1B;TUBB;ATP5F1E;COX7C;TUBA1B;RAC2;COX6A1;CYBA;ATP5MC2;HSPA8;COX4I1;SLC25A6;SLC25A5;CCL5	10	KEGG_2021_Human
