Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	75/158	8.02677620202963e-103	1.54114103078969e-100	101.550774526678	23872.909634936	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	78/232	1.84282607209918e-92	1.76911302921521e-90	57.7049229839928	12188.8105450376	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;NFKBIA;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Salmonella infection	20/249	5.03345330066309e-11	3.22141011242438e-09	7.41256882475793	175.7692761449	PFN1;MYL12B;ACTB;S100A10;MYL12A;RHOA;JUN;TUBB;PTPRC;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;NFKBIA;GAPDH;HSP90AB1	3	KEGG_2021_Human
Antigen processing and presentation	12/78	2.33957806284991e-10	1.12299747016796e-08	15.0374331550802	333.468318145267	CD74;HSP90AA1;HSPA8;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;PSME2;PSME1;HSP90AB1	4	KEGG_2021_Human
Parkinson disease	17/249	1.71225629840573e-08	5.76864897698166e-07	6.13819002515909	109.768446707852	CALM1;COX8A;DUSP1;TUBB;ATP5F1E;COX7C;RPS27A;TUBA1B;COX6A1;UQCRB;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52;SLC25A5	5	KEGG_2021_Human
Yersinia infection	13/137	1.80270280530677e-08	5.76864897698166e-07	8.68170681910984	154.806931817293	ACTB;FYB1;ARPC3;CD8A;ARPC2;ACTG1;RHOA;JUN;NFKBIA;ARPC1B;FOS;LCK;RAC2	6	KEGG_2021_Human
Shigellosis	16/246	8.92598558491423e-08	2.44827033186219e-06	5.80304719435154	94.193402344862	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;ARPC1B;RPS27A;ARPC3;ARPC2;ACTG1;UBC;UBB;NFKBIA;UBA52;CCL5	7	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	15/219	1.16165062976851e-07	2.78796151144443e-06	6.11576971214018	97.6581623378175	RAN;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;ZFP36;NFKBIA;LCK;SLC25A6;SLC25A5	8	KEGG_2021_Human
Fluid shear stress and atherosclerosis	12/139	1.8321135454456e-07	3.90850889695062e-06	7.79051148018262	120.851286326241	CALM1;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;JUN;DUSP1;FOS;HSP90AB1;SUMO2;RAC2	9	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	13/193	9.95310255654469e-07	1.91099569085658e-05	5.96366619784341	82.4191271776234	CALM1;HLA-C;HLA-A;HLA-B;HLA-E;JUN;RPS27A;FOS;ZFP36;UBC;UBB;NFKBIA;UBA52	10	KEGG_2021_Human
Pathogenic Escherichia coli infection	13/197	1.25409696210257e-06	2.18896924294267e-05	5.83282883874518	79.2628640214201	ACTB;RHOA;JUN;TUBB;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;ACTG1;NFKBIA;GAPDH	11	KEGG_2021_Human
Diabetic cardiomyopathy	13/203	1.75499874442127e-06	2.80799799107403e-05	5.64690206528981	74.8386325929727	COX8A;ATP5F1E;COX7C;RAC2;PPP1CA;COX6A1;CYBA;UQCRB;ATP5MC2;COX4I1;SLC25A6;SLC25A5;GAPDH	12	KEGG_2021_Human
Prion disease	15/273	1.92331848840118e-06	2.84059345979251e-05	4.82236516575952	63.4693589261357	COX8A;TUBB;ATP5F1E;COX7C;TUBA1B;RAC2;COX6A1;CYBA;UQCRB;ATP5MC2;HSPA8;COX4I1;SLC25A6;SLC25A5;CCL5	13	KEGG_2021_Human
Human immunodeficiency virus 1 infection	13/212	2.84097069067701e-06	3.89618837578561e-05	5.38903377647732	68.8253161263878	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;RAC2;CFL1;NFKBIA	14	KEGG_2021_Human
Regulation of actin cytoskeleton	13/218	3.8625815956911e-06	4.94410444248461e-05	5.22970052485335	65.1839014456533	PFN1;MYL12B;ACTB;MYL12A;RHOA;ARPC1B;TMSB4X;RAC2;PPP1CA;CFL1;ARPC3;ARPC2;ACTG1	15	KEGG_2021_Human
T cell receptor signaling pathway	9/104	6.31083673801777e-06	7.57300408562133e-05	7.72635946713256	92.5095738819729	CD8A;RHOA;JUN;NFKBIA;PTPRC;CD3E;CD3D;FOS;LCK	16	KEGG_2021_Human
Primary immunodeficiency	6/38	7.09296158487612e-06	8.01087426056597e-05	15.1521516393443	179.650085727	LCK;PTPRC;CD8A;IL7R;CD3E;CD3D	17	KEGG_2021_Human
Tight junction	11/169	9.49744588298835e-06	9.73064513469226e-05	5.7071129707113	65.999837466534	MYL6;MYL12B;ACTB;MYL12A;ARPC3;ARPC2;ACTG1;RHOA;JUN;ARPC1B;TUBA1B	18	KEGG_2021_Human
Viral myocarditis	7/60	9.62928424787255e-06	9.73064513469226e-05	10.7057224939825	123.658606584492	ACTB;HLA-C;HLA-A;HLA-B;HLA-E;ACTG1;RAC2	19	KEGG_2021_Human
Phagosome	10/152	2.20815023760767e-05	0.000211982422810336	5.75352112676056	61.6821783959182	ACTB;HLA-C;HLA-A;CYBA;HLA-B;HLA-E;ACTG1;CORO1A;TUBB;TUBA1B	20	KEGG_2021_Human
Cellular senescence	10/156	2.76295894477193e-05	0.000243035574643301	5.59474885844749	58.7259711025409	PPP1CA;CALM1;ZFP36L1;ZFP36L2;HLA-C;HLA-A;HLA-B;HLA-E;SLC25A6;SLC25A5	21	KEGG_2021_Human
Human cytomegalovirus infection	12/225	2.78478262612116e-05	0.000243035574643301	4.62468931234466	48.5072361372347	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;RAC2;CCL4L2;NFKBIA;CCL5;CCL4	22	KEGG_2021_Human
Epstein-Barr virus infection	11/202	4.97725899025662e-05	0.000415492924404031	4.7131152927775	46.697763732249	VIM;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;NFKBIA;TNFAIP3	23	KEGG_2021_Human
Th17 cell differentiation	8/107	5.98503691551769e-05	0.000478802953241416	6.56181651222974	63.804892156984	HSP90AA1;JUN;NFKBIA;CD3E;CD3D;FOS;LCK;HSP90AB1	24	KEGG_2021_Human
