gene	avg_expr
ACTB	135.087378640777
TMSB4X	114.830097087379
B2M	113.019417475728
EEF1A1	112.834951456311
RPLP1	88.7621359223301
MALAT1	76.9271844660194
MT-CO1	64.4611650485437
RPL10	60.9126213592233
MT-CO2	55.7038834951456
RPS12	55.5533980582525
RPL13	52.0679611650486
HLA-B	48.6796116504854
RPL28	48.1407766990291
RPS15A	46.4271844660194
TPT1	44.368932038835
RPS27	43.9466019417476
RPS19	43.6553398058253
ACTG1	41.873786407767
RPS3	41.3495145631068
RPS18	39.8106796116505
RPL32	39.6456310679612
GAPDH	38.5
MT-CO3	38.121359223301
RPL30	36.8398058252427
RPL19	36.6601941747573
RPS27A	36.3398058252427
RPS3A	36.2233009708738
PFN1	36.126213592233
RPS4X	35.7427184466019
RPS8	35.2378640776699
TMSB10	34.8495145631068
RPS2	34.6650485436893
CCL5	34.2184466019418
RPLP0	33.2233009708738
RPL11	32.9854368932039
RPS14	32.2233009708738
RPL39	31.4514563106796
RPL18A	31.004854368932
RPS15	29.1990291262136
RPL26	29.0776699029126
RPS23	28.8640776699029
RPL34	28.5776699029126
RPS6	28.1116504854369
MT-ND4L	27.6504854368932
MT-ATP6	27.2135922330097
RPL7A	27.0922330097087
RPS28	26.9660194174757
HLA-A	26.504854368932
PTMA	26.3592233009709
RPL37	26.0485436893204
RPS24	25.8640776699029
MT-CYB	25.5194174757282
FOS	25.4514563106796
RPL29	25.0582524271845
RPL3	25.0339805825243
RPS13	24.8786407766991
RPS7	24.7038834951457
RPLP2	24.6796116504855
RPL18	24.3349514563107
GNLY	24.0679611650485
FTH1	23.616504854369
RPSA	23.5048543689321
RPL12	23.2184466019418
IL32	22.9223300970874
RPS25	21.9902912621359
RPL6	21.9466019417476
RPL35A	21.9223300970874
SH3BGRL3	21.7135922330097
RPL8	21.6019417475728
RPL23A	20.9417475728155
CCL4	20.4757281553398
RPL14	20.3300970873787
CFL1	20.2718446601942
HLA-C	20.116504854369
RPL15	20.1019417475728
CD52	20.0825242718447
MT-ATP8	20.0097087378641
FAU	18.6844660194175
RPL17	18.6699029126214
RPS26	18.1893203883495
RACK1	17.9466019417476
RPS16	17.7815533980583
RPL5	17.3883495145631
VIM	16.7038834951456
RPS21	16.626213592233
RPS9	16.3106796116505
RPS5	16.242718446602
ARHGDIB	16.1116504854369
PPIA	15.752427184466
FTL	15.6796116504854
RPL36	15.5339805825243
RPL10A	15.1116504854369
EIF1	15.0145631067961
CORO1A	14.752427184466
RPL21	14.6553398058253
H3F3B	14.5922330097088
NACA	14.2815533980583
CD74	14.1796116504854
RPL13A	14.0922330097088
JUNB	14.0776699029126
HSPA8	14.0339805825243
MT-ND3	13.9563106796117
COTL1	13.6941747572815
RPL35	13.6650485436893
RPL37A	13.378640776699
MYL6	13.3058252427185
RPL24	13.1553398058253
ZFP36L2	13.0970873786408
RPL41	13.0533980582524
UBA52	12.9854368932039
RPL9	12.7135922330097
HSP90AA1	12.5485436893204
S100A4	12.4660194174757
BTG1	12.3640776699029
CD3E	12.2766990291262
RPL22	12.0873786407767
PTPRCAP	12.0679611650486
RPL4	11.7330097087379
RPS29	11.6310679611651
PABPC1	11.5
MT-ND1	11.4126213592233
RAC2	11.2961165048544
ZFP36	11.1990291262136
CD7	11.1796116504854
EEF1B2	11.0048543689321
TUBA1B	10.9708737864078
GZMA	10.7912621359223
DUSP1	10.621359223301
MYL12A	10.5825242718447
SERF2	10.5048543689321
EEF2	10.3932038834952
SRGN	10.3592233009709
HMGB1	10.3398058252427
UBC	10.3058252427185
RPL27	10.2766990291262
MT-ND5	10.2621359223301
GZMB	9.9368932038835
HNRNPA1	9.92233009708739
HLA-E	9.89320388349517
TNFAIP3	9.66990291262137
BTF3	9.53883495145633
IFITM1	9.44660194174758
ARPC2	9.10194174757283
ATP5F1E	9.08737864077672
NKG7	9.00485436893205
CD3D	8.96116504854371
CALM1	8.93689320388351
EEF1D	8.93203883495147
SARAF	8.91262135922332
HMGN2	8.66504854368933
CD8A	8.60194174757282
RPL7	8.53398058252429
PTPRC	8.45631067961166
EEF1G	8.45145631067962
H3F3A	8.40291262135924
CRIP1	8.37864077669904
KLF6	8.37864077669904
NPM1	8.29126213592235
CYBA	7.86407766990293
ARPC1B	7.7718446601942
HNRNPA2B1	7.76213592233012
OAZ1	7.68446601941749
CD69	7.6601941747573
CLIC1	7.55825242718448
RARRES3	7.55339805825245
LAPTM5	7.55339805825244
HIST1H4C	7.48543689320389
TSC22D3	7.38349514563108
RPL31	7.37378640776701
IL7R	7.12135922330098
COX4I1	7.10679611650487
TUBB	7.08737864077671
ATP5MG	7.04854368932041
JUN	6.99514563106796
RPL38	6.93203883495147
CD2	6.90776699029128
CHCHD2	6.86407766990293
DUSP2	6.83009708737865
ATP5MC2	6.80097087378643
RHOA	6.71359223300972
EVL	6.70388349514565
RPL27A	6.64077669902914
RPL36AL	6.58252427184468
PFDN5	6.55825242718448
PSME1	6.52427184466021
YBX1	6.41747572815536
RPS11	6.41262135922332
IFITM2	6.35922330097089
CD99	6.35922330097089
ARPC3	6.35436893203885
PCBP1	6.3349514563107
S100A6	6.27184466019419
HINT1	6.25242718446604
ITM2B	6.20388349514564
ANXA1	6.1359223300971
LSP1	6.11650485436895
DNAJB1	6.08252427184467
LDHB	6.07766990291264
SLC25A6	6.07766990291263
TMA7	6.06796116504855
YWHAZ	6.03398058252429
HSP90AB1	5.95631067961167
RGS1	5.94174757281554
KLRB1	5.92718446601943
H2AFZ	5.92233009708738
MIF	5.90291262135924
PPIB	5.85922330097089
PNRC1	5.8106796116505
UBB	5.71359223300972
DDX5	5.70873786407768
CNN2	5.68932038834953
MT-ND4	5.66504854368933
COX7C	5.59223300970875
TPI1	5.47087378640778
HCST	5.42718446601943
MYL12B	5.41747572815535
PPDPF	5.40291262135924
LCP1	5.34466019417477
FYB1	5.31067961165051
LDHA	5.29611650485439
TOMM7	5.22815533980584
YWHAB	5.21359223300973
MT-ND2	5.18446601941749
TAGLN2	5.16504854368933
SRP14	5.13106796116506
RAN	5.10679611650487
SUMO2	5.0728155339806
SLC25A5	4.96601941747574
CCNI	4.95631067961166
SUB1	4.93203883495147
LCK	4.84951456310681
PSMB9	4.84466019417477
LIMD2	4.80582524271846
NR4A2	4.80097087378642
PSME2	4.75242718446603
CCL4L2	4.69417475728155
S100A10	4.64077669902914
PCBP2	4.62621359223302
EIF3K	4.62135922330098
HSPA1A	4.60679611650486
CXCR4	4.59708737864078
NFKBIA	4.5873786407767
LINC02446	4.54854368932039
CST7	4.53883495145632
ZFP36L1	4.53883495145632
CALR	4.42233009708739
HSPA1B	4.37864077669903
UQCRB	4.36893203883496
ALDOA	4.35922330097089
TPM3	4.34951456310681
