gene	avg_expr
EEF1A1	121.5
B2M	102.166666666667
MALAT1	95.5
RPLP1	73.8333333333333
ACTB	62
RPL10	58.3333333333333
RPS12	53.8333333333333
TMSB4X	51.5
RPL13	48.5
RPL28	44.8333333333333
TPT1	43.3333333333333
MT-CO2	41.6666666666667
RPS27	41.6666666666667
RPS15A	41.3333333333333
HLA-B	38.5
RPL30	38.1666666666667
RPS3	36.3333333333333
RPS19	35.5
MT-CO1	35
RPS18	34.8333333333333
RPL32	34.8333333333333
FTH1	34.8333333333333
RPL19	34.1666666666667
RPS27A	33.1666666666667
RPL18A	32.6666666666667
RPS4X	31.5
RPS14	30.6666666666667
RPS3A	29.8333333333333
RPL26	29.3333333333333
HLA-A	28.3333333333333
RPL11	28.3333333333333
RPL39	28.3333333333333
RPS8	27.8333333333333
RPS23	26.8333333333333
RPLP0	26.8333333333333
RPS2	26.5
RPL34	25.5
RPS15	25.3333333333333
RPS13	25
RPL37	24
RPL18	23.5
RPS28	23.5
RPL3	23.1666666666667
MT-CO3	22.6666666666667
ACTG1	22.5
RPS7	22.5
RPS6	22.5
RPL6	22.1666666666667
MT-ND4L	22
RPL29	21.6666666666667
RPL7A	21.6666666666667
MT-ATP6	20.6666666666667
RPS24	20.6666666666667
JUNB	19.8333333333333
RPL15	19.6666666666667
RPS25	19.5
RPL35A	19.3333333333333
RACK1	19.1666666666667
RPL17	18.6666666666667
PTMA	18.6666666666667
MT-CYB	18.6666666666667
TMSB10	18.5
FOS	18.5
MT-ATP8	18.3333333333333
HLA-C	18.1666666666667
RPL12	18.1666666666667
FAU	18.1666666666667
ZFP36	18
RPL14	18
RPL23A	17.8333333333333
RPLP2	17.3333333333333
RPS26	17.1666666666667
DUSP1	17
S100A4	16.8333333333333
RPL8	16.8333333333333
RPS16	16.5
RPSA	15.8333333333333
RPS21	15.6666666666667
PFN1	15.6666666666667
RPL36	15.6666666666667
RPL5	15
RPS9	14.6666666666667
RPL21	14.1666666666667
RPS5	14
SH3BGRL3	13.1666666666667
LTB	13.1666666666667
GAPDH	13.1666666666667
TNFAIP3	13
EIF1	12.8333333333333
RPL10A	12.5
SRGN	12.5
IL32	12.3333333333333
H3F3B	12.1666666666667
UBC	11.8333333333333
TSC22D3	11.6666666666667
MT-ND3	11.3333333333333
HNRNPA1	11.3333333333333
RPL22	11.1666666666667
RPL24	11.1666666666667
RPL35	11.1666666666667
RPL9	11
NACA	11
RPL13A	10.8333333333333
CD52	10.8333333333333
HSPA8	10.5
RPS29	10.3333333333333
VIM	10.1666666666667
IL7R	10
UBA52	10
RPL37A	9.83333333333333
BTG1	9.83333333333333
ARHGDIB	9.66666666666667
PTPRCAP	9.66666666666666
EEF1B2	9.5
RPL41	9.5
SARAF	9.33333333333333
IFITM1	9.33333333333333
PABPC1	9.16666666666667
FTL	9.16666666666667
FXYD5	9.16666666666667
KLRB1	9
BTF3	9
EEF2	9
MT-ND1	9
RPL27	8.83333333333333
CD69	8.5
CD3E	8.33333333333333
MYL6	8.33333333333333
ZFP36L2	8.16666666666667
CCL4	8.16666666666666
HLA-E	8
EEF1D	7.83333333333333
RPL4	7.66666666666667
MT-ND5	7.66666666666667
EEF1G	7.66666666666667
LAPTM5	7.5
CRIP1	7.5
CFL1	7.5
RPL31	7.33333333333333
CORO1A	7.16666666666667
CXCR4	7
PPIA	7
CALM1	7
MYL12A	7
NFKBIA	6.66666666666667
ATP5F1E	6.66666666666667
H3F3A	6.5
RAC2	6.5
IFITM2	6.33333333333333
PNRC1	6.33333333333333
RPL7	6.16666666666667
S100A6	6
NR4A2	6
PFDN5	6
PTPRC	6
NPM1	6
SERF2	6
ANXA1	6
KLF6	5.83333333333333
ITM2B	5.83333333333333
RPL27A	5.83333333333333
OAZ1	5.83333333333333
RPS11	5.83333333333333
SLC25A6	5.66666666666667
RPL36AL	5.66666666666667
ALOX5AP	5.66666666666667
HMGB1	5.5
EVL	5.5
HSP90AA1	5.5
FOSB	5.5
ATP5MG	5.33333333333333
CD74	5.16666666666667
CLIC1	5.16666666666667
LSP1	5.16666666666667
HNRNPA2B1	5
CYBA	5
CCNI	5
COX4I1	5
YWHAB	4.83333333333333
YWHAZ	4.83333333333333
PCBP2	4.83333333333333
ATP5MC2	4.83333333333333
PCBP1	4.83333333333333
TAGLN2	4.66666666666667
COX7C	4.66666666666667
TRBV20-1	4.66666666666667
ARPC3	4.66666666666667
TMA7	4.66666666666667
ARPC1B	4.66666666666667
CD3D	4.66666666666667
MT2A	4.66666666666667
UBB	4.66666666666667
PPDPF	4.66666666666667
CD37	4.66666666666667
YBX1	4.5
UQCRB	4.5
SPOCK2	4.5
ZNF331	4.5
DDX5	4.33333333333333
MIF	4.33333333333333
CD48	4.16666666666667
SRSF7	4.16666666666667
HINT1	4.16666666666667
CD7	4.16666666666667
EMP3	4.16666666666667
MT-ND4	4.16666666666667
ZFP36L1	4
EIF3K	4
RPL38	4
TRBV11-2	4
DAZAP2	4
ARPC2	4
EIF3L	3.83333333333333
RPS10	3.83333333333333
RHOA	3.83333333333333
OST4	3.66666666666667
SEPT9	3.66666666666667
PPP1R15A	3.66666666666667
FYB1	3.66666666666667
TPI1	3.5
MT-ND2	3.5
CD2	3.5
DNAJA1	3.5
HNRNPK	3.5
SLC25A3	3.5
BTG2	3.33333333333333
CST7	3.33333333333333
LCK	3.33333333333333
DUSP2	3.33333333333333
TOMM7	3.33333333333333
RPS20	3.33333333333333
RARRES3	3.33333333333333
GABARAP	3.33333333333333
HCST	3.33333333333333
HSP90AB1	3.16666666666667
HMGN2	3.16666666666667
EIF4B	3.16666666666667
SUMO2	3.16666666666667
S100A11	3.16666666666667
PKM	3.16666666666667
KLF2	3.16666666666667
GZMA	3.16666666666667
CHCHD2	3
SLC2A3	3
COX6A1	3
RGCC	3
HNRNPC	3
CIRBP	3
MT-ND6	3
S100A10	3
