Gene	Expression
1	EEF1A1	163.067840247341
2	MALAT1	144.748100179668
3	B2M	143.731496031677
4	TMSB4X	124.077751923862
5	RPLP1	115.625414747413
6	ACTB	103.716588437205
7	CCL4	89.8855901844732
8	RPL10	86.7966267110962
9	MT-CO1	81.6600961446358
10	RPS12	75.6496558075109
11	RPL13	71.4187595639202
12	FOS	66.6680927036152
13	TPT1	65.1521061378183
14	CCL5	63.5990000319063
15	MT-CO2	63.2055025791023
16	RPS19	56.8955982044302
17	RPS27	56.1482428692236
18	RPL32	55.3171701626942
19	RPL28	55.0171863990283
20	RPS3	53.5668056566452
21	HLA-B	52.2653186788321
22	RPS18	52.105424547658
23	RPL30	51.6578370183338
24	RPS15A	50.9419247524256
25	RPS3A	49.094580802472
26	RPS27A	48.4944642435742
27	RPL19	46.4935369865419
28	RPS4X	46.4709012185349
29	RPS14	44.2201286693883
30	RPL11	42.3319567648638
31	RPL39	41.9341150593615
32	RPS8	40.8619825105424
33	MT-CO3	40.0535800240039
34	MT-ND4L	39.2030820535305
35	RPL34	38.312886817834
36	RPL18A	37.9507513119235
37	CCL4L2	37.8540904605571
38	RPS2	37.7194051690278
39	RPS23	37.267075747701
40	MT-CYB	35.4162024591254
41	RPS6	35.2161040870799
42	MT-ATP6	35.0098576640326
43	RPL26	34.9991984373462
44	RPLP2	33.3124950062323
45	RPL3	32.8862546566741
46	RPS15	32.4525945598445
47	RPS13	32.2332244966536
48	RPL7A	32.1139437540163
49	RPS28	32.0666040547105
50	RPLP0	31.6682354003125
51	RPL37	30.7727690786516
52	RPS7	30.364485601569
53	RPL18	29.8862720271263
54	RPL29	29.5436318991
55	RPL12	29.1034396819187
56	HLA-C	28.8087955333808
57	HLA-A	28.649556349353
58	RPS25	28.3369077022635
59	PTMA	28.2245266054105
60	RPL8	28.0392605056759
61	RPL35A	27.6099442306985
62	ACTG1	27.3775903883316
63	MT-ATP8	27.1374453255451
64	RPS24	27.0789155625319
65	PFN1	26.9886240943399
66	RPL6	26.6726206320079
67	FTH1	25.5287068799183
68	RPSA	25.5101532102399
69	ZFP36	25.3627166744611
70	RPL14	25.337125931939
71	RPL23A	25.3370939753533
72	IL32	24.0903071527742
73	FAU	23.8919118203684
74	SH3BGRL3	23.7745133319646
75	CD69	23.6398860501156
76	JUNB	23.5039424203167
77	VIM	23.3418051630405
78	GAPDH	23.2021744936594
79	RPL17	23.0735252766324
80	RPL15	23.0302517103212
81	RPL5	22.7584897440437
82	TMSB10	22.5908276870718
83	RPS16	22.1959824359572
84	ZFP36L2	21.9761426827944
85	DUSP1	21.7457661290615
86	RPS5	21.2740628236209
87	EIF1	21.1475964831342
88	RPL21	20.7210191755774
89	FTL	20.6094077936881
90	MT-ND3	20.2910959150974
91	RACK1	19.8730438954865
92	BTG1	19.8346698397714
93	CD52	19.4529184259026
94	JUN	19.4037305610484
95	RPS21	18.8953085059109
96	RPL10A	18.6782092785452
97	RPL36	18.3399645051018
98	RPL9	17.7086460865944
99	RPS9	17.5482535226335
100	RPL13A	17.3384338312039
101	CD3E	16.9964860264687
102	H3F3B	16.8425212053772
103	PABPC1	16.6575079982344
104	KLF6	16.644443046128
105	HSPA8	16.572826424891
106	RPS26	16.4308375314648
107	NACA	16.4040569058464
108	UBA52	16.3334681188108
109	CD8A	16.3217891393375
110	MT-ND5	16.3211099390543
111	CFL1	15.8952758285488
112	RPL35	15.7593798072326
113	MT-ND1	15.284048461989
114	CD7	15.2458304063283
115	RPL22	14.8051988578178
116	RPL24	14.7415640385865
117	ARHGDIB	14.4431790588885
118	HLA-E	14.3551312353465
119	UBC	14.3533312208137
120	EEF1B2	14.3410291173692
121	RPL37A	14.0796074340696
122	SARAF	14.0409838985135
123	RPL41	13.8788369228511
124	TNFAIP3	13.8174178779595
125	RPS29	13.7989500388926
126	RPL4	13.6977643444752
127	MYL12A	13.6855667133985
128	S100A4	13.5430590783004
129	PTPRCAP	13.3890442566396
130	NR4A2	13.1813527716016
131	IFITM1	13.0031911263987
132	HSP90AA1	12.8776221231653
133	EEF1D	12.5493150000388
134	CORO1A	12.4734056549646
135	EEF2	12.2371131733497
136	TSC22D3	12.0584340532618
137	PPIA	11.9344771725675
138	FOSB	11.9318244286147
139	RPL27	11.8398629709836
140	SRGN	11.6854851452682
141	KLRB1	11.0210638524319
142	PTPRC	11.0160460713065
143	RAC2	10.8538190041415
144	MYL6	10.7687852482668
145	XCL1	10.6137649050379
146	CD3D	10.5699123311439
147	DDX5	10.5290945188764
148	EEF1G	10.3796200422932
149	GZMA	10.2965540963284
150	PNRC1	10.2946997202349
151	SERF2	10.280297424067
152	NKG7	10.2597788751883
153	MT-ND4	10.2029744258365
154	CALM1	10.1848284461932
155	XCL2	9.98563213457846
156	BTF3	9.64443557134413
157	RPL7	9.6204240572075
158	ITM2B	9.57189683373799
159	ATP5F1E	9.53204115460387
160	PFDN5	9.51484376036464
161	CYBA	9.4377298215628
162	DNAJB1	9.37237119054204
163	EVL	9.29671947430102
164	HNRNPA1	9.26950618510086
165	IL7R	9.26944506932369
166	IFNG	9.19526465674502
167	LAPTM5	9.14184292281641
168	ZFP36L1	8.96407400230707
169	HSPA1B	8.80854715321196
170	RPL31	8.7716157789178
171	HSPA1A	8.59463603961459
172	CXCR4	8.58523731413747
173	COTL1	8.54878010763112
174	MT-ND2	8.53384862571938
175	RPL38	8.50904331625284
176	CD2	8.45779258350912
177	TXNIP	8.44457442703772
178	H3F3A	8.40570065639325
179	CD8B	8.36156690611159
180	OAZ1	8.35105529319294
181	RPL27A	8.32544684993204
182	NPM1	8.2655798415711
183	DUSP2	8.20214613638545
184	HNRNPA2B1	8.05483973848678
185	COX4I1	8.04338581276481
186	CRIP1	8.01277825218067
187	PPDPF	7.99322825169818
188	HCST	7.8859124368959
189	RPS11	7.82735151360307
190	YWHAZ	7.72817590092658
191	ARPC2	7.72670245562233
192	ANXA1	7.66209543189091
193	HSP90AB1	7.6169118591217
194	RPL36AL	7.54447023535098
195	NR4A1	7.5358652445438
196	PCBP1	7.46302823201583
197	CLIC1	7.43422222925967
198	UBB	7.3989830060802
199	S100A6	7.28227392739468
200	IFITM2	7.17158149814026
201	LSP1	7.12108693472739
202	BTG2	6.98476681722829
203	MYL12B	6.77568822923195
204	TMA7	6.72574457426146
205	RHOA	6.639472631361
206	TOMM7	6.60651943503938
207	MIF	6.55707786542225
208	CCNI	6.54434433233105
209	YBX1	6.47568491950753
210	CD99	6.45631265907479
211	MCL1	6.37814706060006
212	ARPC1B	6.37051078361697
213	PCBP2	6.22966191164974
214	ATP5MG	6.17200176545311
215	SLC25A6	6.16766613592758
216	SRSF7	6.15145660349291
217	ATP5MC2	6.14801642152739
218	PTGER4	6.07395699963549
219	FYB1	6.06090956444318
220	S100A10	6.05942585171155
221	ARPC3	6.02120690032058
222	HMGB1	5.92626013134605
223	RPS20	5.89789978261607
224	TRBC2	5.85548649603832
225	CD74	5.80274439710614
226	GADD45B	5.7896678812128
227	HOPX	5.78530594751629
228	COX7C	5.74859905023978
229	SLC2A3	5.71711316655575
230	TAGLN2	5.71433823373463
231	RARRES3	5.59094157753568
232	PSME1	5.54810285776355
233	LCP1	5.49310833459399
234	LCK	5.44705330843952
235	CYTIP	5.41451480771421
236	CITED2	5.36364708023374
237	RGS1	5.33368454741817
238	CD37	5.31551221268154
239	TNF	5.30965166295265
240	PPP1R15A	5.30574376846428
241	TAGAP	5.1992111335195
242	CD48	5.13784487998079
243	CST7	5.12829220235197
244	PPIB	5.12256714956149
245	LINC02446	5.07640244892579
246	HINT1	5.05281980484226
247	CD3G	5.0190041734564
248	PGK1	5.01499148306031
249	CD96	5.00775608135405
250	COMMD6	4.95935666766598
