gene	avg_expr
EEF1A1	127.764705882353
ACTB	113.529411764706
MALAT1	99.4705882352941
RPLP1	96.6470588235294
B2M	84.5882352941177
TMSB4X	72.6470588235294
RPL10	62.3529411764706
MT-CO1	61.0588235294118
RPS12	58.1176470588235
MT-CO2	55.8823529411765
RPL13	52.7647058823529
FOS	52.5294117647059
TPT1	45.1764705882353
GAPDH	43.8235294117647
RPS3	43.5294117647059
RPL28	43.2352941176471
RPL32	41.1764705882353
RPS2	40
RPS15A	39.9411764705882
RPL19	39.7647058823529
RPS3A	39.4117647058823
RPS27A	38.8235294117647
RPS18	38.4705882352941
RPLP0	37.2352941176471
RPS8	36.1764705882353
RPS4X	35
ACTG1	34.7647058823529
MT-CO3	34.4705882352941
RPL11	34.4705882352941
RPL30	33.7058823529412
RPS19	33.7058823529412
RPL18A	33.2941176470588
PTMA	33.1764705882353
RPS14	32.5882352941176
MT-ND4L	32.1764705882353
FTH1	31.1764705882353
RPS27	30.5294117647059
RPS23	30.1764705882353
PFN1	29.3529411764706
RPS6	29.2352941176471
RPL7A	29
MT-ATP6	28.6470588235294
HLA-B	28
HSPA8	27.7647058823529
MT-CYB	27.1764705882353
TMSB10	27
RPSA	26.9411764705882
RPS13	26.1764705882353
DUSP1	26.0588235294118
RPLP2	25.9411764705882
RPL39	25.2352941176471
RPL3	25.1176470588235
RPS7	24.6470588235294
RPL26	24.4705882352941
RPS28	24.1176470588235
RPL34	24.1176470588235
RPL12	24.0588235294118
RPS15	23.8823529411765
RPL18	23.7058823529412
RPL29	23.4117647058824
MT-ATP8	23.2941176470588
RPL8	22.7058823529412
VIM	22.7058823529412
JUNB	22.5294117647059
RPS24	22.0588235294118
RPS25	21.8823529411765
HSP90AA1	21.7058823529412
RPL14	21.3529411764706
RPL17	20.7647058823529
RPL37	20.5294117647059
CD69	20.4705882352941
RPL6	20.2352941176471
IL32	20.2352941176471
RPL15	19.9411764705882
RPL35A	19.7058823529412
RPL5	19.5882352941176
RPL23A	19.5294117647059
RPS16	19.1764705882353
RPS5	18
PPIA	17.7647058823529
FAU	17.5294117647059
RACK1	17.1764705882353
RPL10A	17.1176470588235
S100A4	16.7647058823529
JUN	16.5882352941176
RPL21	16.5294117647059
TUBA1B	16.4117647058823
CFL1	16.2941176470588
RPS21	15.7058823529412
HLA-A	15.4117647058824
RPS9	15.2941176470588
EIF1	15
RPL35	14.7058823529412
RPL9	14.7058823529412
HSPA1A	14.1764705882353
H3F3B	13.8823529411765
EEF1B2	13.7647058823529
RPL36	13.7647058823529
SH3BGRL3	13.4705882352941
RPL13A	13.2352941176471
MT-ND5	13.2352941176471
HLA-C	13.1176470588235
RPS26	13.0588235294118
IL7R	12.9411764705882
HSP90AB1	12.8823529411765
ARHGDIB	12.8235294117647
FTL	12.7058823529412
CORO1A	12.5882352941176
ZFP36	12.5294117647059
BTG1	12.4705882352941
UBA52	12.4705882352941
RPL24	12.2352941176471
MT-ND3	12.1764705882353
RPL37A	12.1176470588235
RPL22	12.0588235294118
NACA	12
RPL4	11.9411764705882
CCL4	11.9411764705882
MT-ND1	11.8235294117647
KLF6	11.7647058823529
ZFP36L2	11.5882352941176
UBC	11.5294117647059
TUBB	11.3529411764706
HNRNPA1	11.1176470588235
DNAJB1	11
PABPC1	10.8823529411765
HNRNPA2B1	10.8235294117647
RPL27	10.7647058823529
SARAF	10.7058823529412
MYL6	10.5882352941176
EEF2	10.5294117647059
TNFAIP3	10.4705882352941
HMGB1	10.4705882352941
CRIP1	10.4705882352941
CALM1	10.3529411764706
NPM1	10.1764705882353
CD52	9.88235294117647
FOSB	9.88235294117647
YBX1	9.82352941176471
RPS29	9.82352941176471
CD3E	9.82352941176471
RPL7	9.76470588235294
RPL41	9.64705882352941
BTF3	9.47058823529411
EEF1G	9.17647058823529
MYL12A	9
TSC22D3	8.8235294117647
HMGN2	8.8235294117647
IFITM1	8.70588235294117
COTL1	8.58823529411764
SRGN	8.52941176470588
S100A6	8.41176470588235
ANXA1	8.29411764705882
LDHB	8.23529411764706
LDHA	8.17647058823529
H2AFZ	8.11764705882353
CHCHD2	8.05882352941176
MIF	8.05882352941176
OAZ1	8
EEF1D	7.94117647058824
SRSF7	7.94117647058823
RAN	7.88235294117647
PTPRC	7.76470588235294
RPL27A	7.58823529411765
RPS11	7.58823529411765
H3F3A	7.47058823529412
RAC2	7.29411764705882
SERF2	7.17647058823529
PTPRCAP	7.11764705882353
HLA-E	6.88235294117647
TAGLN2	6.88235294117647
ARPC2	6.88235294117647
CXCR4	6.70588235294117
COX4I1	6.64705882352941
S100A10	6.58823529411764
CYBA	6.58823529411764
KLRB1	6.52941176470588
ITM2B	6.52941176470588
RHOA	6.41176470588235
TPI1	6.41176470588235
PPIB	6.41176470588235
PCBP1	6.35294117647059
DDX5	6.29411764705882
ENO1	6.23529411764706
ATP5F1E	6.17647058823529
CD99	6.11764705882353
HSPD1	6.05882352941176
TAGAP	6
HSPA1B	6
