Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	77/158	7.34374822395196e-107	1.38796841432692e-104	108.079140797831	26412.6782489859	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPL23;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	79/232	3.15159621759915e-94	2.97825842563119e-92	59.1737568321676	12739.8192839553	RPL22;RPL21;RPL24;RPL23;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;RPL37A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Salmonella infection	18/249	2.60644670516773e-09	1.64167754653202e-07	6.55586654724586	129.578524567274	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;TUBB;PTPRC;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;GAPDH;HSP90AB1	3	KEGG_2021_Human
Antigen processing and presentation	11/78	3.4744498339302e-09	1.64167754653202e-07	13.521076625242	263.36122775401	CD74;HSP90AA1;HSPA8;CALR;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CD8A;HSP90AB1	4	KEGG_2021_Human
Parkinson disease	17/249	1.71225629840573e-08	6.47232880797364e-07	6.13819002515909	109.768446707852	CALM2;CALM1;DUSP1;TUBB;ATP5F1E;COX7C;RPS27A;TUBA1B;COX6A1;UQCRB;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52;SLC25A5	5	KEGG_2021_Human
Fluid shear stress and atherosclerosis	13/139	2.14753349693968e-08	6.76473051536e-07	8.54303127720849	150.838842309086	CALM2;CALM1;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;JUN;DUSP1;FOS;HSP90AB1;SUMO2;RAC2	6	KEGG_2021_Human
Human immunodeficiency virus 1 infection	15/212	7.58454450584683e-08	2.04782701657864e-06	6.33534938978291	103.865317546087	CALM2;CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CALR;CD3E;CD3D;FOS;CXCR4;RAC2;CFL1	7	KEGG_2021_Human
Shigellosis	16/246	8.92598558491423e-08	2.10876409443599e-06	5.80304719435154	94.193402344862	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;ARPC1B;RPS27A;UBE2D3;ARPC3;ARPC2;ACTG1;UBC;UBB;UBA52;CCL5	8	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	14/219	7.13493927631027e-07	1.49833724802516e-05	5.65584952459694	80.0477581549585	RAN;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CALR;CD3E;CD3D;FOS;ZFP36;SLC25A6;SLC25A5	9	KEGG_2021_Human
Human cytomegalovirus infection	14/225	9.86128516593815e-07	1.71012398471541e-05	5.49333279781509	75.9699313884529	CALM2;CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;CALR;CXCR4;RAC2;CCL4L2;CCL5;CCL4	10	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	13/193	9.95310255654469e-07	1.71012398471541e-05	5.96366619784341	82.4191271776234	CALM2;CALM1;HLA-C;HLA-A;HLA-B;HLA-E;JUN;RPS27A;FOS;ZFP36;UBC;UBB;UBA52	11	KEGG_2021_Human
Pathogenic Escherichia coli infection	13/197	1.25409696210257e-06	1.97520271531155e-05	5.83282883874518	79.2628640214201	ACTB;RHOA;JUN;TUBB;ARPC1B;FOS;TUBA1B;RPS3;ARPC3;ARPC2;NCL;ACTG1;GAPDH	12	KEGG_2021_Human
Glycolysis / Gluconeogenesis	8/67	1.83966064484406e-06	2.67458355288868e-05	11.0329177755988	145.699933612265	TPI1;ALDOA;LDHB;LDHA;PGK1;PKM;GAPDH;ENO1	13	KEGG_2021_Human
Phagosome	11/152	3.43126528654235e-06	4.63220813683217e-05	6.40075373156473	80.5380053390916	ACTB;HLA-C;HLA-A;CYBA;HLA-B;HLA-E;ACTG1;CORO1A;TUBB;CALR;TUBA1B	14	KEGG_2021_Human
Regulation of actin cytoskeleton	13/218	3.8625815956911e-06	4.86685281057078e-05	5.22970052485335	65.1839014456533	PFN1;MYL12B;ACTB;MYL12A;RHOA;ARPC1B;TMSB4X;CXCR4;RAC2;CFL1;ARPC3;ARPC2;ACTG1	15	KEGG_2021_Human
Yersinia infection	10/137	8.89213454506704e-06	9.57860380446269e-05	6.43799212598425	74.8760594309656	ACTB;ARPC3;CD8A;ARPC2;ACTG1;RHOA;JUN;ARPC1B;FOS;RAC2	16	KEGG_2021_Human
