Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	77/158	7.34374822395196e-107	1.43203090367063e-104	108.079140797831	26412.6782489859	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPS7;RPSA;FAU;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPL36A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	81/232	8.55328491780063e-98	8.33945279485561e-96	62.2092950350719	13904.214379972	RPL22;RPL21;RPL24;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;JUN;RPS15A;RPS27A;FOS;RPLP0;RPLP2;RPLP1;RPL18A;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;TNF;RPS5;RPS2;RPS3;RPL13A;RPS3A;NFKBIA;RPL37A;RPL36A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Salmonella infection	21/249	6.41693446610673e-12	4.17100740296937e-10	7.85187313261319	202.359107311285	PFN1;MYL12B;ACTB;S100A10;MYL12A;RHOA;JUN;TUBB;PTPRC;ARPC1B;FOS;TUBA1B;TNF;RPS3;ARPC3;ARPC2;ACTG1;HSP90AA1;NFKBIA;GAPDH;HSP90AB1	3	KEGG_2021_Human
Antigen processing and presentation	13/78	1.42785454695966e-11	6.96079091642834e-10	16.6118143459916	414.834597122003	CD74;HSP90AA1;HSPA8;HSPA1A;HSPA1B;TNF;B2M;HLA-C;HLA-A;HLA-B;HLA-E;PSME1;HSP90AB1	4	KEGG_2021_Human
Shigellosis	17/246	1.43054270950973e-08	5.57911656708795e-07	6.21955882077328	112.341570179486	PFN1;MYL12B;ACTB;MYL12A;RHOA;JUN;ARPC1B;RPS27A;TNF;ARPC3;ARPC2;ACTG1;UBC;UBB;NFKBIA;UBA52;CCL5	5	KEGG_2021_Human
Yersinia infection	13/137	1.80270280530677e-08	5.858784117247e-07	8.68170681910984	154.806931817293	TNF;ACTB;FYB1;ARPC3;ARPC2;ACTG1;RHOA;JUN;NFKBIA;ARPC1B;FOS;LCK;RAC2	6	KEGG_2021_Human
Fluid shear stress and atherosclerosis	13/139	2.14753349693968e-08	5.98241474147483e-07	8.54303127720849	150.838842309086	CALM1;TNF;ACTB;CYBA;ACTG1;RHOA;HSP90AA1;JUN;DUSP1;FOS;HSP90AB1;SUMO2;RAC2	7	KEGG_2021_Human
Human immunodeficiency virus 1 infection	15/212	7.58454450584683e-08	1.84873272330016e-06	6.33534938978291	103.865317546087	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;CXCR4;RAC2;TNF;CFL1;NFKBIA	8	KEGG_2021_Human
Human cytomegalovirus infection	15/225	1.65231822305182e-07	3.58002281661227e-06	5.93920972644377	92.7462023649781	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;RHOA;PTGER4;CXCR4;RAC2;TNF;CCL4L2;NFKBIA;CCL5;CCL4	9	KEGG_2021_Human
Pathogenic Escherichia coli infection	14/197	1.96923467501408e-07	3.84000761627746e-06	6.34291932944336	97.9375330324548	ACTB;RHOA;JUN;TUBB;ARPC1B;FOS;TUBA1B;TNF;RPS3;ARPC3;ARPC2;ACTG1;NFKBIA;GAPDH	10	KEGG_2021_Human
Human T-cell leukemia virus 1 infection	14/219	7.13493927631027e-07	1.26483014443682e-05	5.65584952459694	80.0477581549585	B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;FOS;TNF;ZFP36;NFKBIA;LCK;SLC25A6	11	KEGG_2021_Human
Kaposi sarcoma-associated herpesvirus infection	13/193	9.95310255654469e-07	1.61737916543851e-05	5.96366619784341	82.4191271776234	CALM1;HLA-C;HLA-A;HLA-B;HLA-E;JUN;RPS27A;FOS;ZFP36;UBC;UBB;NFKBIA;UBA52	12	KEGG_2021_Human
Prion disease	15/273	1.92331848840118e-06	2.88497773260177e-05	4.82236516575952	63.4693589261357	HSPA1A;HSPA1B;TUBB;ATP5F1E;COX7C;TUBA1B;RAC2;TNF;CYBA;UQCRB;ATP5MC2;HSPA8;COX4I1;SLC25A6;CCL5	13	KEGG_2021_Human
Parkinson disease	14/249	3.25510516363362e-06	4.31218256327042e-05	4.92625315542733	62.2446174015565	CALM1;DUSP1;TUBB;ATP5F1E;COX7C;RPS27A;TUBA1B;UQCRB;ATP5MC2;UBC;UBB;COX4I1;SLC25A6;UBA52	14	KEGG_2021_Human
Lipid and atherosclerosis	13/215	3.31706351020801e-06	4.31218256327042e-05	5.30818398295526	66.9703351052992	HSPA1A;CALM1;HSPA1B;RHOA;JUN;FOS;TNF;CYBA;HSP90AA1;HSPA8;NFKBIA;HSP90AB1;CCL5	15	KEGG_2021_Human
Regulation of actin cytoskeleton	13/218	3.8625815956911e-06	4.70752131974853e-05	5.22970052485335	65.1839014456533	PFN1;MYL12B;ACTB;MYL12A;RHOA;ARPC1B;TMSB4X;CXCR4;RAC2;CFL1;ARPC3;ARPC2;ACTG1	16	KEGG_2021_Human
T cell receptor signaling pathway	9/104	6.31083673801777e-06	7.23890096419686e-05	7.72635946713256	92.5095738819729	TNF;RHOA;JUN;NFKBIA;PTPRC;CD3E;CD3D;FOS;LCK	17	KEGG_2021_Human
Legionellosis	7/57	6.80527726080638e-06	7.37238369920691e-05	11.3497942386831	135.037720122165	HSPA8;EEF1A1;NFKBIA;EEF1G;HSPA1A;HSPA1B;TNF	18	KEGG_2021_Human
Epstein-Barr virus infection	12/202	9.49426970841866e-06	8.94147823016737e-05	5.1906236178682	60.0286388840943	VIM;B2M;HLA-C;HLA-A;HLA-B;HLA-E;JUN;CD3E;CD3D;TNF;NFKBIA;TNFAIP3	19	KEGG_2021_Human
Tight junction	11/169	9.49744588298835e-06	8.94147823016737e-05	5.7071129707113	65.999837466534	MYL6;MYL12B;ACTB;MYL12A;ARPC3;ARPC2;ACTG1;RHOA;JUN;ARPC1B;TUBA1B	20	KEGG_2021_Human
Viral myocarditis	7/60	9.62928424787255e-06	8.94147823016737e-05	10.7057224939825	123.658606584492	ACTB;HLA-C;HLA-A;HLA-B;HLA-E;ACTG1;RAC2	21	KEGG_2021_Human
Measles	10/139	1.01073598197141e-05	8.95879620383753e-05	6.3375322997416	72.8958600091444	HSPA1A;HSPA1B;JUN;HSPA8;NFKBIA;TNFAIP3;CD3E;CD3D;FOS;RACK1	22	KEGG_2021_Human
