gene	avg_expr
EEF1A1	110.646012269938
MALAT1	84.6104294478527
B2M	75.1478527607361
RPLP1	74.4257668711655
TMSB4X	64.3208588957055
ACTB	62.5766871165643
RPL10	60.6631901840491
RPS12	53.5202453987729
RPL13	48.561963190184
FOS	44.121472392638
MT-CO1	43.9619631901841
TPT1	43.542944785276
RPL32	39.4791411042945
RPS27	38.6386503067485
RPL30	37.121472392638
RPS3	37.0963190184049
RPL28	36.9889570552148
MT-CO2	36.9760736196319
RPS15A	36.3687116564417
RPS18	35.1533742331288
RPS3A	35.1177914110429
RPS19	34.8331288343559
RPS27A	34.3239263803681
RPL19	33.4018404907975
RPS14	31.3
RPS8	31.1588957055215
RPL11	30.3539877300613
RPS4X	29.3447852760736
HLA-B	28.1226993865032
RPL39	27.7828220858896
RPS23	27.4907975460123
RPL34	27.2018404907975
RPL18A	27.0073619631902
RPS2	26.4361963190184
RPS6	25.7429447852761
JUNB	24.7398773006135
MT-CO3	24.7263803680982
RPL3	24.1558282208589
RPL26	23.4515337423313
RPS13	23.4386503067485
RPS28	23.2122699386504
RPLP0	23.0533742331289
MT-ND4L	22.2963190184049
RPL37	21.3717791411044
RPS15	21.3539877300614
MT-ATP6	21.3355828220859
RPL7A	21.2938650306749
RPL18	21.2024539877301
CD69	21.0343558282209
RPL29	20.9263803680982
RPLP2	20.7233128834357
MT-CYB	20.6312883435583
RPS25	20.5834355828221
FTH1	20.4276073619632
RPL12	19.6435582822086
RPS7	19.3638036809817
RPL35A	19.1460122699387
RPL8	18.9288343558283
TMSB10	18.6944785276075
RPS24	18.5809815950921
PTMA	18.4024539877301
RPSA	18.1950920245399
RPL6	18.0785276073621
ACTG1	17.8288343558283
DUSP1	17.8269938650307
RPL14	17.6030674846627
RPL23A	17.2134969325154
CCL4	16.9171779141104
RPL17	15.9705521472393
PFN1	15.9478527607363
FAU	15.8840490797547
CCL5	15.8141104294479
RPL5	15.7588957055215
RPL15	15.7110429447854
RPS16	15.6858895705522
MT-ATP8	15.4969325153375
RPS5	15.2306748466258
HLA-A	15.0736196319019
ZFP36	14.8110429447854
GAPDH	14.3073619631903
JUN	14.2306748466258
RPL21	14.0969325153375
EIF1	13.9036809815952
ZFP36L2	13.8515337423314
IL32	13.7349693251535
RPS9	13.3269938650308
RPS21	13.2779141104295
HLA-C	13.2705521472394
RPL36	13.154601226994
RACK1	13.1282208588958
RPL10A	13.0496932515338
RPL9	12.8404907975461
BTG1	12.6490797546013
VIM	12.4337423312884
RPS26	12.4282208588958
MT-ND3	11.6595092024541
RPL13A	11.5674846625768
NACA	11.3429447852761
HSPA8	11.1693251533743
H3F3B	10.9797546012271
FTL	10.9503067484664
EEF1B2	10.9073619631903
RPL24	10.8239263803682
RPL22	10.3809815950921
RPL35	10.3006134969326
UBA52	10.2588957055216
SH3BGRL3	10.1993865030676
TNFAIP3	9.96809815950929
MT-ND1	9.83067484662587
PABPC1	9.80368098159522
RPL37A	9.59325153374242
KLF6	9.56564417177924
RPL41	9.49509202453997
RPL4	9.49386503067495
CFL1	9.34478527607371
RPS29	9.18834355828232
MT-ND5	9.12699386503077
HSP90AA1	9.06625766871175
TSC22D3	8.99631901840499
SARAF	8.56993865030684
UBC	8.5687116564418
CD52	8.35644171779152
CD3E	8.33865030674856
IL7R	8.26687116564425
IFITM1	8.23006134969335
EEF2	8.22024539877311
ARHGDIB	8.19509202453999
SRGN	8.12699386503078
FOSB	8.00674846625775
RPL27	7.98957055214735
PPIA	7.96134969325165
EEF1G	7.88895705521483
S100A4	7.68404907975469
EEF1D	7.60122699386512
HLA-E	7.46319018404918
MYL12A	7.29754601227004
RPL7	7.05521472392649
CORO1A	7.03742331288354
CD7	7.03496932515347
NR4A2	6.86196319018414
DNAJB1	6.83067484662587
HNRNPA1	6.69877300613507
CCL4L2	6.54478527607363
MYL6	6.36134969325164
PTPRCAP	6.21963190184059
PNRC1	6.09325153374242
SERF2	6.06441717791421
CALM1	6.04969325153384
BTF3	5.98588957055226
DDX5	5.97607361963199
CXCR4	5.94294478527616
GZMA	5.83865030674849
PFDN5	5.82269938650315
NPM1	5.82024539877312
RPL38	5.81411042944793
RAC2	5.80920245398783
NFKBIA	5.77546012269944
RPL31	5.73742331288354
ANXA1	5.67546012269946
PTPRC	5.57668711656451
RPL27A	5.51717791411051
BTG2	5.41901840490806
ATP5F1E	5.3680981595093
HSPA1B	5.35582822085894
MT-ND4	5.33435582822093
KLRB1	5.17116564417182
MT-ND2	5.16441717791418
CRIP1	5.16257668711664
HSP90AB1	5.04723926380378
RPS11	5.0441717791412
COX4I1	5.0325153374234
ITM2B	4.99877300613504
CD3D	4.97546012269948
HNRNPA2B1	4.89386503067494
ZFP36L1	4.89325153374241
H3F3A	4.82147239263813
DUSP2	4.80429447852769
IFITM2	4.80368098159518
NR4A1	4.78220858895711
HSPA1A	4.71963190184053
CYBA	4.67116564417185
RPL36AL	4.65828220858904
LAPTM5	4.62883435582829
GNLY	4.61042944785277
OAZ1	4.46196319018413
TOMM7	4.436809815951
YWHAZ	4.41226993865038
LTB	4.38588957055222
SLC2A3	4.34539877300619
CD74	4.30429447852773
ARPC2	4.29202453987739
EVL	4.28466257668718
FXYD5	4.26196319018413
UBB	4.21963190184057
TXNIP	4.19693251533749
MIF	4.16871165644179
HMGB1	4.03496932515349
PCBP1	4.03251533742338
COTL1	4.02453987730072
PPDPF	3.99631901840498
RPS20	3.8736196319019
ATP5MC2	3.86871165644179
SLC25A6	3.77852760736203
S100A6	3.777300613497
TMA7	3.77055214723934
YBX1	3.76809815950928
CCNI	3.76748466257675
LDHB	3.72331288343566
COX7C	3.70184049079761
ATP5MG	3.68466257668719
RHOA	3.66503067484669
PPP1R15A	3.66012269938656
ARPC1B	3.64662576687124
HINT1	3.61165644171786
MCL1	3.56748466257674
CLIC1	3.5656441717792
SRSF7	3.50368098159516
PCBP2	3.49079754601233
TAGLN2	3.47914110429454
TAGAP	3.37607361963195
MYL12B	3.37300613496937
NKG7	3.34110429447856
LSP1	3.31104294478532
GZMB	3.28588957055217
TUBA1B	3.28404907975468
RGS1	3.27423312883439
PSME1	3.27300613496939
HCST	3.22944785276078
CHCHD2	3.19018404907982
FYB1	3.18282208588962
IER2	3.1699386503068
ARPC3	3.15030674846631
S100A10	3.13128834355833
PPIB	3.09079754601232
RGCC	3.09079754601231
CYTIP	3.05153374233134
COMMD6	3.00184049079759
CD48	2.9944785276074
PTGER4	2.99141104294482
CD37	2.99079754601231
HMGN2	2.96441717791417
NOP53	2.92944785276078
RARRES3	2.91165644171784
EIF3K	2.88711656441722
UQCRB	2.87177914110434
SRP14	2.85889570552151
CITED2	2.84355828220861
CD99	2.83251533742335
TUBB	2.82269938650311
LCP1	2.81901840490801
