Gene	Expression
1	RNR2	228.000071119449
2	B2M	191.673143128983
3	MALAT1	138.581662296937
4	ACTB	133.767420623037
5	TMSB4X	116.014674992212
6	RPL41	99.0251132793296
7	EEF1A1	98.9766510232519
8	RPS27	87.3115814563652
9	RPLP1	85.2529680544481
10	HLA-C	74.812433883617
11	CXCL13	71.2138968113548
12	TMSB10	66.0397919413692
13	RPL10	65.032308574649
14	COX1	57.6303530134195
15	RPL28	57.5415120489752
16	HLA-A	56.856377887659
17	RNR1	55.9637019912624
18	RPL39	53.8972270344645
19	COX2	51.1226537305926
20	RPS15A	50.8521262222382
21	RPS19	49.6566577526332
22	RPS26	47.9012252371575
23	RPL13	46.7870692515298
24	RPL30	43.4462091339102
25	GAPDH	43.233643834779
26	RPS12	41.2155376964161
27	RPL32	39.797949066282
28	HSPA1A	39.7342750895794
29	RPL11	38.4365944469984
30	RPS18	38.0341289551323
31	RPS4X	37.330436772611
32	RPL19	37.103134596573
33	JUN	37.0830060674926
34	RPS3	36.7217528878652
35	DUSP1	36.3659445062767
36	RPL34	36.3190014554411
37	RPS27A	34.9453351070356
38	TPT1	34.5062304701035
39	RPL18A	33.8334778881429
40	FTH1	33.8318064215954
41	RPL12	32.4586527136182
42	DNAJB1	32.3165922683447
43	JUNB	31.8391880046549
44	ACTG1	31.7644468918792
45	PFN1	31.2031355238863
46	RPS15	31.0697499054552
47	RPS23	30.3042145995908
48	PTMA	30.1678078921999
49	FOS	30.121825329467
50	RPL26	28.8299285359641
51	RPS24	28.4404965001262
52	SH3BGRL3	28.1465672546654
53	RPS8	27.3790830397512
54	ATP6	27.3440783714538
55	RPS14	27.1369374495477
56	RPS21	27.1002151577198
57	RPS3A	27.0017597333449
58	ND3	26.8685998554264
59	FAU	25.3091408014302
60	RPS7	25.2762543405137
61	RPL37	25.1937852091638
62	RPL36	24.9348637896029
63	RPL7A	24.8959667974519
64	SRGN	24.4715529359517
65	RPL6	24.2244909313736
66	RPS29	24.075540037997
67	RPL29	24.0121677908632
68	RPL35A	23.9514587516863
69	RPL8	23.3648533849814
70	S100A4	23.3603224565713
71	RPS13	23.3018376409815
72	RPS25	23.2134794908227
73	RPL18	22.7638046028158
74	HSPA1B	22.0555258549584
75	BTG1	21.9627703957092
76	RPL3	21.7491623195574
77	UBC	21.6215246712884
78	EIF1	21.4558955965103
79	FXYD5	20.9808088932861
80	ND4L	20.7488851363583
81	ATP8	20.7218176712184
82	ND4	20.0391108758182
83	RPLP0	19.738076946028
84	ZFP36L2	19.3778893071205
85	H3F3B	19.1984992732484
86	RPS6	19.1765958337837
87	RPS9	18.9655573562631
88	TSC22D3	18.9261129451661
89	RPL15	18.6440601663747
90	IL32	18.5881814389361
91	RPL14	18.3947493805587
92	CFL1	18.3526609148764
93	CCL4	17.9751254802383
94	RGS1	17.8998313324487
95	CD74	17.8872841955272
96	CYTB	17.5026814021877
97	SERF2	17.3400716074184
98	RPL5	17.2548630602266
99	ZFP36	16.9294447581716
100	COX3	16.7808554067079
101	CD7	16.6344191715367
102	HLA-H	16.634291976612
103	RPLP2	16.6215075826264
104	IFITM1	16.5652307750252
105	RPL35	15.5556750045001
106	SARAF	15.5144818027822
107	HSPA8	15.4734211800869
108	RPL24	15.2024993127997
109	MYL6	15.1729784689275
110	CD3E	14.9424994984361
111	CRIP1	14.8199142474362
112	RPS2	14.766730365427
113	FTL	14.7576567801828
114	GNB2L1	14.4612717945591
115	HSP90AA1	14.2657427429627
116	RPS5	14.1294630956414
117	NACA	14.126186296933
118	ATP5E	14.1007035358365
119	VIM	13.6594763931601
120	CD69	13.4781617287775
121	RPL9	13.3544941558286
122	RPSA	12.7713442072221
123	LAPTM5	12.7696644098797
124	ARHGDIB	12.7641524354642
125	CD3D	12.6164089904584
126	PPIA	12.531559605067
127	RPL23A	12.3966866453226
128	HNRNPA1	12.0122352838396
129	COTL1	11.9838009979119
130	CD2	11.9254872798946
131	RPL22	11.840807359294
132	DUSP2	11.8136495939306
133	RPS16	11.8078501833382
134	EEF1D	11.7089573396736
135	ALOX5AP	11.590509529068
136	KLF6	11.4962891037641
137	TMA7	11.4681203201542
