Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	73/158	7.56485791006535e-99	1.43732300291242e-96	0	0	95.4167497507478	21557.7362868003	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RNR2;FAU;RNR1;RPS21;RPS24;RPS23
Coronavirus disease	74/232	1.64522045068379e-85	1.5629594281496e-83	0	0	52.1363636363636	10178.1578053924	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;JUN;RPL41;RPL35A;RPL23A;RPS26;NFKBIA;RPS25;RPS27;RPS29;FAU;RPS21;RPS24;RPS23
Parkinson disease	23/249	8.86698638382253e-14	5.61575804308761e-12	0	0	8.75310904058321	263.064681433784	DUSP1;ATP8;COX4I1;ATP6;UQCR11;ND4L;COX7C;COX6B1;UBB;UBC;COX3;COX2;COX1;ND1;CYTB;CALM1;RPS27A;ND3;UBA52;CALM2;ND2;ND5;ND4
Prion disease	22/273	4.90396636129474e-12	2.329384021615e-10	0	0	7.4959460403998	195.201756757901	HSPA8;ATP8;COX4I1;ATP6;UQCR11;ND4L;CYBA;COX7C;COX6B1;CCL5;COX3;RAC2;COX2;COX1;ND1;CYTB;ND3;ND2;HSPA1B;ND5;HSPA1A;ND4
Oxidative phosphorylation	16/133	1.07103195840007e-11	3.44109003486805e-10	0	0	11.4737380378406	289.82448174613	ATP8;COX4I1;ATP6;UQCR11;ND4L;COX7C;COX6B1;COX3;COX2;ND1;COX1;CYTB;ND3;ND2;ND5;ND4
Diabetic cardiomyopathy	19/203	1.08666001101096e-11	3.44109003486805e-10	0	0	8.74632975719932	220.803956878886	ATP8;COX4I1;ATP6;UQCR11;ND4L;CYBA;COX7C;COX6B1;COX3;RAC2;COX2;COX1;ND1;CYTB;ND3;ND2;GAPDH;ND5;ND4
Thermogenesis	19/232	1.11411302983247e-10	3.02402108097385e-09	0	0	7.54431640347133	172.89907661062	ATP8;COX4I1;RPS6;ATP6;UQCR11;ND4L;COX7C;ACTB;ACTG1;COX6B1;COX3;COX2;COX1;ND1;CYTB;ND3;ND2;ND5;ND4
Amyotrophic lateral sclerosis	22/364	1.25521128735763e-09	2.98112680747437e-08	0	0	5.47573612393557	112.230479091502	ATP8;COX4I1;ATP6;UQCR11;ND4L;COX7C;ACTB;GABARAP;ACTG1;COX6B1;HNRNPA2B1;COX3;COX2;COX1;ND1;CYTB;PFN1;ND3;HNRNPA1;ND2;ND5;ND4
Shigellosis	18/246	2.14901774839798e-09	4.53681524661796e-08	0	0	6.64314882032668	132.585657896027	JUN;ARPC1B;ACTB;GABARAP;MYL12A;RHOA;MYL12B;ACTG1;NFKBIA;UBB;ARPC2;ARPC3;CCL5;UBC;PFN1;RPS27A;UBA52;SKP1
Salmonella infection	18/249	2.60593666659748e-09	4.95127966653522e-08	0	0	6.55586654724586	129.579807567611	JUN;HSP90AA1;HSP90AB1;ARPC1B;FOS;ACTB;MYL12A;RHOA;MYL12B;ACTG1;NFKBIA;PTPRC;ARPC2;ARPC3;RPS3;PFN1;GAPDH;SKP1
Fluid shear stress and atherosclerosis	13/139	2.1471997172108e-08	3.70879951154593e-07	0	0	8.54303127720849	150.840170210274	JUN;HSP90AA1;HSP90AB1;DUSP1;CYBA;FOS;ACTB;RHOA;ACTG1;SUMO2;RAC2;CALM1;CALM2
Pathways of neurodegeneration	23/475	3.4310994528956e-08	5.43257413375137e-07	0	0	4.32589372734006	74.3525961805336	ATP8;COX4I1;ATP6;UQCR11;ND4L;COX7C;GABARAP;COX6B1;UBB;UBC;COX3;COX2;COX1;ND1;CYTB;CALM1;RPS27A;ND3;UBA52;CALM2;ND2;ND5;ND4
Antigen processing and presentation	10/78	4.64586316787978e-08	6.79010770690121e-07	0	0	12.0600490196078	203.630352634865	CD74;HSPA8;HSP90AA1;HSP90AB1;PSME1;HLA-C;HLA-A;B2M;HSPA1B;HSPA1A
Alzheimer disease	19/369	2.19105684403319e-07	2.97357714547361e-06	0	0	4.55905998763142	69.9073112287463	ATP8;COX4I1;ATP6;UQCR11;ND4L;COX7C;COX6B1;COX3;COX2;COX1;ND1;CYTB;CALM1;ND3;CALM2;ND2;GAPDH;ND5;ND4
