Gene	Expression
1	EEF1A1	199.056162773365
2	RPLP1	152.878014973438
3	MALAT1	133.069396159287
4	B2M	132.188839865453
5	FOS	116.153285799857
6	RPL10	105.956020719373
7	TMSB4X	103.585978387377
8	ACTB	98.1345999180684
9	RPS12	87.3212753661427
10	TPT1	82.9820338681428
11	RPL13	78.5111296258136
12	MT-CO1	73.6055682539557
13	RPL32	65.1752177050126
14	RPL28	61.7572565989385
15	RPS19	61.0889076997263
16	RPL30	60.7283026742879
17	RPS27	60.4635357626704
18	RPS3	59.8524520396611
19	MT-CO2	58.4828995788629
20	RPS27A	58.2683581015004
21	RPS15A	57.5332872958458
22	RPS3A	56.2427444291261
23	RPS18	55.9335062672075
24	RPL19	53.339105782243
25	RPS14	53.0194545050115
26	RPL11	48.4400153445291
27	RPS4X	47.9182395962515
28	RPS8	47.6848314657391
29	DUSP1	47.1937158529541
30	RPL34	46.9595313646884
31	RPL39	46.4758691193154
32	HLA-B	46.4077292369434
33	RPS23	44.515766259167
34	JUN	44.4314556454938
35	RPLP0	43.9979045828007
36	RPS2	41.946364340149
37	RPL18A	41.7591574208011
38	JUNB	41.6369466641114
39	RPS6	40.5343479215184
40	MT-CO3	40.1574851743572
41	RPL3	39.3137212422165
42	CD69	39.0040555210079
43	MT-ND4L	38.5208012551747
44	FTH1	38.4660681253269
45	RPS13	38.127935873518
46	RPL26	38.0496498788923
47	RPS28	37.618484670446
48	MT-ATP6	37.5705254278738
49	MT-CYB	37.033043057699
50	RPS25	34.4610543725226
51	RPL18	34.2802454851144
52	RPL7A	34.2380195098713
53	RPLP2	33.8321161389542
54	ZFP36	33.4711640788389
55	RPL29	33.4419718754871
56	RPS15	33.2000241426234
57	RPL37	33.1254389778129
58	RPL12	31.608106401122
59	RPL35A	31.2506254110003
60	RPS24	31.0974081112338
61	RPSA	30.7594130780711
62	RPL8	30.1191971136843
63	RPS7	29.7843756491538
64	VIM	29.4666898852872
65	RPL6	28.9045276537034
66	RPL14	28.7465264992017
67	TNFAIP3	28.1333148897862
68	TMSB10	28.1194589317108
69	RPL23A	27.9254261664114
70	PTMA	27.2522882416863
71	MT-ATP8	26.3073641163192
72	RPL17	26.2423385096901
73	ACTG1	26.1380241484435
74	FAU	26.0362891690216
75	IL32	25.72934168308
76	EIF1	25.3601167168686
77	HLA-A	24.7414412073964
78	FOSB	24.7115733799033
79	RPS16	24.7002318171435
80	RPL15	24.6368697212936
81	ZFP36L2	24.4974119360219
82	RPS5	24.2233346211057
83	RPL5	24.1292402917489
84	IL7R	24.0907457535093
85	PFN1	23.6032369392918
86	KLF6	22.9069711833153
87	TSC22D3	22.8614083250936
88	HLA-C	22.4114289064237
89	RPL21	22.2343892395102
90	RPS21	22.002552175583
91	S100A4	21.8693172856353
92	RPL10A	21.7912564151422
93	BTG1	21.6207764416845
94	RPL9	21.3822809127753
95	HSPA8	21.2762539511455
96	MT-ND3	21.2500456715941
97	RPS9	20.8752345652242
98	RPL36	20.5873166560641
99	H3F3B	20.4369515847215
100	RPS26	20.142330476861
101	RACK1	19.8929327595285
102	GAPDH	19.4847190135914
103	EEF1B2	18.3439055726927
104	RPL35	18.1518390491008
105	RPL13A	17.5895396264916
106	NACA	17.4820838245789
107	HSP90AA1	17.4193938215541
108	MT-ND1	17.374539422487
109	RPL24	17.3738775256819
110	SH3BGRL3	17.2059794420028
111	UBA52	16.92724119115
112	ANXA1	16.3940654416194
113	RPL22	16.2647087053623
114	KLRB1	16.2417338855987
115	RPL41	16.0270712354839
116	NFKBIA	16.0079423182596
117	MT-ND5	15.982414799778
118	FTL	15.9440438397438
119	UBC	15.8227892865132
120	RPL37A	15.4127415606239
