Gene	Expression
1	MALAT1	209.526861777741
2	B2M	192.860410367803
3	RNR2	185.150452377679
4	ACTB	130.251593170971
5	RPL41	107.42925023022
6	TMSB4X	104.327777895589
7	EEF1A1	101.26782074146
8	RPS27	84.6048098836365
9	RPLP1	78.3115185199086
10	HLA-C	72.7737394968167
11	RPL10	67.7064318024441
12	RPL28	65.071705527915
13	TMSB10	62.7891291288906
14	HLA-A	61.5707801760758
15	RPL39	54.4841026430489
16	RPS26	52.2709258675432
17	COX1	52.2588445995094
18	RPL13	51.5118701006526
19	RPS15A	50.3867584148585
20	FOS	48.506096744684
21	RPS19	48.4622379808798
22	RPL30	46.552376618097
23	DUSP1	45.7469071584882
24	RPS12	45.7261523221416
25	HSPA1A	44.7926318159721
26	RNR1	44.396883204707
27	JUNB	44.1853105248674
28	RPL32	43.3812900974814
29	COX2	43.0838140961097
30	RPL19	41.4453522906233
31	DNAJB1	41.0860073213563
32	RPL11	40.7046359396917
33	JUN	40.3364952892543
34	IL32	39.1473362755781
35	RPS4X	39.1329618693825
36	RPS3	38.4011015003473
37	RPL34	38.1079579222579
38	RPS18	35.8445703757555
39	RPL18A	35.0810569421776
40	TPT1	34.4991612372135
41	RPS15	33.6547369161382
42	PTMA	32.0066644994616
43	RPS27A	31.7184416151737
44	ACTG1	31.4997677524846
45	RPS23	31.0533338977135
46	GAPDH	30.3011958152634
47	RPS8	29.7693417786209
48	RPL12	29.6167376702448
49	PFN1	29.1294960751019
50	FTH1	28.6830129062097
51	RPL26	28.5245500599412
52	RPS3A	28.3348888072014
53	ND3	28.2533868742247
54	RPL36	27.8511266440081
55	RPS24	27.4396877725123
56	RPS14	27.1795823264126
57	S100A4	27.0843537597579
58	RPS21	26.7489027297017
59	RPL37	26.4577274353955
60	RPL7A	25.9661736302172
61	RPL29	25.9620825769951
62	HSPA1B	25.5537691648762
63	EIF1	25.3902681111286
64	FAU	25.234536186772
65	RPL8	25.2044194425166
66	RPL35A	25.1688037352794
67	RPS13	24.8595592993997
68	UBC	24.8008696638617
69	ATP6	24.4336368650214
70	RPL18	24.4025079155709
71	RPS7	24.2676710344919
72	RPL3	24.0450287364352
73	RPS25	24.0320601479011
74	H3F3B	24.0050574618701
75	BTG1	23.3987040992936
76	CD74	22.7420732074138
77	ZFP36	22.3513373279583
78	RPL6	21.8704670445679
79	RPL14	21.5319670591661
80	RPS29	21.0114660769564
81	FXYD5	20.3872176257382
82	TSC22D3	19.9520198252506
83	FTL	19.5425532892734
84	HSPA8	19.2344975512837
85	RPLP0	19.1694921290401
86	RPL15	18.9934779246244
87	RPL5	18.9762632125551
88	RPS6	18.9701301468214
89	ATP8	18.8804314465655
90	SH3BGRL3	18.5066159899114
91	ND4L	18.2502241295718
92	RPL24	18.0618926717863
93	RPS9	17.8643930465081
94	LTB	17.0637318538384
95	CYTB	16.9634334468145
96	HLA-H	16.8126189374977
97	ND4	16.7229436446585
98	GNB2L1	16.6095850680497
99	ATP5E	16.0211827861014
100	CFL1	15.7917544745907
101	RPL35	15.7101633729144
102	RPLP2	15.1307223637589
103	HSP90AA1	14.8316737610849
104	SRGN	14.7514640535006
105	COX3	14.5548425734218
106	NACA	14.457460874084
107	RPL9	14.0179146829471
108	ARHGDIB	13.9997460564809
109	MYL6	13.9627576175302
110	SERF2	13.9039218160733
111	RPS5	13.824772627283
112	CD7	13.7971412507665
113	DUSP2	13.7486982395305
114	RPS2	13.5557884905042
115	CD3E	13.4791755845092
116	RGS1	13.4260083444883
117	SARAF	12.8695608907239
118	CRIP1	12.8412254055768
119	IFITM1	12.780611828392
120	KLF6	12.7777609104281
121	EEF1D	12.6963425309104
122	RPL22	12.612002624898
123	RPSA	11.9512721181763
124	ZFP36L2	11.8808662253071
125	UBB	11.6026283843924
126	RPS16	11.5819837875225
127	RAC2	11.5325681857853
128	VIM	11.4753927038732
129	SAT1	11.444467053326
130	RPL23A	11.397247590812
131	PPIA	11.3550518664141
132	HNRNPA1	11.2723816412902
133	RPL10A	10.8115942153751
134	CD69	10.7191925079034
135	HSP90AB1	10.5900647754093
136	PTPRCAP	10.2175889925151
137	PFDN5	10.0689715601419
138	CD3D	10.0563671423539
139	TMA7	9.98279675917645
140	UBA52	9.98042833325973
141	CORO1A	9.82319178613797
142	S100A6	9.57181553362349
143	RPL37A	9.54258543909155
144	PCBP2	9.37029772334784
145	PPP1R15A	9.26889682977393
146	CD2	9.1505705163347
147	BATF	9.05680069752868
148	COX7C	9.04754985255117
149	MYL12A	9.01771119873329
150	PABPC1	8.98597438753497
151	LAPTM5	8.93725092853889
152	EEF2	8.93456551839913
153	RPL27	8.91680309259581
154	PPDPF	8.84185792706547
155	DDX5	8.77185575045638
156	NFKBIA	8.64750425792279
157	PNRC1	8.5209038650453
158	BTF3	8.4305909588156
159	MIF	8.42274981122591
160	PTPRC	8.37747655693311
161	ATP5G2	8.29256507610184
162	IL2RG	8.2521131739566
163	RPL36AL	8.24320710519794
164	ARPC1B	8.22688256419703
165	EEF1B2	8.18988601897825
166	CIRBP	8.04996281873745
167	ATP5L	7.88880135620136
168	CYBA	7.88766536624613
169	HINT1	7.86901876878103
170	RHOA	7.83705985913489
171	YWHAZ	7.75757354347316
172	COX4I1	7.74158381727692
173	RPL4	7.74089869147746
174	DDIT4	7.69806271488771
175	CLIC1	7.64374064321263
176	TNFRSF4	7.63032700058698
177	ND1	7.62137903976932
178	EEF1G	7.61317830013288
179	SUMO2	7.60340219395491
180	LOC101929876	7.54162457848858
181	RPL38	7.47889005637669
182	IER2	7.46888109978881
183	NPM1	7.4070128150856
184	TNFAIP3	7.34533803947284
185	CD52	7.31449605242366
186	COTL1	7.16610381586129
187	SRP14	7.16395299044678
188	HNRNPA2B1	7.16035357627593
189	LINC00152	7.15585171300742
190	OST4	7.02821819397568
191	ALDOA	6.98854443246665
192	SRSF7	6.91633610694218
193	MIR4435-1HG	6.88242205503789
194	ITM2B	6.84534218333707
195	SOD1	6.84435000949375
196	PCBP1	6.81870520573509
197	IFITM2	6.81413518723124
198	CCNI	6.73893732703554
199	COMMD6	6.64423884985953
200	LIMD2	6.62698118181241
201	CD27	6.6203025064459
202	DAZAP2	6.59978641514329
203	UCP2	6.59286824864295
204	ARPC2	6.49912472174863
205	RPL36A	6.49272943676891
206	CXCR4	6.48825881579385
207	FOXP3	6.48422611265558
208	HSPB1	6.45674083343853
209	TAGLN2	6.45672732351532
210	CALM1	6.40701054747848
211	PSME1	6.15620782017579
212	TIGIT	6.09711584600759
213	CHCHD2	6.02292742587706
214	LSP1	5.98145291409685
215	BTG2	5.98020510016193
216	ISG20	5.9382090513411
217	HSPE1	5.93400836264351
218	ARPC3	5.8986334923589
219	RPL21	5.89033165021805
220	UBL5	5.88405785940704
221	SPOCK2	5.81099202598465
222	YWHAB	5.75704185197424
223	TOMM7	5.73881793918605
224	ND2	5.73011875608659
225	UQCR11	5.69322050825865
226	RPS11	5.68427139382303
227	LCK	5.65001424357882
228	RN7SK	5.64636761882982
229	CYTIP	5.53800251133526
230	EVL	5.53780897927232
231	HCST	5.50638004539708
232	SUB1	5.47412754110945
233	TNFRSF18	5.46360843554517
234	GABARAP	5.409859568066
235	CD37	5.37734903813163
236	PIM2	5.37183482033506
237	CARD16	5.33358181032842
238	LRRC75A-AS1	5.31244172676168
239	RPL17	5.31078930395569
240	C12orf57	5.26989390732252
241	SKP1	5.26495476032932
242	HNRNPDL	5.23370987591454
243	PKM	5.22485856682091
244	LY6E	5.21497256325046
245	CTSC	5.20678176886689
246	ZFP36L1	5.19446830611776
247	ICOS	5.14194146385544
248	MYL12B	5.07650520734588
249	HMGB1	5.0691486932582
250	TPI1	5.02156304629059
251	S100A10	4.998570598644
252	RGCC	4.9775917479482
253	CNBP	4.97528215567311
254	EIF3K	4.95252782809764
255	RNASEK	4.94752662381365
