Gene	Expression
1	RNR2	245.343842504108
2	MALAT1	170.762269120186
3	B2M	159.887358690267
4	ACTB	119.713271597139
5	TMSB4X	118.634545573052
6	RPL41	114.923705299086
7	RPS27	106.347929381632
8	EEF1A1	96.1472802304734
9	COX1	89.9438422175391
10	RPLP1	76.4882304995732
11	COX2	75.8560634848382
12	HLA-C	73.1602992632855
13	RPL10	71.1726731683775
14	RPS12	65.6561558973568
15	RPL28	65.4461500172674
16	ND3	64.4092392687678
17	FOS	61.2427973351956
18	HLA-A	59.0006562218999
19	RNR1	57.6010975429062
20	RPL13	56.160853977318
21	RPL39	55.9066785274442
22	RPL30	54.6283301587947
23	RPS15A	51.9901360588121
24	CCL5	51.9115948535007
25	RPS19	48.8194202213625
26	RPS3	47.875315813774
27	RPL32	47.5504346904259
28	ATP6	47.1208945375359
29	RPS18	46.0067587350836
30	RPS27A	42.9305896685652
31	RPL34	42.1360776408291
32	RPL19	41.9756249542989
33	CYTB	41.8563235020002
34	RPS4X	40.0587705056948
35	RPL11	39.426892156132
36	RPS26	38.4447578313602
37	ND4L	37.4653316041125
38	TMSB10	36.386123316856
39	ATP8	36.3450456101588
40	ND4	35.645270172418
41	RPS14	35.4462504554793
42	RPL18A	35.2413181897156
43	JUN	34.8663452675243
44	RPS21	34.7392948862737
45	DUSP1	34.5097232866076
46	RPS23	33.7596685945344
47	TPT1	33.320278060499
48	RPS15	32.9091582920663
49	RPS24	32.4172119964857
50	S100A4	31.6506708178399
51	JUNB	31.353107944726
52	RPL26	31.1783649283327
53	RPS3A	30.7304009945876
54	COX3	29.9457984041236
55	ACTG1	29.2558457538881
56	CD69	29.0914405650452
57	RPS8	27.9296523796264
58	PTMA	27.6561533111073
59	RPL12	27.6552811762378
60	RPL35A	27.4037773253916
61	ZFP36L2	27.2435862419716
62	FAU	27.1620300845015
63	RPL7A	27.0718575044869
64	RPS25	27.0687580732867
65	RPS29	27.0156811519255
66	RPS7	26.8399812700959
