Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	76/158	7.58658311581755e-105	1.44903737512115e-102	0	0	104.763666947014	25116.5709325318	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
Coronavirus disease	78/232	1.80399689386276e-92	1.72281703363894e-90	0	0	57.7049229839928	12190.0394061245	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;JUN;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
Antigen processing and presentation	16/78	1.89257546528629e-15	1.20493971289894e-13	0	0	21.7127102288393	736.079067957217	CD74;HSPA8;HSP90AA1;HSP90AB1;HLA-B;HLA-C;HLA-A;KIR2DL4;HLA-E;CD8A;PSME1;KLRD1;CALR;B2M;HSPA1B;HSPA1A
Human immunodeficiency virus 1 infection	16/212	1.10948503774151e-08	5.29779105521572e-07	0	0	6.82155939298796	124.94903517148	JUN;HLA-B;HLA-C;CXCR4;CD3G;HLA-A;FOS;CD3E;CD3D;HLA-E;CFL1;RAC2;CALR;CD247;CALM1;B2M
Salmonella infection	17/249	1.71197984436754e-08	6.53976300548402e-07	0	0	6.13819002515909	109.769437835422	JUN;HSP90AA1;HSP90AB1;ARPC1B;FOS;ACTB;MYL12A;RHOA;MYL12B;ACTG1;PTPRC;ARPC2;ARPC3;RPS3;PFN1;GAPDH;S100A10
T cell receptor signaling pathway	11/104	7.48577621515591e-08	2.38297209515797e-06	0	0	9.72812345345751	159.615897991508	JUN;PTPRC;CD8A;LCK;CD3G;FYN;FOS;CD247;CD3E;CD3D;RHOA
Epstein-Barr virus infection	14/202	2.67806267540299e-07	7.30728530002815e-06	0	0	6.17264695275875	93.4106786823381	JUN;GADD45B;HLA-B;HLA-C;TNFAIP3;CD3G;HLA-A;CD3E;CD3D;HLA-E;CALR;CD247;VIM;B2M
Shigellosis	15/246	5.20441938984587e-07	1.2425551293257e-05	0	0	5.39347886156397	78.0360208576467	JUN;ARPC1B;ACTB;MYL12A;RHOA;MYL12B;ACTG1;UBB;ARPC2;ARPC3;CCL5;UBC;PFN1;RPS27A;UBA52
Regulation of actin cytoskeleton	14/218	6.75238406147184e-07	1.26017131634042e-05	0	0	5.68386507145231	80.7574917885796	ARPC1B;CXCR4;ACTB;MYL12A;RHOA;MYL12B;ACTG1;ARPC2;ARPC3;TMSB4X;CFL1;RAC2;MYH9;PFN1
Human T-cell leukemia virus 1 infection	14/219	7.13420378308101e-07	1.26017131634042e-05	0	0	5.65584952459694	80.0483412087575	JUN;HLA-B;HLA-C;CD3G;HLA-A;FOS;CD3E;CD3D;HLA-E;ZFP36;LCK;CALR;B2M;SLC25A6
Viral myocarditis	8/60	7.78045463173646e-07	1.26017131634042e-05	0	0	12.5225683407502	176.148468115116	RAC2;HLA-B;HLA-C;FYN;HLA-A;ACTB;ACTG1;HLA-E
Natural killer cell mediated cytotoxicity	11/131	7.91730669952099e-07	1.26017131634042e-05	0	0	7.528940027894	105.774413987817	LCK;HLA-B;RAC2;HLA-C;GZMB;KLRD1;FYN;HLA-A;CD247;HCST;HLA-E
Yersinia infection	11/137	1.23701308882428e-06	1.81745769204182e-05	0	0	7.16822740253703	97.5080417266839	JUN;ARPC2;CD8A;ARPC3;LCK;ARPC1B;RAC2;FOS;ACTB;RHOA;ACTG1
Fluid shear stress and atherosclerosis	11/139	1.42801113555516e-06	1.94821519207883e-05	0	0	7.05550470711297	94.9616457748243	JUN;HSP90AA1;HSP90AB1;DUSP1;RAC2;CYBA;FOS;CALM1;ACTB;RHOA;ACTG1
Human cytomegalovirus infection	13/225	5.45495795331847e-06	6.94597979389219e-05	0	0	5.05521057240666	61.2640243676627	CCL4L2;HLA-B;HLA-C;CXCR4;HLA-A;RHOA;HLA-E;CCL5;CCL4;RAC2;CALR;CALM1;B2M
Kaposi sarcoma-associated herpesvirus infection	12/193	5.9699179630264e-06	7.12658956836276e-05	0	0	5.45122800501416	65.5716080773671	JUN;ZFP36;UBB;UBC;HLA-B;HLA-C;HLA-A;FOS;CALM1;RPS27A;UBA52;HLA-E
Pathogenic Escherichia coli infection	12/197	7.36076969673631e-06	8.27004124750962e-05	0	0	5.33227344992051	63.0239851502648	JUN;ARPC2;ARPC3;ARPC1B;RPS3;MYH9;FYN;FOS;GAPDH;ACTB;RHOA;ACTG1
Th17 cell differentiation	9/107	7.97180440569352e-06	8.4589702304859e-05	0	0	7.48869506308748	87.9142822491848	JUN;HSP90AA1;HSP90AB1;LCK;CD3G;FOS;CD247;CD3E;CD3D
Tight junction	11/169	9.49678210639185e-06	9.5467651701097e-05	0	0	5.7071129707113	66.0002363506611	MYL6;JUN;ARPC2;ARPC3;ARPC1B;MYH9;ACTB;MYL12A;RHOA;ACTG1;MYL12B
Measles	10/139	1.01066657631216e-05	9.65186580378109e-05	0	0	6.3375322997416	72.8962952125191	HSPA8;JUN;RACK1;TNFAIP3;CD3G;FOS;CD3E;CD3D;HSPA1B;HSPA1A
Graft-versus-host disease	6/42	1.29253062084812e-05	0.000115987929911007	0	0	13.4658469945355	151.575929253888	HLA-B;GZMB;HLA-C;KLRD1;HLA-A;HLA-E
Leukocyte transendothelial migration	9/114	1.3359866272472e-05	0.000115987929911007	0	0	6.98695909899229	78.4164264335112	RAC2;CXCR4;CYBA;ACTB;MYL12A;CD99;RHOA;ACTG1;MYL12B
Cellular senescence	10/156	2.76279821457878e-05	0.000229432373471542	0	0	5.59474885844749	58.7262965765127	GADD45B;HLA-B;HLA-C;HLA-A;CALM1;KIR2DL4;ZFP36L2;HLA-E;ZFP36L1;SLC25A6
Chagas disease	8/102	4.24792416122942e-05	0.000338063964497841	0	0	6.91260770177598	69.5857311019726	JUN;CCL5;CD3G;CALR;FOS;CD247;CD3E;CD3D
Endocytosis	12/252	8.33440271889443e-05	0.000636748367723535	0	0	4.09873949579832	38.4975484759365	HSPA8;ARPC2;ARPC3;ARPC1B;HLA-B;HLA-C;CXCR4;HLA-A;RHOA;HSPA1B;HLA-E;HSPA1A
Lipid and atherosclerosis	11/215	8.72305211188882e-05	0.000640808828219525	0	0	4.4098367380425	41.2185511723927	HSPA8;JUN;HSP90AA1;HSP90AB1;CCL5;CYBA;FOS;CALM1;RHOA;HSPA1B;HSPA1A
Allograft rejection	5/38	0.000105062119766753	0.000716673745551779	0	0	12.1935683364255	111.704776739382	HLA-B;GZMB;HLA-C;HLA-A;HLA-E
Primary immunodeficiency	5/38	0.000105062119766753	0.000716673745551779	0	0	12.1935683364255	111.704776739382	PTPRC;CD8A;LCK;CD3E;CD3D
PD-L1 expression and PD-1 checkpoint pathway in cancer	7/89	0.000126353913341862	0.000816129943406438	0	0	6.90936464920205	62.021384950917	JUN;LCK;CD3G;FOS;CD247;CD3E;CD3D
