Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	72/158	7.10333885895689e-97	1.34963438320181e-94	0	0	92.4881107917429	20475.9603363066	RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS27;RPS29;RPL27A;RNR2;FAU;RNR1;RPS21;RPS24;RPS23
Coronavirus disease	73/232	8.48585323382337e-84	8.0615605721322e-82	0	0	50.8170060050457	9720.21325322892	RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPSA;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;JUN;RPL41;RPL35A;RPL23A;RPS26;NFKBIA;RPS25;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24;RPS23
Antigen processing and presentation	13/78	1.42742192894946e-11	9.04033888334656e-10	0	0	16.6118143459916	414.839631009393	CD74;HSPA8;HSP90AA1;HSP90AB1;HLA-C;HLA-A;CD8B;IFNG;CD8A;PSME1;B2M;HSPA1B;HSPA1A
Prion disease	21/273	3.67412887985133e-11	1.74521121792938e-09	0	0	7.09534206695779	170.480634984875	EGR1;HSPA8;ATP8;COX4I1;ATP6;ND4L;CYBA;COX7C;CCL5;COX3;RAC2;COX2;COX1;ND1;CYTB;ND3;ND2;HSPA1B;ND5;HSPA1A;ND4
Parkinson disease	20/249	5.03205233388989e-11	1.91217988687816e-09	0	0	7.41256882475793	175.771339580771	DUSP1;ATP8;COX4I1;ATP6;ND4L;COX7C;UBB;UBC;COX3;COX2;COX1;ND1;CYTB;CALM1;RPS27A;ND3;UBA52;ND2;ND5;ND4
Diabetic cardiomyopathy	17/203	7.77244060141544e-10	2.46127285711489e-08	0	0	7.67428123125202	160.970095626654	ATP8;COX4I1;ATP6;ND4L;CYBA;COX7C;COX3;RAC2;COX2;COX1;ND1;CYTB;ND3;ND2;GAPDH;ND5;ND4
Oxidative phosphorylation	14/133	1.29074831530908e-09	3.50345971298178e-08	0	0	9.78614157527418	200.303173391388	ATP8;COX4I1;ATP6;ND4L;COX7C;COX3;COX2;ND1;COX1;CYTB;ND3;ND2;ND5;ND4
Thermogenesis	17/232	5.95760544448462e-09	1.4149312930651e-07	0	0	6.6293043217886	125.549724317357	ATP8;COX4I1;RPS6;ATP6;ND4L;COX7C;ACTB;ACTG1;COX3;COX2;COX1;ND1;CYTB;ND3;ND2;ND5;ND4
Salmonella infection	17/249	1.71197984436754e-08	3.61417967144259e-07	0	0	6.13819002515909	109.769437835422	JUN;HSP90AA1;HSP90AB1;FOS;ACTB;MYL12A;RHOA;MYL12B;ACTG1;NFKBIA;PTPRC;ARPC2;ARPC3;RPS3;PFN1;GAPDH;S100A10
Amyotrophic lateral sclerosis	20/364	3.59687812914557e-08	6.83406844537659e-07	0	0	4.90546006066734	84.0825996540384	ATP8;COX4I1;ATP6;ND4L;COX7C;ACTB;ACTG1;HNRNPA2B1;COX3;COX2;COX1;ND1;CYTB;PFN1;ND3;HNRNPA1;ND2;SRSF7;ND5;ND4
Shigellosis	16/246	8.92478822659051e-08	1.54155433004745e-06	0	0	5.80304719435154	94.194180835133	JUN;ACTB;MYL12A;RHOA;MYL12B;ACTG1;NFKBIA;UBB;ARPC2;ARPC3;CCL5;UBC;PFN1;RPS27A;UBA52;CD44
Fluid shear stress and atherosclerosis	12/139	1.83189159443786e-07	2.9004950245266e-06	0	0	7.79051148018262	120.852230163277	JUN;HSP90AA1;HSP90AB1;IFNG;DUSP1;RAC2;CYBA;FOS;CALM1;ACTB;RHOA;ACTG1
T cell receptor signaling pathway	10/104	7.2537241898924e-07	1.06015968929197e-05	0	0	8.71276595744681	123.168718490562	NFKBIA;JUN;PTPRC;CD8B;IFNG;CD8A;FOS;CD3E;CD3D;RHOA
Yersinia infection	11/137	1.23701308882428e-06	1.67880347769009e-05	0	0	7.16822740253703	97.5080417266839	NFKBIA;JUN;CD8B;ARPC2;CD8A;ARPC3;RAC2;FOS;ACTB;RHOA;ACTG1
Lipid and atherosclerosis	13/215	3.31678819945388e-06	4.20126505264159e-05	0	0	5.30818398295526	66.9707756940251	HSPA8;JUN;HSP90AA1;HSP90AB1;CYBA;FOS;RHOA;NFKBIA;CCL5;CCL3;CALM1;HSPA1B;HSPA1A
Human cytomegalovirus infection	13/225	5.45495795331847e-06	6.47776256956569e-05	0	0	5.05521057240666	61.2640243676627	CCL4L1;CCL4L2;HLA-C;CXCR4;HLA-A;RHOA;NFKBIA;CCL5;CCL4;RAC2;CCL3;CALM1;B2M
Kaposi sarcoma-associated herpesvirus infection	12/193	5.9699179630264e-06	6.67226125279421e-05	0	0	5.45122800501416	65.5716080773671	NFKBIA;JUN;ZFP36;CLEC2B;UBB;UBC;HLA-C;HLA-A;FOS;CALM1;RPS27A;UBA52
Primary immunodeficiency	6/38	7.09246603240669e-06	7.48649192309595e-05	0	0	15.1521516393443	179.651144374841	PTPRC;CD8B;CD8A;CD3E;IL2RG;CD3D
Th17 cell differentiation	9/107	7.97180440569352e-06	7.97180440569352e-05	0	0	7.48869506308748	87.9142822491848	NFKBIA;JUN;HSP90AA1;HSP90AB1;IFNG;FOS;CD3E;IL2RG;CD3D
Pathways of neurodegeneration	19/475	9.11467219369513e-06	8.65893858401037e-05	0	0	3.48015873015873	40.3894175589872	ATP8;COX4I1;ATP6;ND4L;COX7C;UBB;UBC;COX3;COX2;COX1;ND1;CYTB;CALM1;RPS27A;ND3;UBA52;ND2;ND5;ND4
Measles	10/139	1.01066657631216e-05	9.14412616663379e-05	0	0	6.3375322997416	72.8962952125191	NFKBIA;HSPA8;JUN;TNFAIP3;FOS;CD3E;IL2RG;CD3D;HSPA1B;HSPA1A
Leukocyte transendothelial migration	9/114	1.3359866272472e-05	0.000115380663262258	0	0	6.98695909899229	78.4164264335112	RAC2;CXCR4;CYBA;ACTB;MYL12A;CD99;RHOA;ACTG1;MYL12B
Human immunodeficiency virus 1 infection	12/212	1.5434492391263e-05	0.000127502328449564	0	0	4.92857142857143	54.6031785236851	NFKBIA;JUN;CFL1;RAC2;HLA-C;CXCR4;HLA-A;FOS;CALM1;CD3E;B2M;CD3D
Alzheimer disease	16/369	1.77549922569669e-05	0.000140560355367654	0	0	3.75719716229631	41.0993929881381	ATP8;COX4I1;ATP6;ND4L;COX7C;COX3;COX2;COX1;ND1;CYTB;CALM1;ND3;ND2;GAPDH;ND5;ND4
Regulation of actin cytoskeleton	12/218	2.03791861425288e-05	0.000154881814683219	0	0	4.7835522558538	51.667131006061	ARPC2;ARPC3;TMSB4X;CFL1;RAC2;CXCR4;PFN1;ACTB;MYL12A;RHOA;MYL12B;ACTG1
Mitophagy	7/68	2.22029874681938e-05	0.000162252600729108	0	0	9.29791540174054	99.6298014179883	JUN;UBB;CITED2;UBC;TOMM7;RPS27A;UBA52
IL-17 signaling pathway	8/94	2.34928398982324e-05	0.000165319984469043	0	0	7.55871612531232	80.566955822658	NFKBIA;HSP90AA1;JUN;HSP90AB1;IFNG;TNFAIP3;FOSB;FOS
Huntington disease	14/306	3.3348429898763e-05	0.000224371647082395	0	0	3.95304156025075	40.7499283949607	ATP8;COX4I1;ATP6;ND4L;COX7C;COX3;COX2;COX1;ND1;CYTB;ND3;ND2;ND5;ND4
Hematopoietic cell lineage	8/99	3.42461987652077e-05	0.000224371647082395	0	0	7.14158568704023	73.4293197194748	CD2;CD8B;CD8A;CD7;CD37;CD3E;CD3D;CD44
Viral protein interaction with cytokine and cytokine receptor	8/100	3.68274078040549e-05	0.000233240249425681	0	0	7.06360043118936	72.1141913494563	CCL4L1;CCL4L2;CCL5;CCL4;XCL2;CCL3;CXCR4;IL2RG
Chagas disease	8/102	4.24792416122942e-05	0.000260356642139868	0	0	6.91260770177598	69.5857311019726	NFKBIA;JUN;IFNG;CCL5;CCL3;FOS;CD3E;CD3D
Toll-like receptor signaling pathway	8/104	4.88370644803548e-05	0.000289970070352107	0	0	6.76790633608815	67.1851484282877	NFKBIA;JUN;CCL4L1;CCL4L2;CCL5;CCL4;CCL3;FOS
Legionellosis	6/57	7.64638075193041e-05	0.000440246164505084	0	0	9.49807135969142	90.0293028278789	EEF1A1;EEF1G;NFKBIA;HSPA8;HSPA1B;HSPA1A
Human T-cell leukemia virus 1 infection	11/219	0.000102770100490427	0.000574303502740622	0	0	4.3241470872224	39.7087123142844	NFKBIA;EGR1;JUN;ZFP36;HLA-C;HLA-A;FOS;CD3E;IL2RG;B2M;CD3D
Ferroptosis	5/41	0.000152143993430764	0.000809461851667721	0	0	11.1757369614512	98.242362711474	FTH1;PCBP1;PCBP2;SAT1;FTL
Th1 and Th2 cell differentiation	7/92	0.000155639203901385	0.000809461851667721	0	0	6.66448801742919	58.4340311678652	NFKBIA;JUN;IFNG;FOS;CD3E;IL2RG;CD3D
Chemokine signaling pathway	10/192	0.000157632044798451	0.000809461851667721	0	0	4.47985347985348	39.2222240592051	NFKBIA;CCL4L1;CCL4L2;CCL5;CCL4;RAC2;XCL2;CCL3;CXCR4;RHOA
Pathogenic Escherichia coli infection	10/197	0.000194272693948506	0.000971363469742531	0	0	4.35895721925134	37.2527283141946	NFKBIA;JUN;ARPC2;ARPC3;RPS3;FOS;GAPDH;ACTB;RHOA;ACTG1
Epstein-Barr virus infection	10/202	0.000237824125841329	0.00115863035666288	0	0	4.24435763888889	35.4148315358722	NFKBIA;JUN;HLA-C;TNFAIP3;HLA-A;VIM;CD3E;B2M;CD3D;CD44
Tight junction	9/169	0.000284073825767162	0.00134935067239402	0	0	4.57235477178423	37.3391128821658	MYL6;JUN;ARPC2;ARPC3;ACTB;MYL12A;RHOA;ACTG1;MYL12B
Estrogen signaling pathway	8/137	0.000333039161563342	0.0015433522121228	0	0	5.02812479979499	40.261454679481	HSPA8;JUN;HSP90AA1;HSP90AB1;FOS;CALM1;HSPA1B;HSPA1A
Leishmaniasis	6/77	0.000405830064660339	0.00183589791155867	0	0	6.81563149388132	53.2271924525229	EEF1A1;NFKBIA;JUN;IFNG;CYBA;FOS
Apoptosis	8/142	0.000423768841126375	0.00187246697241887	0	0	4.83927470087579	37.5833676902649	NFKBIA;JUN;GZMB;CTSW;FOS;ACTB;ACTG1;MCL1
NOD-like receptor signaling pathway	9/181	0.000469723806800178	0.00202835280209168	0	0	4.25074785293834	32.5750352152054	NFKBIA;JUN;HSP90AA1;HSP90AB1;CCL5;TXNIP;TNFAIP3;CYBA;RHOA
Oxytocin signaling pathway	8/154	0.000725099593052479	0.00306153161511047	0	0	4.43880901166082	32.0890449553657	MYL6;JUN;FOS;EEF2;CALM1;ACTB;RHOA;ACTG1
Non-alcoholic fatty liver disease	8/155	0.000756469299358322	0.00312454710604524	0	0	4.40838814864789	31.6824182297814	JUN;COX4I1;COX3;COX2;COX1;CYTB;FOS;COX7C
Cardiac muscle contraction	6/87	0.000779310671783024	0.00315040484337818	0	0	5.97115968427444	42.7361916526096	COX4I1;COX3;COX2;COX1;CYTB;COX7C
PD-L1 expression and PD-1 checkpoint pathway in cancer	6/89	0.000878426591561194	0.00346285780487895	0	0	5.8266837843176	41.0045775291167	NFKBIA;JUN;IFNG;FOS;CD3E;CD3D
Necroptosis	8/159	0.000893052802310888	0.00346285780487895	0	0	4.29073394997537	30.1246631688321	HSP90AA1;HSP90AB1;IFNG;FTH1;TNFAIP3;HMGB1;PPIA;FTL
Viral myocarditis	5/60	0.000914525308873955	0.00347519617372103	0	0	7.30797773654916	51.1346905961899	RAC2;HLA-C;HLA-A;ACTB;ACTG1
Osteoclast differentiation	7/127	0.00109805340194812	0.0040907871837283	0	0	4.71227709190672	32.110475376495	NFKBIA;JUN;IFNG;FOSB;CYBA;FOS;JUNB
Cytosolic DNA-sensing pathway	5/63	0.00114182498894803	0.00417205284423317	0	0	6.92892329345531	46.9443382596185	NFKBIA;CCL4L1;CCL4L2;CCL5;CCL4
Allograft rejection	4/38	0.00125983496062605	0.00451638948148963	0	0	9.42898134863702	62.9551827031538	IFNG;GZMB;HLA-C;HLA-A
