Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Allograft Rejection	21/200	8.87330228807617e-14	3.37185486946895e-12	0	0	10.0263716425557	301.323993541911	SRGN;CD74;NPM1;RPS9;FYB1;RPS3A;HLA-A;CD3E;RPL9;CD3D;HLA-E;CD2;PTPRC;RPS19;LCK;CCL5;CCL4;CD7;LTB;B2M;RPL39
TNF-alpha Signaling via NF-kB	20/200	8.86270394495225e-13	1.68391374954093e-11	0	0	9.45410628019324	262.368034663216	JUN;DUSP2;BTG1;DUSP1;TNFAIP3;SLC2A3;FOS;SAT1;PNRC1;KLF2;EIF1;NFKBIA;ZFP36;KLF6;CCL5;CCL4;CD69;IL7R;JUNB;MCL1
Myc Targets V1	19/200	8.35258144211115e-12	1.05799364933408e-10	0	0	8.89265982636148	226.837972728194	NPM1;HSP90AB1;RPL34;RPS5;RPL22;RPLP0;RPS6;RPL6;EEF1B2;PCBP1;HNRNPA2B1;RACK1;RPS3;RPL14;PABPC1;RPS2;RPL18;HNRNPA1;PPIA
Hypoxia	15/200	3.50324389938668e-08	3.32808170441735e-07	0	0	6.75043128234618	115.88459561035	JUN;BTG1;DUSP1;CXCR4;TNFAIP3;SLC2A3;MIF;FOS;PNRC1;ISG20;ZFP36;KLF6;S100A4;ALDOA;GAPDH
Interferon Gamma Response	14/200	2.37071663464388e-07	1.50145386860779e-06	0	0	6.23965737197011	95.1853702340694	CD74;IFITM2;BTG1;HLA-B;TNFAIP3;HLA-A;PSMB9;ISG20;NFKBIA;CCL5;PSME1;TXNIP;CD69;B2M
p53 Pathway	14/200	2.37071663464388e-07	1.50145386860779e-06	0	0	6.23965737197011	95.1853702340694	JUN;BTG1;FOS;SAT1;ZFP36L1;LDHB;HINT1;RPL36;RACK1;TXNIP;S100A4;RPL18;RPS12;S100A10
Interferon Alpha Response	9/97	3.5410456191216e-06	1.92228190752316e-05	0	0	8.3439268200679	104.725363971209	ISG20;CD74;IFITM1;IFITM2;PSME1;HLA-C;TXNIP;B2M;PSMB9
Apical Junction	11/200	4.54670516932382e-05	0.000215968495542882	0	0	4.76347656682385	47.627728264832	CNN2;FYB1;PTPRC;ARPC2;RAC2;EVL;PFN1;ACTB;CD99;MYL12B;ACTG1
PI3K/AKT/mTOR  Signaling	6/105	0.00206232617201524	0.00870759939295322	0	0	4.88102334823646	30.1838614352531	ARPC3;YWHAB;LCK;CFL1;CXCR4;PFN1
Inflammatory Response	8/200	0.00376105559178794	0.0129927374989038	0	0	3.36742424242424	18.800516836487	NFKBIA;IFITM1;KLF6;RGS1;LCK;CCL5;CD69;IL7R
Oxidative Phosphorylation	8/200	0.00376105559178794	0.0129927374989038	0	0	3.36742424242424	18.800516836487	LDHB;UQCRB;COX4I1;ATP5MC2;COX7C;ATP5MG;ATP5F1E;SLC25A6
Apoptosis	7/161	0.00419618850749715	0.013287930273741	0	0	3.665544332211	20.0636452484928	ISG20;CD2;JUN;TXNIP;CD69;SAT1;MCL1
Complement	7/200	0.0131089899943566	0.0383185861373501	0	0	2.91901746305891	12.6523557489466	LCK;SPOCK2;CCL5;TNFAIP3;PFN1;CALM1;PSMB9
UV Response Up	6/158	0.0146195230105326	0.0396815624571598	0	0	3.17051337359793	13.3966791271979	NFKBIA;DNAJB1;BTG1;FOS;ALDOA;JUNB
Reactive Oxygen Species Pathway	3/49	0.0233105957140516	0.059053509142264	0	0	5.20260517514522	19.5557982600166	LSP1;JUNB;FTL
mTORC1 Signaling	6/200	0.0401439789993466	0.0897336001161865	0	0	2.47878992732804	7.97001064911431	CXCR4;SLC2A3;ALDOA;PPIA;CORO1A;GAPDH
Epithelial Mesenchymal Transition	6/200	0.0401439789993466	0.0897336001161865	0	0	2.47878992732804	7.97001064911431	IL32;JUN;TNFAIP3;VIM;PPIB;SAT1
Fatty Acid Metabolism	5/158	0.0486041145004113	0.102608686167535	0	0	2.61397892490329	7.90479536419924	HSP90AA1;PSME1;MIF;ALDOA;S100A10
Unfolded Protein Response	4/113	0.0534884329375639	0.106976865875128	0	0	2.92996196017006	8.57977788417795	RPS14;NPM1;EEF2;YWHAZ
Glycolysis	5/200	0.106542431400366	0.192791066343519	0	0	2.0465724751439	4.58270955572505	ISG20;CXCR4;MIF;ALDOA;PPIA
