gene	avg_expr
MALAT1	197.092634630091
EEF1A1	185.427201002479
RPLP1	125.034538204249
B2M	124.778595394659
TMSB4X	106.071145655569
RPL10	98.3113113035954
ACTB	97.1915038772008
RPS12	82.8114929315447
RPL13	81.4987716600144
RPS27	76.388539378541
RPS15A	69.2827415685107
RPL30	68.43992635347
MT-CO1	68.3018949322998
RPL32	66.7634534598605
RPL28	65.9292913760118
RPS8	64.8295957277898
RPS3A	62.154757097429
RPL19	59.9174536036825
MT-CO2	58.24235689833
RPS3	57.0153535618113
TPT1	55.9384617073148
RPS27A	55.1332324248581
RPL11	55.086801156635
RPS18	54.001402825706
RPS4X	51.9856305861315
RPS14	50.1643501040731
RPS23	49.593508966904
RPL18A	48.2372898771303
RPL34	47.970465478463
RPL39	46.6807383537026
RPS28	45.4056355592876
RPL26	44.633138624518
RPS13	44.1141060043366
HLA-B	43.6564296678301
RPS19	43.4697516959442
RPS2	43.3989651330417
RPS6	42.6988790959698
RPL37	41.204589259016
RPS15	40.1183078165053
JUNB	39.9712100210562
RPL29	38.6242580962079
RPL3	37.9858975598497
RPL18	37.2112675628163
HLA-A	36.7395664794036
RPL7A	36.6561055280519
MT-CO3	36.0138975662771
RPL12	35.5745571835979
RPL35A	35.563244342403
RPS7	35.4102845082383
ACTG1	35.2950271993097
MT-ATP6	35.0202944579579
RPL6	34.9406027695888
RPS25	34.6294682955339
RPS24	34.2699708464704
RPLP2	34.1726747034649
RPL8	33.3010082530392
MT-ND4L	32.4105370299747
MT-CYB	31.9274054912092
RPL15	31.3745206343957
RPL14	29.6984223111571
PFN1	29.038777257453
RPL5	28.7908549547682
FAU	28.2129758773831
PTMA	27.6283976753547
RACK1	27.2559619769135
RPL23A	26.4125951428385
RPLP0	26.2633025024016
TMSB10	26.0037574676273
FTH1	25.5762756488642
RPS16	25.5359102519791
RPL17	25.3597708606687
MT-ATP8	25.1783367248273
RPL36	25.0841456668171
RPS26	24.6324716748552
RPSA	24.3309142403433
RPS5	24.2741415859763
SRGN	23.6875953396597
RPS21	23.6392529920006
RPS9	22.9870733120473
RPL21	22.9697116020778
RPL9	22.4379950305929
BTG1	21.8670700401009
RPL10A	21.8344912528944
GAPDH	21.559163564285
RPL24	21.373376847126
RPL22	21.3662132411152
NACA	21.3171084849585
EIF1	21.1401480023115
IL32	20.1416964316502
HLA-C	19.4394488979887
RPL13A	19.2835961162406
MT-ND3	18.8409607027621
UBA52	17.8457288477326
RPL41	17.2560593039782
EEF1B2	17.2516594109153
DUSP1	17.0194249910203
PABPC1	16.9772933213154
RPS29	16.9294590324199
RPL37A	16.463310606958
ZFP36L2	16.2600003194012
RPL4	16.1375721416947
IFITM1	16.0915570368253
EEF1D	15.9845958060816
EEF2	15.4494565228667
ARHGDIB	15.1049732807022
FOS	15.0633516763733
RPL35	14.9746996481409
PTPRCAP	14.8396990934836
MT-ND1	14.8259002516539
H3F3B	14.8150683790808
HLA-E	14.6916465573196
PTPRC	14.342257585265
HSPA8	14.1780099312206
CD3E	13.9050515662613
SARAF	13.8098566033909
FTL	13.6781290135513
HNRNPA1	13.6048743281958
EEF1G	13.5150645991747
MT-ND5	13.2873940073711
RPL7	13.2321819211858
UBC	13.00558080605
LTB	12.964855197567
RPL27	12.3873000813176
PPIA	12.0847627905985
BTF3	11.9634910674681
SERF2	11.8733560260402
CFL1	11.6221265210233
CD52	11.4579654702269
ZFP36	11.3466615722662
RAC2	11.2161632155522
PFDN5	11.1650295455681
SH3BGRL3	10.9950061273439
PNRC1	10.7946454102576
DDX5	10.6784587428345
FXYD5	10.5297016490541
RPL31	10.4717264289155
ATP5F1E	10.4476884872978
CD69	10.3799602179894
NPM1	10.3206395065973
ZFP36L1	10.2634815341993
MYL6	9.78882884121266
CD3D	9.71497733641328
H3F3A	9.49814715524644
CORO1A	9.40882419445376
RPS11	9.24659858393383
FYB1	9.00214292918076
RPL38	8.97373739897963
COX7C	8.81266963402686
COX4I1	8.60878226374737
ATP5MC2	8.56463801171095
TSC22D3	8.56197970633434
OAZ1	8.55961472411138
HINT1	8.5005772728099
KLRB1	8.4536895502138
CD7	8.35770301811596
RPL27A	8.29098739205271
LAPTM5	8.23045888989799
CCNI	8.06557427248702
LIMD2	7.85803036107894
CD74	7.82076419159224
RPL36AL	7.75857306740101
ARPC1B	7.73980190583501
COTL1	7.71365696971004
HNRNPA2B1	7.60794487290263
TOMM7	7.50609718264658
SLC25A6	7.43770361088465
HSP90AA1	7.37673445584091
CXCR4	7.2203771097262
LDHB	7.19222069178699
MT-ND4	7.19111257210136
TMA7	7.05745424012805
MYL12A	6.99032145956434
PCBP2	6.90949258718574
ATP5MG	6.89271429903721
MT-ND2	6.85366091229038
LAT	6.73175255438255
NR4A2	6.72099784040429
CD37	6.67459414904212
ITM2A	6.57737154840223
COMMD6	6.5459990563005
YWHAZ	6.44906859791952
PPDPF	6.4344314254529
CD2	6.39437940802349
EVL	6.34424775413213
PCBP1	6.3309803113828
ARPC2	6.28224698013915
SLC2A3	6.27893860869711
C12orf57	6.27594670387198
DUSP2	6.24736133837628
KLF6	6.19484300543897
TRBC2	6.1244528074191
RHOA	6.07214436576176
RPS20	5.94243215740931
MIF	5.89934278875831
DNAJB1	5.84423893009012
UQCRB	5.82422932740468
EIF3F	5.75589219533108
HSP90AB1	5.73246405013574
YBX1	5.71203995314311
CALM1	5.68992149292644
TRBV5-1	5.68529901079938
SUMO2	5.61692426007412
YWHAB	5.57895356276592
ITM2B	5.56378482874337
HMGB1	5.44076462981891
SRP14	5.39963816818009
EIF3K	5.38768605340844
TIGIT	5.36971236256702
BTG2	5.36713805152377
CNBP	5.28412145124639
LCK	5.26302432753601
VIM	5.20867759804072
CHCHD2	5.16956824155552
S100A4	5.15966559679011
CTLA4	5.10988752382378
SOD1	5.10493627150892
SPOCK2	5.09883394531278
ARPC3	5.07589718112941
RGS1	5.03883747965175
TXNIP	5.02764560972862
RPL23	5.02576276278543
CIRBP	5.01330369230717
GMFG	4.99119413370079
NOP53	4.96395188297749
H2AFZ	4.96067482336462
HNRNPK	4.88028287535483
GIMAP7	4.86732430717204
SNRPD2	4.86173279186897
OST4	4.79247408570521
CYBA	4.77191501889145
ALDOA	4.77163448310036
C9orf16	4.72598488444382
CLIC1	4.7204396447395
HMGN2	4.69166080313062
DAZAP2	4.64064473368258
ANP32B	4.63651217093701
UBB	4.62653206971779
EIF3L	4.58631434516311
IFITM2	4.56057067348246
GPSM3	4.53992292675467
GABARAP	4.52731469360118
CRIP1	4.52673819184464
SKP1	4.52506220206672
TMBIM6	4.51092372767835
FCMR	4.509291717007
CD27	4.47424228958119
RPS4Y1	4.43514033040216
CYTIP	4.41501605893394
SEPT6	4.40649862038244
EIF3E	4.37430700611324
