Gene	Expression
1	RNR2	223.448959773797
2	MALAT1	174.686958932837
3	B2M	163.362058398592
4	RPL41	117.105338342986
5	TMSB4X	115.451296505861
6	RPS27	113.773297304595
7	ACTB	100.096759975903
8	EEF1A1	90.0509200658893
9	HLA-C	78.701058105823
10	RPL10	77.1668506902103
11	FOS	75.5462732551463
12	COX1	73.8943577364274
13	RPL28	71.9129002513709
14	RPLP1	70.0190199042743
15	CCL4	67.9935268387826
16	COX2	64.4779211333763
17	RPS15A	63.5175588100363
18	RPS12	59.6435841937474
19	HLA-A	58.8044455000448
20	RPL39	58.7134048997043
21	CCL5	58.5572566485233
22	RPL13	55.0345267348968
23	JUN	53.8609215351247
24	RPL30	53.793154987172
25	JUNB	52.2879344176509
26	DUSP1	51.8663287674378
27	RNR1	49.6744112854094
28	RPS3	46.8486624452616
29	ND3	46.3517790722108
30	RPS19	44.9148400719708
31	RPS18	42.2854901121696
32	RPL32	41.0011703634187
33	TMSB10	40.2232920659378
34	RPL19	39.4840697360116
35	RPS27A	38.4395434122706
36	RPS26	38.2045078202701
37	HSPA1A	38.1696483149033
38	DNAJB1	37.6364961569181
39	ATP6	37.4516274797624
40	ZFP36	37.4050902701079
41	RPL34	37.1435962874046
42	RPL11	37.0587341723082
43	RPL18A	35.40470295525
44	RPS15	34.9027852509314
45	DUSP2	33.803284466131
46	RPS4X	33.5561158096169
47	RPS14	33.26943852502
48	RPS21	32.2433609423503
49	RPL26	32.0764996074325
50	RPS23	31.3047658527404
51	H3F3B	31.2629760864319
52	CD69	31.0819382921764
53	RPS24	30.4694704998342
54	ND4L	29.6723412397549
55	RPS29	29.619258841021
56	CD74	29.5685917361455
57	CYTB	29.4231145768783
58	FAU	29.2851904591247
59	RPL7A	28.8696455309263
60	NKG7	28.6986553153552
61	ND4	28.6801163241944
62	EIF1	28.6488306349863
63	PTMA	28.5495693774748
64	ATP8	28.4426378943155
65	RPS7	27.9263810554924
66	RPL35A	27.6623007446255
67	RPS8	27.4181042345606
68	RPS25	27.3201900486224
69	RPS3A	27.2992447627965
70	RPL12	27.0792513373648
71	RPL36	26.5506334444185
72	RPL3	25.607599501108
73	TPT1	24.6547270739171
74	HSPA1B	24.2910584434097
75	ACTG1	24.1440845317603
76	RPL29	23.7155427094074
77	BTG1	23.7130915917813
78	PFN1	23.6216481272256
79	RPL37	23.5214439447509
80	RPL18	23.0871136249801
81	COX3	22.8176807173375
82	RPS13	22.5737443061885
83	RPL8	22.5576457214212
84	RPL6	22.5151851619487
85	RPL14	21.8028596855036
86	TSC22D3	21.4011439090596
87	UBC	20.6088953839205
88	IL32	20.3341383132708
89	SH3BGRL3	20.2369179010691
90	GAPDH	19.8549573676699
91	FTH1	19.6404760126285
92	CST7	19.4849159806792
93	RPLP2	19.4244855586182
94	RPS6	19.1247713651057
95	FTL	18.9097284260696
96	ZFP36L2	18.5409622573669
97	HLA-H	18.4146208976736
98	RPS9	18.0348903099478
99	HSPA8	17.9778664976312
100	VIM	17.972592566168
101	CRIP1	17.8337221614874
102	RPL15	17.6684402536375
103	RPL5	17.4621573546296
104	RPL35	17.4541643647061
105	RPLP0	17.1887639020467
106	RPL23A	16.875228529689
107	CFL1	16.4503238944289
108	IER2	16.4273851941945
109	KLF6	16.014587275278
110	FXYD5	15.7336922263723
111	RPL24	15.5962141577372
112	IFITM1	15.415072926907
113	GZMK	15.2876001480026
114	RPS5	15.227970616562
115	S100A4	14.9562110271909
116	RPS2	14.809747004074
117	HSP90AA1	14.5260346221507
118	SRGN	14.5137391715028
119	ATP5E	14.2451144769106
120	GZMA	14.1089792382081
121	CCL4L1	14.0580546070488
122	GNB2L1	13.698994055591
123	RPL9	13.6572481517053
124	CD3E	13.3498988011692
125	NACA	13.3401633058159
126	CXCR4	13.0908036831622
127	UBB	12.64463917004
128	EEF1D	12.636505550753
129	HCST	12.5601934959594
130	ND1	12.3129719752286
131	RPSA	12.0339725440372
132	MYL12A	11.9285953958395
133	SERF2	11.9228752889677
134	PTPRCAP	11.6352030767799
135	ND2	11.6212722171278
136	RPL10A	11.461836884975
137	S100A6	11.3745068132206
138	SARAF	11.2039534752819
139	ARHGDIB	11.1737265204752
140	CCL3	11.0292339398566
141	MYL6	11.0091496260201
142	RPS16	10.872246087419
143	CYBA	10.787448391998
144	TMA7	10.5615827016547
145	PPIA	10.5439052500297
146	PNRC1	10.5301412424019
147	UBA52	10.1731871168215
148	RPL27	10.140591111936
149	PPDPF	10.0289104398543
150	RPL37A	9.92978410115211
151	PPP1R15A	9.92974433629992
152	RPL22	9.90717418225719
153	CORO1A	9.87185720282566
