.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-8	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.374899220639603E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	0.0	0.0024187046492878212	5.374899220639603E-4	8.062348830959405E-4	0.0029561945713517815	5.374899220639603E-4	0.0013437248051599007	0.0013437248051599007	2.6874496103198014E-4	8.062348830959405E-4	0.0016124697661918808	0.0010749798441279206	0.0	0.005643644181671585	0.007256113947863469	0.001881214727223861	0.004837409298575643	0.0016124697661918808	0.0	0.0	0.003762429454447722	0.003762429454447722	0.004031174415479702	0.0029561945713517815	8.062348830959405E-4	0.0	0.0010749798441279206	5.374899220639603E-4	0.004837409298575643	0.010212308519215249	0.0	0.0013437248051599007	0.0	2.6874496103198014E-4	0.0024187046492878212	8.062348830959405E-4	2.6874496103198014E-4	0.0016124697661918808	0.0	0.0	2.6874496103198014E-4	0.0029561945713517815	0.0034936844934157422	8.062348830959405E-4	0.0	5.374899220639603E-4	0.007256113947863469	0.0013437248051599007
TRBJ1-2	2.6874496103198014E-4	0.0010749798441279206	8.062348830959405E-4	0.0	0.0016124697661918808	0.0	0.0010749798441279206	0.002149959688255841	0.0	2.6874496103198014E-4	0.004568664337543664	2.6874496103198014E-4	0.0	2.6874496103198014E-4	0.00806234883095941	0.0013437248051599007	0.006181134103735546	5.374899220639603E-4	0.0013437248051599007	2.6874496103198014E-4	0.0032249395323837617	0.0053748992206396045	0.004031174415479702	0.0016124697661918808	0.0010749798441279206	0.002149959688255841	0.0	0.0016124697661918808	0.005106154259607625	0.0016124697661918808	2.6874496103198014E-4	0.001881214727223861	0.0	5.374899220639603E-4	0.004031174415479702	5.374899220639603E-4	0.0	0.01128728836334317	5.374899220639603E-4	0.0	0.0	0.0029561945713517815	2.6874496103198014E-4	2.6874496103198014E-4	0.0	0.0010749798441279206	0.0026874496103198014	0.0024187046492878212
TRBJ1-3	0.0	0.0	2.6874496103198014E-4	0.0	0.0013437248051599007	0.0	0.0013437248051599007	5.374899220639603E-4	0.0	0.0	0.0	2.6874496103198014E-4	0.0	0.0010749798441279206	0.0013437248051599007	5.374899220639603E-4	0.0016124697661918808	0.0	0.0	0.0	5.374899220639603E-4	0.001881214727223861	0.0010749798441279206	8.062348830959405E-4	0.001881214727223861	0.0	0.0	0.0010749798441279206	0.0010749798441279206	0.0	2.6874496103198014E-4	0.0	0.0	0.0	0.0	2.6874496103198014E-4	0.0	0.0	2.6874496103198014E-4	0.0	0.0	0.0010749798441279206	2.6874496103198014E-4	0.0010749798441279206	0.0	0.0	0.001881214727223861	0.0
TRBJ1-4	2.6874496103198014E-4	0.0	5.374899220639603E-4	2.6874496103198014E-4	8.062348830959405E-4	0.0	5.374899220639603E-4	0.0	0.0	0.0	2.6874496103198014E-4	0.0	0.0	2.6874496103198014E-4	2.6874496103198014E-4	0.0016124697661918808	0.0016124697661918808	2.6874496103198014E-4	0.0	2.6874496103198014E-4	8.062348830959405E-4	0.001881214727223861	5.374899220639603E-4	0.0	0.0	2.6874496103198014E-4	0.0	5.374899220639603E-4	0.002149959688255841	2.6874496103198014E-4	0.0	0.0010749798441279206	0.0	0.0	8.062348830959405E-4	2.6874496103198014E-4	0.0	0.002149959688255841	2.6874496103198014E-4	0.0	0.0	0.0026874496103198014	5.374899220639603E-4	0.0	0.0	0.0024187046492878212	0.002149959688255841	0.0
TRBJ1-5	0.0	5.374899220639603E-4	5.374899220639603E-4	0.0	2.6874496103198014E-4	0.0	0.0013437248051599007	5.374899220639603E-4	0.0	0.0069873689868314845	2.6874496103198014E-4	0.0013437248051599007	0.0	0.0032249395323837617	0.004568664337543663	0.0013437248051599007	0.004031174415479702	0.0	0.0010749798441279206	0.0	0.0016124697661918808	0.005106154259607624	0.0034936844934157422	0.0013437248051599007	0.0024187046492878212	0.0	2.6874496103198014E-4	0.0	8.062348830959405E-4	8.062348830959405E-4	0.0013437248051599007	5.374899220639603E-4	2.6874496103198014E-4	0.0	0.001881214727223861	0.005912389142703565	0.0	0.0010749798441279206	0.0010749798441279206	0.0	0.0	0.0032249395323837617	0.0	5.374899220639603E-4	0.0	0.0	0.001881214727223861	8.062348830959405E-4
TRBJ1-6	0.0	2.6874496103198014E-4	2.6874496103198014E-4	0.0	2.6874496103198014E-4	0.0	5.374899220639603E-4	0.001881214727223861	0.0	2.6874496103198014E-4	8.062348830959405E-4	0.0	0.0	2.6874496103198014E-4	8.062348830959405E-4	0.0016124697661918808	0.004299919376511682	0.0	0.0	0.0	0.001881214727223861	0.0018812147272238612	0.0	0.0016124697661918808	0.0013437248051599007	5.374899220639603E-4	5.374899220639603E-4	0.0	0.0016124697661918808	5.374899220639603E-4	2.6874496103198014E-4	0.0010749798441279206	0.0	2.6874496103198014E-4	0.0	2.6874496103198014E-4	0.0	8.062348830959405E-4	5.374899220639603E-4	0.0	0.0	2.6874496103198014E-4	0.0	2.6874496103198014E-4	0.0	2.6874496103198014E-4	0.0010749798441279206	0.0013437248051599007
TRBJ2-1	0.0013437248051599007	8.062348830959405E-4	0.0024187046492878212	0.01397473797366297	0.005374899220639605	0.005106154259607625	0.0029561945713517815	0.0024187046492878212	0.002149959688255841	0.0013437248051599007	0.006449879064767525	0.0029561945713517815	0.0	0.0032249395323837617	0.010749798441279214	0.00913732867508733	0.012899758129535059	8.062348830959405E-4	0.0016124697661918808	5.374899220639603E-4	0.004031174415479702	0.011556033324375154	0.002149959688255841	0.006181134103735546	0.001881214727223861	8.062348830959405E-4	0.001612469766191881	5.374899220639603E-4	0.00886858371405535	0.0010749798441279206	8.062348830959405E-4	8.062348830959405E-4	0.0	5.374899220639603E-4	0.004837409298575643	0.0056436441816715855	0.001612469766191881	0.0056436441816715855	0.006181134103735546	0.0	0.0	0.003493684493415742	0.006449879064767528	5.374899220639603E-4	0.0	0.001881214727223861	0.003762429454447722	0.0029561945713517815
TRBJ2-2	5.374899220639603E-4	0.0	5.374899220639603E-4	8.062348830959405E-4	0.0016124697661918808	2.6874496103198014E-4	0.0013437248051599007	0.0010749798441279206	5.374899220639603E-4	5.374899220639603E-4	0.0	5.374899220639603E-4	0.0	0.0013437248051599007	0.002149959688255841	0.001881214727223861	0.004837409298575644	0.0013437248051599007	0.0013437248051599007	2.6874496103198014E-4	0.003762429454447722	0.020155872077398516	8.062348830959405E-4	5.374899220639603E-4	2.6874496103198014E-4	2.6874496103198014E-4	0.0010749798441279206	8.062348830959405E-4	0.001881214727223861	5.374899220639603E-4	2.6874496103198014E-4	0.0013437248051599007	0.0	2.6874496103198014E-4	0.002149959688255841	0.0032249395323837617	5.374899220639603E-4	0.0029561945713517815	5.374899220639603E-4	0.0	0.0	0.003493684493415742	0.0026874496103198014	8.062348830959405E-4	5.374899220639603E-4	5.374899220639603E-4	5.374899220639603E-4	0.0016124697661918808
TRBJ2-3	2.6874496103198014E-4	0.0	8.062348830959405E-4	2.6874496103198014E-4	0.0010749798441279206	2.6874496103198014E-4	0.0010749798441279206	0.001881214727223861	2.6874496103198014E-4	2.6874496103198014E-4	0.0010749798441279206	8.062348830959405E-4	0.0	0.002149959688255841	0.004568664337543664	0.003224939532383762	0.013168503090567036	5.374899220639603E-4	5.374899220639603E-4	2.6874496103198014E-4	0.003493684493415742	0.005106154259607624	0.0024187046492878212	0.002149959688255841	0.0037624294544477224	5.374899220639603E-4	5.374899220639603E-4	0.0010749798441279206	0.0053748992206396045	0.0024187046492878212	5.374899220639603E-4	0.0013437248051599007	0.0	0.0	0.0024187046492878212	2.6874496103198014E-4	2.6874496103198014E-4	0.0024187046492878212	0.001881214727223861	0.0	0.0	0.00833109379199139	0.001881214727223861	0.0024187046492878212	0.002687449610319802	8.062348830959405E-4	0.006181134103735547	0.004299919376511682
TRBJ2-4	0.0	0.0	2.6874496103198014E-4	5.374899220639603E-4	5.374899220639603E-4	0.0	0.0016124697661918808	0.0	0.0	0.0	2.6874496103198014E-4	2.6874496103198014E-4	0.0	2.6874496103198014E-4	5.374899220639603E-4	2.6874496103198014E-4	8.062348830959405E-4	2.6874496103198014E-4	0.0	0.0	5.374899220639603E-4	0.0010749798441279206	2.6874496103198014E-4	0.001881214727223861	5.374899220639603E-4	0.0	5.374899220639603E-4	0.0	5.374899220639603E-4	2.6874496103198014E-4	2.6874496103198014E-4	5.374899220639603E-4	0.0	2.6874496103198014E-4	0.0	0.0	0.0	8.062348830959405E-4	2.6874496103198014E-4	0.0	0.0	5.374899220639603E-4	5.374899220639603E-4	0.0	0.0	2.6874496103198014E-4	8.062348830959405E-4	0.0
TRBJ2-5	0.0	5.374899220639603E-4	0.0	8.062348830959405E-4	0.002149959688255841	8.062348830959405E-4	0.001881214727223861	2.6874496103198014E-4	8.062348830959405E-4	8.062348830959405E-4	0.0	8.062348830959405E-4	0.0	0.0016124697661918808	0.003493684493415742	0.001881214727223861	0.01531846277882288	2.6874496103198014E-4	5.374899220639603E-4	2.6874496103198014E-4	0.0016124697661918808	0.005912389142703566	0.0013437248051599007	0.007793603869927427	0.0029561945713517815	0.0010749798441279206	0.0010749798441279206	2.6874496103198014E-4	0.004031174415479702	5.374899220639603E-4	5.374899220639603E-4	0.002149959688255841	0.0	0.0	5.374899220639603E-4	8.062348830959405E-4	0.0	8.062348830959405E-4	0.0013437248051599007	0.0	0.0	0.001881214727223861	0.0016124697661918808	2.6874496103198014E-4	0.0	5.374899220639603E-4	0.018005912389142675	0.0024187046492878212
TRBJ2-6	0.0	2.6874496103198014E-4	0.0	0.0	8.062348830959405E-4	0.0	0.0	8.062348830959405E-4	0.0	0.0	2.6874496103198014E-4	0.0	2.6874496103198014E-4	0.0	0.0	0.0	0.0	0.0	2.6874496103198014E-4	0.0	0.006449879064767527	2.6874496103198014E-4	0.0	5.374899220639603E-4	5.374899220639603E-4	2.6874496103198014E-4	2.6874496103198014E-4	8.062348830959405E-4	2.6874496103198014E-4	5.374899220639603E-4	0.0	5.374899220639603E-4	0.0	0.0	0.0	8.062348830959405E-4	2.6874496103198014E-4	5.374899220639603E-4	5.374899220639603E-4	2.6874496103198014E-4	0.0	0.0026874496103198014	5.374899220639603E-4	0.0010749798441279206	0.0	0.0	0.0010749798441279206	0.0
TRBJ2-7	0.0013437248051599007	0.0010749798441279206	0.0013437248051599007	8.062348830959405E-4	0.0026874496103198014	0.0010749798441279206	0.0010749798441279206	0.001881214727223861	0.004031174415479703	5.374899220639603E-4	0.003762429454447722	8.062348830959405E-4	0.0	0.0024187046492878212	0.019349637194302577	0.004837409298575643	0.04488040849234059	0.0013437248051599007	5.374899220639603E-4	0.0016124697661918808	0.008868583714055349	0.020424617038430508	0.005106154259607624	0.004031174415479702	0.0029561945713517815	0.003762429454447722	0.002149959688255841	0.0024187046492878217	0.005912389142703566	0.003493684493415742	0.009674818597151288	0.0032249395323837617	0.0	2.6874496103198014E-4	0.0029561945713517815	0.0032249395323837617	2.6874496103198014E-4	0.003493684493415742	0.0029561945713517815	0.0	0.0	0.007524858908895449	8.062348830959405E-4	0.004837409298575644	0.0	0.004031174415479702	0.015318462778822877	0.011556033324375155
