.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	1.32170235263019E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64340470526038E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	0.0	1.32170235263019E-4	0.003304255881575475	2.64340470526038E-4	0.011763150938408694	0.002114723764208304	0.004229447528416609	0.001850383293682266	2.64340470526038E-4	9.25191646841133E-4	5.28680941052076E-4	6.608511763150951E-4	3.9651070578905706E-4	0.006608511763150956	0.005551149881046803	0.0048902987047317065	0.009384086703674355	0.001057361882104152	0.0	5.28680941052076E-4	9.251916468411331E-4	0.004493787998942648	0.003436426116838495	0.0037007665873645323	0.002114723764208304	0.005683320116309822	0.002114723764208304	7.93021411578114E-4	0.002114723764208304	0.007533703409992092	0.002775574940523399	1.32170235263019E-4	0.0019825535289452853	0.0	1.32170235263019E-4	0.0014538725878932093	0.003039915411049437	0.0	0.010705789056304538	0.005947660586835859	0.0	0.0	0.0068728522336769975	0.0019825535289452853	0.0	7.93021411578114E-4	0.0	0.0013217023526301901	0.004361617763679628	0.002114723764208304
TRBJ1-2	0.0	0.00409727729315359	0.0013217023526301901	3.9651070578905706E-4	7.93021411578114E-4	2.64340470526038E-4	0.0019825535289452853	0.0018503832936822662	0.0	2.64340470526038E-4	0.001057361882104152	0.001453872587893209	0.0	0.0022468939994713232	0.002907745175786418	0.001850383293682266	0.008987575997885296	1.32170235263019E-4	0.0	0.002114723764208304	6.608511763150951E-4	0.002379064234734342	1.32170235263019E-4	9.25191646841133E-4	0.001453872587893209	0.002511234469997361	0.001189532117367171	9.25191646841133E-4	0.002114723764208304	0.002907745175786418	0.002379064234734342	0.001057361882104152	0.00409727729315359	0.0	2.64340470526038E-4	0.001189532117367171	0.001586042823156228	0.0	0.003304255881575475	3.9651070578905706E-4	0.0	0.0	0.008855405762622278	3.9651070578905706E-4	0.0	0.0	0.0	0.018636003172085677	0.007798043880518128	0.002907745175786418
TRBJ1-3	0.0	0.0	3.9651070578905706E-4	0.0	2.64340470526038E-4	0.0	5.28680941052076E-4	0.003039915411049437	0.0	1.32170235263019E-4	1.32170235263019E-4	3.9651070578905706E-4	0.0	6.608511763150951E-4	0.003304255881575475	9.25191646841133E-4	0.001850383293682266	0.0	0.0	1.32170235263019E-4	0.0	5.28680941052076E-4	2.64340470526038E-4	3.9651070578905706E-4	2.64340470526038E-4	0.0013217023526301901	1.32170235263019E-4	1.32170235263019E-4	0.0019825535289452853	6.608511763150951E-4	6.608511763150951E-4	1.32170235263019E-4	2.64340470526038E-4	0.0	0.0	7.93021411578114E-4	0.0	0.0	1.32170235263019E-4	2.64340470526038E-4	0.0	0.0	0.003039915411049437	1.32170235263019E-4	0.0	1.32170235263019E-4	0.0	0.0	7.93021411578114E-4	0.001057361882104152
TRBJ1-4	0.0	0.0	0.0	0.0	3.9651070578905706E-4	0.0	3.9651070578905706E-4	5.28680941052076E-4	0.0	6.608511763150952E-4	5.28680941052076E-4	3.9651070578905706E-4	0.0	3.9651070578905706E-4	7.93021411578114E-4	0.003304255881575475	0.003304255881575475	0.0	0.0	1.32170235263019E-4	0.0	2.64340470526038E-4	2.64340470526038E-4	1.32170235263019E-4	1.32170235263019E-4	9.25191646841133E-4	6.608511763150951E-4	2.64340470526038E-4	3.9651070578905706E-4	0.001586042823156228	7.93021411578114E-4	0.0	2.64340470526038E-4	0.0	0.0	0.001189532117367171	0.0	0.0	6.608511763150951E-4	3.9651070578905706E-4	0.0	0.0	0.004493787998942648	1.32170235263019E-4	0.0	0.0026434047052603807	6.608511763150952E-4	6.608511763150951E-4	0.001057361882104152	9.25191646841133E-4
TRBJ1-5	5.28680941052076E-4	2.64340470526038E-4	9.25191646841133E-4	0.0	3.9651070578905706E-4	0.0	0.015463917525773222	7.93021411578114E-4	0.0	1.32170235263019E-4	0.0	0.001189532117367171	0.0	0.001453872587893209	0.008062384351044167	0.002114723764208304	0.003568596352101513	6.608511763150951E-4	0.0	2.64340470526038E-4	2.64340470526038E-4	0.0063441712926249165	3.9651070578905706E-4	2.64340470526038E-4	7.93021411578114E-4	0.002114723764208304	7.93021411578114E-4	1.32170235263019E-4	6.608511763150951E-4	3.9651070578905706E-4	0.0	5.28680941052076E-4	1.32170235263019E-4	1.32170235263019E-4	1.32170235263019E-4	0.002379064234734342	0.0026434047052603803	2.64340470526038E-4	0.003436426116838494	7.93021411578114E-4	1.32170235263019E-4	0.0	6.608511763150951E-4	2.64340470526038E-4	1.32170235263019E-4	0.0	1.32170235263019E-4	0.001057361882104152	0.0013217023526301901	0.001189532117367171
TRBJ1-6	0.0	0.0	0.0	1.32170235263019E-4	1.32170235263019E-4	3.9651070578905706E-4	0.001718213058419247	2.64340470526038E-4	0.0	1.32170235263019E-4	0.0	1.32170235263019E-4	0.0	0.003304255881575475	0.002775574940523399	0.001453872587893209	0.003965107057890571	3.9651070578905706E-4	0.0	0.0	1.32170235263019E-4	5.28680941052076E-4	1.32170235263019E-4	0.0	0.0013217023526301901	3.9651070578905706E-4	5.28680941052076E-4	1.32170235263019E-4	7.93021411578114E-4	5.28680941052076E-4	3.9651070578905706E-4	0.0022468939994713237	1.32170235263019E-4	0.0	0.0	9.25191646841133E-4	7.93021411578114E-4	0.0	0.001057361882104152	1.32170235263019E-4	0.0	0.0	0.0022468939994713232	7.93021411578114E-4	0.0	3.9651070578905706E-4	0.0	2.64340470526038E-4	0.001057361882104152	9.25191646841133E-4
TRBJ2-1	0.0	0.0	0.007137192704203031	3.9651070578905706E-4	0.005683320116309822	0.0035685963521015136	0.002511234469997361	0.0059476605868358625	2.64340470526038E-4	2.64340470526038E-4	0.001586042823156228	0.002775574940523399	1.32170235263019E-4	0.00409727729315359	0.004625958234205667	0.005947660586835862	0.015331747290510194	3.9651070578905706E-4	1.32170235263019E-4	0.001586042823156228	0.007798043880518124	0.003304255881575475	0.001189532117367171	0.001453872587893209	0.003172085646312456	0.01282051282051284	9.25191646841133E-4	0.004493787998942648	0.003965107057890571	0.012688342585249819	0.0013217023526301901	0.002114723764208304	0.001453872587893209	0.0	7.93021411578114E-4	2.64340470526038E-4	0.0019825535289452853	0.002511234469997361	0.007269362939466053	9.25191646841133E-4	0.0	0.0	0.0068728522336769975	0.0022468939994713232	0.0	7.93021411578114E-4	7.93021411578114E-4	0.0026434047052603803	0.007401533174729075	0.0048902987047317065
TRBJ2-2	0.0	0.0	3.9651070578905706E-4	2.64340470526038E-4	0.00409727729315359	0.001189532117367171	0.001718213058419247	6.608511763150951E-4	1.32170235263019E-4	0.0	1.32170235263019E-4	1.32170235263019E-4	1.32170235263019E-4	6.608511763150951E-4	0.00409727729315359	0.007269362939466049	0.003172085646312456	3.9651070578905706E-4	0.0	0.005947660586835856	1.32170235263019E-4	0.011630980703145673	2.64340470526038E-4	0.0034364261168384944	0.002511234469997361	5.28680941052076E-4	0.0014538725878932093	1.32170235263019E-4	0.001057361882104152	0.010837959291567558	0.001453872587893209	9.25191646841133E-4	3.9651070578905706E-4	0.0	1.32170235263019E-4	2.64340470526038E-4	7.93021411578114E-4	5.28680941052076E-4	0.0022468939994713232	5.28680941052076E-4	0.0	0.0	0.002379064234734342	0.0019825535289452853	0.0	6.608511763150951E-4	2.64340470526038E-4	9.25191646841133E-4	0.0026434047052603803	0.003304255881575475
TRBJ2-3	0.0	1.32170235263019E-4	5.28680941052076E-4	3.9651070578905706E-4	0.002379064234734342	6.608511763150951E-4	6.608511763150951E-4	0.001453872587893209	1.32170235263019E-4	0.001057361882104152	9.25191646841133E-4	6.608511763150951E-4	0.0	0.001057361882104152	0.0022468939994713232	0.0019825535289452853	0.010177108115252463	0.0	0.0	0.001057361882104152	0.0	0.001850383293682266	2.64340470526038E-4	0.0022468939994713232	0.001453872587893209	0.001453872587893209	0.0013217023526301901	0.001718213058419247	0.001718213058419247	0.006740681998413976	0.013613534232090956	6.608511763150951E-4	9.25191646841133E-4	0.0	1.32170235263019E-4	0.0019825535289452853	0.0022468939994713232	0.001189532117367171	0.001718213058419247	0.0013217023526301901	0.0	0.0	0.00634417129262492	0.015463917525773224	2.64340470526038E-4	7.93021411578114E-4	5.28680941052076E-4	9.25191646841133E-4	0.003965107057890571	0.0026434047052603803
