.	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV21-1	TRBV23-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV30	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9
None	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.579030475288174E-4	0.0	7.89515237644087E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRBJ1-1	3.158060950576348E-4	6.316121901152696E-4	0.001105321332701722	3.158060950576348E-4	0.005210800568450975	7.89515237644087E-4	7.89515237644087E-4	0.0028422548555187134	3.158060950576348E-4	0.0012632243802305392	0.002368545712932261	3.158060950576348E-4	0.002210642665403444	0.030159482078004146	0.002210642665403444	0.01721143218064111	1.579030475288174E-4	0.0	1.579030475288174E-4	7.89515237644087E-4	0.0017369335228169913	4.7370914258645225E-4	0.0026843518079898957	0.0017369335228169913	0.0025264487604610784	0.0017369335228169913	4.7370914258645225E-4	0.002368545712932261	0.004105479235749253	0.0	0.0017369335228169913	6.316121901152696E-4	0.0020527396178746265	0.0	4.7370914258645225E-4	0.0033159639981051653	0.004579188378335706	6.316121901152696E-4	0.009316279804200222	0.003473867045633982	0.0	0.0	0.004737091425864524	7.89515237644087E-4	7.89515237644087E-4	3.158060950576348E-4	9.474182851729044E-4	0.002210642665403444	0.0036317700931628003
TRBJ1-2	1.579030475288174E-4	1.579030475288174E-4	6.316121901152696E-4	1.579030475288174E-4	0.002368545712932261	0.0	0.002210642665403444	0.002368545712932261	0.0	0.0	3.158060950576348E-4	3.158060950576348E-4	0.013421759039949473	0.0036317700931628003	0.002210642665403444	0.010263698089373127	4.7370914258645225E-4	0.0	0.003158060950576348	1.579030475288174E-4	4.7370914258645225E-4	4.7370914258645225E-4	0.0020527396178746265	0.008842570661613772	0.003158060950576348	0.0014211274277593567	0.0034738670456339825	0.0025264487604610784	0.004263382283278071	0.0	0.0014211274277593567	3.158060950576348E-4	0.004579188378335706	0.0	7.89515237644087E-4	0.0034738670456339825	0.004105479235749253	0.0	0.007105637138796788	0.0014211274277593567	0.0	0.0025264487604610784	0.0066319279962103374	0.0034738670456339825	1.579030475288174E-4	0.0	4.7370914258645225E-4	0.00947418285172904	0.0025264487604610784
TRBJ1-3	0.0	0.0	3.158060950576348E-4	0.0	3.158060950576348E-4	0.0	0.0	0.0	0.0	0.0020527396178746265	0.0017369335228169913	0.0	0.003947576188220435	4.737091425864522E-4	4.7370914258645225E-4	0.0012632243802305392	0.0	1.579030475288174E-4	9.474182851729044E-4	1.579030475288174E-4	3.158060950576348E-4	3.158060950576348E-4	3.158060950576348E-4	4.7370914258645225E-4	1.579030475288174E-4	4.7370914258645225E-4	3.158060950576348E-4	0.0	9.474182851729044E-4	0.0	3.158060950576348E-4	0.0	4.7370914258645225E-4	0.0	3.158060950576348E-4	0.0017369335228169913	4.7370914258645225E-4	0.0	7.89515237644087E-4	0.0026843518079898957	1.579030475288174E-4	0.0	0.0014211274277593567	4.737091425864522E-4	0.0	0.0	1.579030475288174E-4	7.89515237644087E-4	9.474182851729044E-4
TRBJ1-4	1.579030475288174E-4	1.579030475288174E-4	3.158060950576348E-4	0.0	9.474182851729044E-4	0.0	0.001105321332701722	0.0	4.7370914258645225E-4	1.579030475288174E-4	3.158060950576348E-4	0.0	6.316121901152696E-4	7.89515237644087E-4	7.89515237644087E-4	0.001105321332701722	0.0	0.0	0.0	0.0	6.316121901152696E-4	0.0	0.0	3.158060950576348E-4	3.158060950576348E-4	6.316121901152696E-4	0.0	4.7370914258645225E-4	6.316121901152696E-4	0.0	9.474182851729044E-4	0.009789988946786678	4.7370914258645225E-4	0.0	3.158060950576348E-4	1.579030475288174E-4	4.7370914258645225E-4	0.0	0.0012632243802305392	0.0	0.0	0.0	0.0020527396178746265	1.579030475288174E-4	0.0	0.0	4.7370914258645225E-4	0.0012632243802305392	3.158060950576348E-4
TRBJ1-5	0.0	0.0	4.7370914258645225E-4	0.0	0.0012632243802305392	1.579030475288174E-4	0.0014211274277593567	0.0012632243802305392	0.0	0.0	0.0	4.7370914258645225E-4	9.474182851729044E-4	0.0033159639981051653	0.0012632243802305392	0.007737249328912056	0.0	0.0	0.0050528975209221585	1.579030475288174E-4	9.474182851729044E-4	0.0017369335228169913	6.316121901152696E-4	4.7370914258645225E-4	0.0014211274277593567	4.7370914258645225E-4	1.579030475288174E-4	3.158060950576348E-4	4.7370914258645225E-4	0.0	0.0	0.001105321332701722	9.474182851729044E-4	0.0	6.316121901152696E-4	0.0071056371387967845	0.0012632243802305392	0.0012632243802305392	0.0036317700931628003	0.0012632243802305392	0.0	0.0	7.89515237644087E-4	3.158060950576348E-4	4.7370914258645225E-4	0.0	7.89515237644087E-4	0.006000315806095063	1.579030475288174E-4
TRBJ1-6	1.579030475288174E-4	1.579030475288174E-4	3.158060950576348E-4	0.0	0.0012632243802305392	0.0	0.0	6.316121901152696E-4	4.7370914258645225E-4	0.002368545712932261	0.0	1.579030475288174E-4	3.158060950576348E-4	0.0036317700931628003	0.001105321332701722	0.001579030475288174	3.158060950576348E-4	0.0	0.0030001579030475307	1.579030475288174E-4	3.158060950576348E-4	1.579030475288174E-4	0.0	0.0014211274277593567	0.0	0.001105321332701722	0.0	3.158060950576348E-4	0.001579030475288174	0.0	0.0030001579030475307	0.0	4.7370914258645225E-4	1.579030475288174E-4	3.158060950576348E-4	0.001105321332701722	0.0	1.579030475288174E-4	0.001579030475288174	3.158060950576348E-4	0.0	0.0	0.0030001579030475307	3.158060950576348E-4	1.579030475288174E-4	0.0	7.89515237644087E-4	0.001105321332701722	6.316121901152696E-4
TRBJ2-1	0.0	3.158060950576348E-4	6.316121901152696E-4	1.579030475288174E-4	0.004894994473393342	0.009000473709142589	0.004737091425864524	0.004263382283278071	3.158060950576348E-4	6.316121901152696E-4	6.316121901152696E-4	0.0	0.00900047370914259	0.010421601136901947	0.003947576188220435	0.03126480341070589	0.0	0.0	0.005526606663508613	1.579030475288174E-4	9.474182851729044E-4	0.0	0.0012632243802305392	0.01579030475288174	9.474182851729044E-4	0.0026843518079898957	3.158060950576348E-4	1.579030475288174E-4	0.007737249328912059	0.0	7.89515237644087E-4	7.89515237644087E-4	0.003947576188220435	0.0	7.89515237644087E-4	0.0401073740723196	0.002210642665403444	4.7370914258645225E-4	0.009947891994315493	0.002368545712932261	0.0	1.579030475288174E-4	0.006158218853623883	0.004263382283278071	9.474182851729044E-4	1.579030475288174E-4	0.001105321332701722	0.0028422548555187134	0.003158060950576348
TRBJ2-2	0.0	1.579030475288174E-4	0.0	1.579030475288174E-4	7.89515237644087E-4	4.7370914258645225E-4	0.001579030475288174	9.474182851729044E-4	6.316121901152696E-4	0.004105479235749253	6.316121901152696E-4	0.0	0.001105321332701722	0.0014211274277593567	0.0018948365703458088	0.008368861519027323	0.0	0.0	0.0017369335228169913	7.89515237644087E-4	6.316121901152696E-4	0.0028422548555187134	6.316121901152696E-4	0.0020527396178746265	0.007263540186325601	0.0014211274277593567	7.89515237644087E-4	1.579030475288174E-4	0.004263382283278071	1.579030475288174E-4	0.001579030475288174	1.579030475288174E-4	6.316121901152696E-4	0.0	4.737091425864522E-4	0.0014211274277593567	6.316121901152696E-4	0.0	0.002210642665403444	0.0014211274277593567	0.0	0.0	0.0012632243802305392	0.008368861519027325	6.316121901152696E-4	4.737091425864522E-4	1.579030475288174E-4	4.7370914258645225E-4	0.003158060950576348
TRBJ2-3	0.0	3.158060950576348E-4	4.7370914258645225E-4	3.158060950576348E-4	0.0025264487604610784	0.0	0.0017369335228169913	0.003947576188220435	7.89515237644087E-4	6.316121901152696E-4	4.7370914258645225E-4	3.158060950576348E-4	0.0018948365703458088	0.003158060950576348	0.008368861519027323	0.005210800568450977	7.89515237644087E-4	0.0	0.0026843518079898957	1.579030475288174E-4	0.0020527396178746265	4.7370914258645225E-4	0.006631927996210332	0.0025264487604610784	0.0014211274277593567	0.001579030475288174	7.89515237644087E-4	0.0028422548555187134	0.0034738670456339825	0.0	0.0014211274277593567	4.7370914258645225E-4	6.316121901152696E-4	0.0	6.316121901152696E-4	7.89515237644087E-4	9.474182851729044E-4	0.0	4.7370914258645225E-4	0.001579030475288174	0.0	0.0	0.010263698089373123	0.0012632243802305392	6.316121901152696E-4	0.0	3.158060950576348E-4	0.0034738670456339825	0.0014211274277593567
